[00:01:56] ,ability_1_used,40.62,2팀,knife,시온,0
[00:01:56] ,ability_1_used,40.86,1팀,Fielder,키리코,0
[00:01:59] ,ability_2_used,44.16,2팀,shu,키리코,0
[00:01:59] ,ability_2_used,44.21,2팀,Bernar,마우가,0
[00:02:00] ,ability_2_used,44.50,1팀,HanBin,마우가,0
[00:02:00] ,ability_2_used,44.74,2팀,Viol2t,루시우,0
[00:02:01] ,****,45.74,1팀,CheckMate,리퍼,2팀,shu,키리코,Melee,0.12,0,0
[00:02:02] ,ability_1_used,46.54,2팀,Viol2t,루시우,0
[00:02:02] ,ability_1_used,47.07,2팀,knife,시온,0
[00:02:03] ,ability_1_used,47.60,1팀,ChiYo,루시우,0
[00:02:03] ,****,48.08,1팀,CheckMate,리퍼,2팀,knife,시온,Primary Fire,57.22,True,0
[00:02:04] ,offensive_assist,48.43,1팀,ChiYo,루시우,0
[00:02:04] ,ability_1_used,48.69,1팀,CheckMate,리퍼,0
[00:02:04] ,ability_1_used,49.07,1팀,SP1NT,시온,0
[00:02:05] ,ability_2_used,49.55,2팀,Proper,벤데타,0
[00:02:05] ,ability_1_used,49.71,1팀,ChiYo,루시우,0
[00:02:06] ,****,50.45,1팀,CheckMate,리퍼,2팀,Viol2t,루시우,Primary Fire,10.79,0,0
[00:02:06] ,offensive_assist,50.78,1팀,ChiYo,루시우,0
[00:02:07] ,ability_1_used,51.57,1팀,ChiYo,루시우,0
[00:02:07] ,ability_1_used,51.68,2팀,Bernar,마우가,0
[00:02:07] ,****,51.77,1팀,SP1NT,시온,2팀,Bernar,마우가,Secondary Fire,7.80,0,0
[00:02:07] ,offensive_assist,52.17,1팀,HanBin,마우가,0
[00:02:07] ,defensive_assist,52.17,1팀,HanBin,마우가,0
[00:02:08] ,defensive_assist,52.24,1팀,Fielder,키리코,0
[00:02:08] ,ability_2_used,52.57,1팀,Fielder,키리코,0
[00:02:09] ,****,53.58,1팀,HanBin,마우가,2팀,Proper,벤데타,0,3,0,0
[00:02:09] ,offensive_assist,53.65,1팀,Fielder,키리코,0
[00:02:09] ,defensive_assist,53.65,1팀,Fielder,키리코,0
[00:02:10] ,point_progress,54.91,1,1팀,0,33.49
[00:02:11] ,ability_2_used,55.34,1팀,ChiYo,루시우,0
[00:02:12] ,point_progress,56.25,1,1팀,0,67.09
[00:02:13] ,ability_2_used,57.53,1팀,CheckMate,리퍼,0
[00:02:13] ,objective_captured,57.58,1,1팀,0,0.01,19.45,0
[00:02:13] ,ability_1_used,57.73,1팀,SP1NT,시온,0
[00:02:13] ,ability_1_used,57.82,1팀,HanBin,마우가,0
[00:02:13] ,ability_1_used,57.82,2팀,Viol2t,루시우,0
[00:02:13] ,ability_1_used,57.92,1팀,ChiYo,루시우,0
[00:02:14] ,ability_1_used,58.43,2팀,knife,시온,0
[00:02:17] ,ability_1_used,61.92,1팀,Fielder,키리코,0
[00:02:20] ,ability_1_used,64.30,2팀,Viol2t,루시우,0
[00:02:20] ,ability_1_used,64.35,1팀,SP1NT,시온,0
[00:02:20] ,ability_1_used,64.35,2팀,Proper,벤데타,0
[00:02:20] ,ability_1_used,64.37,2팀,Bernar,마우가,0
[00:02:27] ,ability_2_used,71.92,1팀,SP1NT,시온,0
[00:02:27] ,ability_2_used,72.06,1팀,ChiYo,루시우,0
[00:02:27] ,ability_1_used,72.19,1팀,ChiYo,루시우,0
[00:02:29] ,ability_1_used,73.37,2팀,knife,시온,0
[00:02:29] ,ability_2_used,73.74,1팀,HanBin,마우가,0
[00:02:30] ,ability_2_used,74.41,2팀,Viol2t,루시우,0
[00:02:30] ,ability_1_used,74.43,1팀,ChiYo,루시우,0
[00:02:30] ,ability_1_used,74.49,1팀,SP1NT,시온,0
[00:02:30] ,ability_2_used,74.67,2팀,Bernar,마우가,0
[00:02:30] ,ultimate_charged,74.99,1팀,Fielder,키리코,0,1
[00:02:30] ,ability_2_used,75.02,2팀,Proper,벤데타,0
[00:02:30] ,ability_1_used,75.12,2팀,shu,키리코,0
[00:02:31] ,ability_2_used,75.57,2팀,shu,키리코,0
[00:02:32] ,ability_1_used,76.32,1팀,CheckMate,리퍼,0
[00:02:32] ,ability_1_used,76.86,1팀,ChiYo,루시우,0
[00:02:35] ,ability_1_used,79.56,2팀,Proper,벤데타,0
[00:02:36] ,ability_1_used,80.83,1팀,HanBin,마우가,0
[00:02:36] ,ability_1_used,81.15,1팀,ChiYo,루시우,0
[00:02:37] ,ability_2_used,81.44,2팀,knife,시온,0
[00:02:38] ,ability_1_used,82.88,1팀,SP1NT,시온,0
[00:02:40] ,ability_1_used,84.54,2팀,Viol2t,루시우,0
[00:02:40] ,ability_1_used,84.83,1팀,ChiYo,루시우,0
[00:02:42] ,ability_1_used,87.02,1팀,ChiYo,루시우,0
[00:02:44] ,ability_1_used,89.18,1팀,ChiYo,루시우,0
[00:02:45] ,ultimate_charged,89.63,2팀,Viol2t,루시우,0,1
[00:02:45] ,ability_2_used,89.63,2팀,Proper,벤데타,0
[00:02:46] ,ability_1_used,90.36,2팀,Viol2t,루시우,0
[00:02:46] ,ability_2_used,90.44,2팀,Viol2t,루시우,0
[00:02:46] ,ability_1_used,90.76,1팀,HanBin,마우가,0
[00:02:46] ,ultimate_start,91.21,2팀,Viol2t,루시우,0,1
[00:02:47] ,ability_1_used,91.48,2팀,Bernar,마우가,0
[00:02:47] ,ability_2_used,91.87,2팀,shu,키리코,0
[00:02:47] ,ultimate_start,92.04,1팀,Fielder,키리코,0,1
[00:02:47] ,ability_2_used,92.17,1팀,CheckMate,리퍼,0
[00:02:48] ,ability_2_used,92.28,1팀,SP1NT,시온,0
[00:02:48] ,ability_1_used,92.43,1팀,ChiYo,루시우,0
[00:02:48] ,ultimate_charged,92.70,2팀,shu,키리코,0,1
[00:02:48] ,ability_2_used,92.80,1팀,ChiYo,루시우,0
[00:02:48] ,ability_1_used,92.88,2팀,Proper,벤데타,0
[00:02:49] ,ultimate_start,93.32,2팀,shu,키리코,0,1
[00:02:49] ,ability_2_used,93.40,1팀,HanBin,마우가,0
[00:02:49] ,ability_1_used,93.85,1팀,SP1NT,시온,0
[00:02:50] ,ultimate_charged,94.89,1팀,HanBin,마우가,0,1
[00:02:50] ,ability_2_used,95.00,2팀,Bernar,마우가,0
[00:02:50] ,ability_2_used,95.05,1팀,Fielder,키리코,0
[00:02:52] ,ultimate_start,96.40,1팀,HanBin,마우가,0,1
[00:02:52] ,****,97.08,2팀,Bernar,마우가,1팀,SP1NT,시온,0,3.48,0,0
[00:02:53] ,offensive_assist,97.29,2팀,shu,키리코,0
[00:02:53] ,defensive_assist,97.29,2팀,shu,키리코,0
[00:02:53] ,offensive_assist,97.34,2팀,Viol2t,루시우,0
[00:02:53] ,defensive_assist,97.34,2팀,Viol2t,루시우,0
[00:02:53] ,defensive_assist,97.42,2팀,Bernar,마우가,0
[00:02:53] ,ultimate_charged,97.92,1팀,CheckMate,리퍼,0,1
[00:02:53] ,ultimate_end,97.93,2팀,Viol2t,루시우,0,1
[00:02:54] ,ultimate_start,98.75,1팀,CheckMate,리퍼,0,1
[00:02:54] ,ultimate_charged,98.92,2팀,Bernar,마우가,0,1
[00:02:55] ,****,99.72,1팀,HanBin,마우가,2팀,Bernar,마우가,0,6.77,0,0
[00:02:55] ,****,99.74,1팀,CheckMate,리퍼,2팀,shu,키리코,Ultimate,9.15,0,0
[00:02:55] ,offensive_assist,99.76,1팀,ChiYo,루시우,0
[00:02:55] ,offensive_assist,99.76,1팀,ChiYo,루시우,0
[00:02:55] ,defensive_assist,99.76,1팀,ChiYo,루시우,0
[00:02:55] ,defensive_assist,99.76,1팀,ChiYo,루시우,0
[00:02:55] ,offensive_assist,99.79,1팀,HanBin,마우가,0
[00:02:55] ,defensive_assist,99.79,1팀,HanBin,마우가,0
[00:02:55] ,defensive_assist,99.79,1팀,HanBin,마우가,0
[00:02:55] ,offensive_assist,100.14,1팀,Fielder,키리코,0
[00:02:55] ,offensive_assist,100.14,1팀,Fielder,키리코,0
[00:02:55] ,defensive_assist,100.14,1팀,Fielder,키리코,0
[00:02:55] ,defensive_assist,100.14,1팀,Fielder,키리코,0
[00:02:56] ,****,100.35,1팀,CheckMate,리퍼,2팀,Proper,벤데타,Ultimate,22.79,0,0
[00:02:56] ,ability_2_used,100.40,2팀,Viol2t,루시우,0
[00:02:56] ,offensive_assist,100.62,1팀,Fielder,키리코,0
[00:02:56] ,defensive_assist,100.62,1팀,Fielder,키리코,0
[00:02:56] ,ultimate_end,100.68,1팀,HanBin,마우가,0,1
[00:02:56] ,offensive_assist,100.70,1팀,HanBin,마우가,0
[00:02:56] ,ultimate_charged,100.81,2팀,knife,시온,0,1
[00:02:57] ,ultimate_end,101.74,1팀,CheckMate,리퍼,0,1
[00:02:57] ,ability_1_used,102.17,1팀,ChiYo,루시우,0
[00:02:58] ,ability_2_used,102.41,2팀,knife,시온,0
[00:02:58] ,ultimate_end,102.99,1팀,Fielder,키리코,0,1
[00:02:58] ,ability_1_used,103.13,1팀,CheckMate,리퍼,0
[00:02:59] ,ability_2_used,103.42,1팀,ChiYo,루시우,0
[00:02:59] ,****,103.48,1팀,Fielder,키리코,2팀,Viol2t,루시우,0,34.68,0,0
[00:02:59] ,offensive_assist,103.53,1팀,HanBin,마우가,0
[00:02:59] ,defensive_assist,103.53,1팀,HanBin,마우가,0
[00:02:59] ,defensive_assist,103.90,1팀,Fielder,키리코,0
[00:03:00] ,ultimate_end,104.52,2팀,shu,키리코,0,1
[00:03:00] ,ability_1_used,104.80,2팀,knife,시온,0
[00:03:00] ,ability_1_used,105.10,1팀,Fielder,키리코,0
[00:03:01] ,ability_1_used,105.48,1팀,ChiYo,루시우,0
[00:03:03] ,ability_1_used,107.76,1팀,SP1NT,시온,0
[00:03:03] ,ability_2_used,108.16,1팀,SP1NT,시온,0
[00:03:07] ,ability_1_used,111.48,1팀,HanBin,마우가,0
[00:03:07] ,ability_1_used,111.74,2팀,Viol2t,루시우,0
[00:03:08] ,ability_1_used,112.25,2팀,Proper,벤데타,0
[00:03:08] ,ability_1_used,112.62,2팀,shu,키리코,0
[00:03:08] ,ability_2_used,112.68,2팀,Viol2t,루시우,0
[00:03:08] ,ability_1_used,113.10,1팀,ChiYo,루시우,0
[00:03:09] ,ability_1_used,113.75,1팀,SP1NT,시온,0
[00:03:09] ,ultimate_charged,114.03,2팀,Proper,벤데타,0,1
[00:03:09] ,ultimate_charged,114.11,1팀,ChiYo,루시우,0,1
[00:03:11] ,ability_1_used,115.77,2팀,Viol2t,루시우,0
[00:03:12] ,ability_1_used,116.83,2팀,Bernar,마우가,0
[00:03:13] ,ability_1_used,117.69,2팀,Viol2t,루시우,0
[00:03:18] ,ability_1_used,123.21,2팀,Viol2t,루시우,0
[00:03:20] ,ability_1_used,124.25,2팀,Bernar,마우가,0
[00:03:20] ,ability_2_used,124.33,2팀,Proper,벤데타,0
[00:03:21] ,ability_1_used,125.24,1팀,ChiYo,루시우,0
[00:03:22] ,ability_1_used,126.39,2팀,shu,키리코,0
[00:03:22] ,ability_1_used,126.99,1팀,ChiYo,루시우,0
[00:03:23] ,ultimate_start,127.66,2팀,Bernar,마우가,0,1
[00:03:23] ,point_progress,127.69,1,2팀,0,33.69
[00:03:23] ,ability_1_used,127.77,2팀,Viol2t,루시우,0
[00:03:23] ,ability_2_used,127.85,1팀,ChiYo,루시우,0
[00:03:23] ,ability_2_used,127.95,2팀,knife,시온,0
[00:03:23] ,ability_2_used,128.11,1팀,HanBin,마우가,0
[00:03:23] ,ability_2_used,128.20,1팀,SP1NT,시온,0
[00:03:24] ,ability_2_used,128.49,2팀,Viol2t,루시우,0
[00:03:24] ,ultimate_start,128.63,2팀,Proper,벤데타,0,1
[00:03:24] ,ability_2_used,129.03,2팀,Bernar,마우가,0
[00:03:25] ,ultimate_start,129.45,2팀,knife,시온,0,1
[00:03:26] ,ability_2_used,130.35,1팀,Fielder,키리코,0
[00:03:26] ,ability_2_used,130.38,2팀,shu,키리코,0
[00:03:26] ,****,130.52,2팀,Viol2t,루시우,1팀,Fielder,키리코,Primary Fire,15.15,True,0
[00:03:26] ,defensive_assist,130.67,2팀,shu,키리코,0
[00:03:26] ,defensive_assist,130.68,2팀,Viol2t,루시우,0
[00:03:26] ,offensive_assist,130.79,2팀,Bernar,마우가,0
[00:03:26] ,defensive_assist,130.79,2팀,Bernar,마우가,0
[00:03:27] ,ability_1_used,131.37,1팀,ChiYo,루시우,0
