[00:00:00] ,match_start,0,뉴 퀸 스트리트,밀기,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:08] ,hero_spawn,0,1팀,HanBin,안란,0,0
[00:00:09] ,hero_spawn,0,1팀,SP1NT,시온,0,0
[00:00:10] ,hero_spawn,0,2팀,vigilante,정커퀸,0,0
[00:00:21] ,hero_spawn,0,2팀,HeeSang,시메트라,0,0
[00:00:24] ,hero_spawn,0,1팀,CheckMate,벤데타,0,0
[00:00:26] ,hero_swap,0,2팀,HeeSang,리퍼,시메트라,0
[00:00:27] ,hero_spawn,0,2팀,MAX,레킹볼,0,0
[00:00:31] ,hero_swap,0,2팀,MAX,마우가,레킹볼,0
[00:00:37] ,hero_spawn,0,2팀,STALK3R,소전,0,0
[00:00:44] ,hero_swap,0,1팀,HanBin,마우가,안란,0
[00:00:47] ,hero_swap,0,2팀,STALK3R,시온,소전,0
[00:00:51] ,hero_spawn,0,2팀,CH0R0NG,루시우,0,0
[00:00:56] ,hero_spawn,0,1팀,ChiYo,루시우,0,0
[00:01:21] ,hero_swap,0,1팀,ChiYo,일리아리,루시우,0
[00:01:22] ,hero_swap,0,2팀,MAX,레킹볼,마우가,0
[00:01:24] ,hero_swap,0,2팀,MAX,마우가,레킹볼,0
[00:01:24] ,hero_swap,0,2팀,STALK3R,라이프위버,시온,0
[00:01:28] ,hero_swap,0,2팀,STALK3R,아나,라이프위버,0
[00:01:32] ,hero_swap,0,2팀,STALK3R,시온,아나,0
[00:01:33] ,hero_spawn,0,1팀,Fielder,미즈키,0,0
[00:01:34] ,hero_swap,0,2팀,STALK3R,엠레,시온,0
[00:01:34] ,hero_swap,0,2팀,STALK3R,위도우메이커,엠레,0
[00:01:35] ,hero_swap,0,2팀,STALK3R,엠레,위도우메이커,0
[00:01:43] ,hero_swap,0,1팀,ChiYo,주노,일리아리,0
[00:01:48] ,hero_swap,0,2팀,MAX,로드호그,마우가,0
[00:01:56] ,hero_swap,0,2팀,MAX,마우가,로드호그,0
[00:01:57] ,hero_swap,0,2팀,STALK3R,시온,엠레,0
[00:02:32] ,hero_swap,0,1팀,CheckMate,안란,벤데타,0
[00:02:38] ,setup_complete,0,1,599.99
[00:02:38] ,ability_1_used,0.02,2팀,CH0R0NG,루시우,0
[00:02:39] ,ability_2_used,0.54,2팀,CH0R0NG,루시우,0
[00:02:39] ,ability_1_used,0.99,1팀,CheckMate,안란,0
[00:02:40] ,ability_1_used,1.23,1팀,ChiYo,주노,0
[00:02:40] ,ability_1_used,1.26,2팀,STALK3R,시온,0
[00:02:40] ,ability_1_used,1.41,2팀,MAX,마우가,0
[00:02:40] ,ability_1_used,1.42,1팀,SP1NT,시온,0
[00:02:40] ,ability_1_used,1.62,1팀,Fielder,미즈키,0
[00:02:40] ,ability_2_used,1.66,2팀,STALK3R,시온,0
[00:02:40] ,ability_2_used,1.82,1팀,SP1NT,시온,0
[00:02:40] ,hero_swap,1.92,2팀,vigilante,모이라,정커퀸,1.92
[00:02:40] ,ability_2_used,2,2팀,HeeSang,리퍼,0
[00:02:41] ,ability_1_used,2.21,2팀,vigilante,모이라,0
[00:02:41] ,ability_1_used,2.32,1팀,HanBin,마우가,0
[00:02:41] ,ability_1_used,2.86,1팀,CheckMate,안란,0
[00:02:47] ,ability_1_used,9.14,2팀,vigilante,모이라,0
[00:02:49] ,ability_1_used,10.54,2팀,CH0R0NG,루시우,0
[00:02:55] ,ability_1_used,17.02,2팀,CH0R0NG,루시우,0
[00:02:57] ,ability_1_used,19.15,2팀,MAX,마우가,0
[00:02:58] ,ability_2_used,19.41,2팀,vigilante,모이라,0
[00:02:58] ,ability_1_used,19.82,2팀,CH0R0NG,루시우,0
[00:02:58] ,ability_2_used,20.06,2팀,CH0R0NG,루시우,0
[00:02:59] ,ability_2_used,20.94,2팀,STALK3R,시온,0
[00:02:59] ,ability_2_used,20.96,1팀,ChiYo,주노,0
[00:03:00] ,ability_1_used,21.31,1팀,HanBin,마우가,0
[00:03:00] ,ability_1_used,21.39,1팀,ChiYo,주노,0
