[00:01:57] ,ability_2_used,43.68,1팀,ChiYo,루시우,0
[00:01:58] ,ability_2_used,43.86,2팀,HeeSang,시메트라,0
[00:01:58] ,hero_swap,44.02,1팀,CheckMate,트레이서,리퍼,44.02
[00:01:58] ,ability_1_used,44.50,1팀,CheckMate,트레이서,0
[00:01:58] ,ability_1_used,44.53,1팀,SP1NT,벤데타,0
[00:01:58] ,ability_1_used,44.58,1팀,HanBin,마우가,0
[00:01:59] ,hero_swap,45.54,1팀,CheckMate,시메트라,트레이서,1.52
[00:02:00] ,ability_2_used,46.67,2팀,MAX,D.Va,0
[00:02:02] ,ability_1_used,48.51,2팀,STALK3R,소전,0
[00:02:02] ,ability_1_used,48.54,1팀,ChiYo,루시우,0
[00:02:03] ,ability_2_used,48.86,2팀,CH0R0NG,루시우,0
[00:02:03] ,ability_1_used,49.20,2팀,HeeSang,시메트라,0
[00:02:03] ,ability_2_used,49.57,1팀,CheckMate,시메트라,0
[00:02:04] ,ability_1_used,49.76,1팀,ChiYo,루시우,0
[00:02:05] ,ability_1_used,51.01,2팀,MAX,D.Va,0
[00:02:09] ,ability_1_used,55.05,2팀,HeeSang,시메트라,0
[00:02:09] ,ability_1_used,55.13,2팀,CH0R0NG,루시우,0
[00:02:10] ,ability_1_used,55.81,1팀,ChiYo,루시우,0
[00:02:12] ,ability_1_used,57.85,1팀,ChiYo,루시우,0
[00:02:12] ,ability_2_used,57.89,2팀,HeeSang,시메트라,0
[00:02:12] ,ability_1_used,58.22,2팀,CH0R0NG,루시우,0
[00:02:13] ,ability_1_used,59.34,1팀,ChiYo,루시우,0
[00:02:14] ,ability_2_used,60.53,2팀,MAX,D.Va,0
[00:02:15] ,ability_2_used,61.50,1팀,SP1NT,벤데타,0
[00:02:15] ,ability_2_used,61.68,1팀,ChiYo,루시우,0
[00:02:15] ,ability_2_used,61.74,2팀,STALK3R,소전,0
[00:02:16] ,ability_1_used,61.77,1팀,ChiYo,루시우,0
[00:02:17] ,ability_1_used,63.26,2팀,CH0R0NG,루시우,0
[00:02:18] ,ability_1_used,64.48,2팀,MAX,D.Va,0
[00:02:18] ,ability_1_used,64.48,1팀,SP1NT,벤데타,0
[00:02:19] ,ability_1_used,65.07,2팀,CH0R0NG,루시우,0
[00:02:24] ,ability_1_used,69.84,1팀,CheckMate,시메트라,0
[00:02:24] ,ability_1_used,70.41,1팀,CheckMate,시메트라,0
[00:02:26] ,ability_1_used,71.90,1팀,ChiYo,루시우,0
[00:02:26] ,ability_2_used,72.32,2팀,MAX,D.Va,0
[00:02:27] ,ability_1_used,73.09,1팀,ChiYo,루시우,0
[00:02:28] ,ability_2_used,73.92,2팀,HeeSang,시메트라,0
[00:02:29] ,ability_2_used,74.80,1팀,CheckMate,시메트라,0
[00:02:29] ,ability_1_used,74.97,1팀,ChiYo,루시우,0
[00:02:30] ,ability_1_used,76.21,1팀,ChiYo,루시우,0
[00:02:31] ,ability_1_used,76.80,1팀,HanBin,마우가,0
[00:02:31] ,ability_1_used,76.86,2팀,MAX,D.Va,0
[00:02:31] ,ability_1_used,77.69,1팀,ChiYo,루시우,0
[00:02:31] ,ability_1_used,77.71,2팀,CH0R0NG,루시우,0
[00:02:32] ,ability_2_used,78.61,2팀,STALK3R,소전,0
[00:02:33] ,ability_2_used,79.18,1팀,ChiYo,루시우,0
[00:02:33] ,ability_2_used,79.31,1팀,HanBin,마우가,0
[00:02:34] ,ability_1_used,79.79,2팀,CH0R0NG,루시우,0
[00:02:34] ,ability_2_used,80.11,2팀,CH0R0NG,루시우,0
[00:02:34] ,****,80.57,2팀,STALK3R,소전,1팀,HanBin,마우가,Primary Fire,3.26,True,0
[00:02:34] ,ability_2_used,80.67,1팀,Fielder,키리코,0
[00:02:35] ,ability_1_used,80.81,1팀,ChiYo,루시우,0
[00:02:35] ,defensive_assist,80.84,2팀,vigilante,키리코,0
[00:02:35] ,offensive_assist,80.92,2팀,CH0R0NG,루시우,0
[00:02:35] ,ability_1_used,81.28,2팀,CH0R0NG,루시우,0
[00:02:35] ,ability_2_used,81.74,1팀,SP1NT,벤데타,0
[00:02:36] ,ability_1_used,82.03,1팀,CheckMate,시메트라,0
[00:02:36] ,ability_1_used,82.57,2팀,MAX,D.Va,0
[00:02:37] ,ability_1_used,83.08,1팀,SP1NT,벤데타,0
[00:02:38] ,ability_2_used,83.95,2팀,vigilante,키리코,0
[00:02:38] ,ability_1_used,84.03,1팀,ChiYo,루시우,0
[00:02:38] ,****,84.60,2팀,vigilante,키리코,1팀,SP1NT,벤데타,0,55.06,0,0
[00:02:38] ,defensive_assist,84.65,2팀,vigilante,키리코,0
[00:02:38] ,offensive_assist,84.72,2팀,CH0R0NG,루시우,0
[00:02:39] ,ability_1_used,85.39,2팀,CH0R0NG,루시우,0
[00:02:40] ,ability_2_used,86.03,2팀,MAX,D.Va,0
[00:02:40] ,****,86.67,2팀,STALK3R,소전,1팀,Fielder,키리코,Secondary Fire,109.44,True,0
[00:02:41] ,ability_2_used,86.83,2팀,HeeSang,시메트라,0
[00:02:41] ,defensive_assist,86.96,2팀,vigilante,키리코,0
[00:02:41] ,offensive_assist,87.02,2팀,CH0R0NG,루시우,0
[00:02:41] ,defensive_assist,87.02,2팀,CH0R0NG,루시우,0
[00:02:42] ,ability_1_used,88.65,2팀,CH0R0NG,루시우,0
[00:02:43] ,****,89.18,2팀,HeeSang,시메트라,1팀,CheckMate,시메트라,Primary Fire,6.77,0,0
[00:02:43] ,defensive_assist,89.31,2팀,vigilante,키리코,0
[00:02:43] ,ability_1_used,89.44,1팀,ChiYo,루시우,0
[00:02:44] ,ability_1_used,90.11,2팀,MAX,D.Va,0
[00:02:45] ,ability_1_used,91.08,2팀,CH0R0NG,루시우,0
[00:02:45] ,****,91.15,2팀,HeeSang,시메트라,1팀,ChiYo,루시우,Primary Fire,2.50,0,0
[00:02:45] ,defensive_assist,91.20,2팀,vigilante,키리코,0
[00:02:46] ,ability_1_used,92.28,2팀,HeeSang,시메트라,0
[00:02:47] ,ultimate_charged,93.00,2팀,vigilante,키리코,0,1
[00:02:47] ,ability_1_used,93.15,1팀,SP1NT,벤데타,0
