[00:05:01] ,****,172.68,1팀,SP1NT,트레이서,2팀,Jasm1ne,D.Va,Melee,19.05,0,0
[00:05:01] ,****,172.80,1팀,HanBin,D.Va,2팀,skewed,키리코,0,6.27,0,0
[00:05:41] ,ultimate_start,213.00,1팀,ChiYo,주노,0,1
[00:05:48] ,****,219.79,1팀,MER1T,엠레,2팀,Bliss,루시우,Primary Fire,17.94,True,0
[00:05:48] ,****,219.85,2팀,Proud,엠레,1팀,MER1T,엠레,Primary Fire,10.12,0,0
[00:05:48] ,offensive_assist,220.05,2팀,skewed,키리코,0
[00:05:48] ,defensive_assist,220.05,2팀,skewed,키리코,0
[00:05:48] ,offensive_assist,220.13,2팀,Bliss,루시우,0
[00:05:49] ,ultimate_end,221.52,1팀,ChiYo,주노,0,1
[00:05:51] ,ultimate_charged,223.07,2팀,ZEST,트레이서,0,1
[00:05:53] ,****,225.55,1팀,ChiYo,주노,2팀,Jasm1ne,D.Va,Primary Fire,10.75,0,0
[00:06:00] ,ultimate_start,231.97,2팀,ZEST,트레이서,0,1
[00:06:00] ,ultimate_end,232.16,2팀,ZEST,트레이서,0,1
[00:06:01] ,hero_swap,233.54,1팀,MER1T,바스티온,엠레,176.36
[00:06:09] ,****,240.60,1팀,SP1NT,트레이서,2팀,ZEST,트레이서,Melee,9.76,0,0
[00:06:13] ,player_stat,245.05,1,1팀,HanBin,D.Va,5,4,1,3152.15,0,3151.53,0,6468.03,0,8328.34,9614.75,0,0,0,1,0,0,0,1,0,0,110,0.08,0,0,0,4115,1371,2277,0,0,0.38,245.05
[00:06:13] ,player_stat,245.05,1,1팀,HanBin,라마트라,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:06:13] ,player_stat,245.05,1,2팀,Proud,루시우,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:06:13] ,player_stat,245.05,1,2팀,Proud,애쉬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:06:13] ,player_stat,245.05,1,2팀,Proud,소전,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:06:13] ,player_stat,245.05,1,2팀,Proud,캐서디,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:06:13] ,player_stat,245.05,1,2팀,Proud,프레야,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:06:13] ,player_stat,245.05,1,2팀,Proud,엠레,5,3,1,5371.25,0,5246.25,0,2109.70,323.50,2456.61,0,0,0,1,1,0,0,0,1,0,0,34,0.16,0.41,0,0,531,219,202,222,90,0.52,245.05
[00:06:13] ,player_stat,245.05,1,1팀,SP1NT,파라,0,0,1,497.50,0,497.50,0,132.59,0,435.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,6,28,0,0,0.18,66.83
[00:06:13] ,player_stat,245.05,1,1팀,SP1NT,트레이서,5,3,0,2139.91,0,2036.39,0,770.66,550.82,1414.25,0,0,0,1,1,0,0,0,1,0,0,25,0.06,0,0,0,1172,387,710,0,0,0.35,178.22
[00:06:13] ,player_stat,245.05,1,1팀,MER1T,캐서디,0,0,1,317.09,0,317.09,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,4,0,0,0.56,57.18
[00:06:13] ,player_stat,245.05,1,1팀,MER1T,엠레,2,2,1,4244.70,0,4244.68,0,1319.89,205.18,1641.91,0,0,0,1,1,0,0,1,0,0,0,20,0.13,0.34,0,0,419,151,225,199,67,0.40,176.36
[00:06:13] ,player_stat,245.05,1,1팀,MER1T,바스티온,0,0,0,91.00,0,91.00,0,0,0,51.62,0,0,0,0,0,0,0,0,0,0,0,1,0.13,0,0,0,42,8,34,0,0,0.19,11.51
[00:06:13] ,player_stat,245.05,1,2팀,skewed,키리코,4,1,1,2321.75,0,2261.75,3915.86,1424.43,0,1768.99,0,5,1,1,2,0,0,0,1,0,0,3,0.07,0,0,0,187,42,116,0,0,0.27,245.05
[00:06:13] ,player_stat,245.05,1,2팀,Jasm1ne,D.Va,4,1,3,3744.72,0,3134.72,0,3459.08,0,6859.42,5080.12,0,0,0,1,0,0,0,0,0,0,144,0.08,0,0,0,4674,1749,2523,0,0,0.41,245.05
[00:06:13] ,player_stat,245.05,1,1팀,Fielder,키리코,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:06:13] ,player_stat,245.05,1,1팀,Fielder,라이프위버,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:06:13] ,player_stat,245.05,1,1팀,Fielder,일리아리,4,0,1,2586.47,0,2561.47,3831.53,1161.59,150.34,1776.29,0,0,1,1,1,0,0,0,2,0,1,1,0.03,0,0,0,85,40,35,0,0,0.53,245.05
[00:06:13] ,player_stat,245.05,1,2팀,Bliss,미즈키,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:06:13] ,player_stat,245.05,1,2팀,Bliss,바티스트,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
