[00:00:00] ,match_start,0,샴발리 수도원,호위,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:10] ,hero_spawn,0,2팀,MAX,레킹볼,0,0
[00:00:13] ,hero_spawn,0,2팀,STALK3R,소전,0,0
[00:00:27] ,hero_spawn,0,1팀,CheckMate,시메트라,0,0
[00:00:31] ,hero_spawn,0,2팀,CH0R0NG,루시우,0,0
[00:00:31] ,hero_spawn,0,1팀,Someone,시그마,0,0
[00:00:33] ,hero_swap,0,2팀,MAX,라마트라,레킹볼,0
[00:00:34] ,hero_spawn,0,2팀,HeeSang,트레이서,0,0
[00:00:35] ,hero_spawn,0,1팀,ChiYo,미즈키,0,0
[00:00:35] ,hero_spawn,0,1팀,MER1T,프레야,0,0
[00:00:46] ,hero_swap,0,1팀,ChiYo,브리기테,미즈키,0
[00:00:48] ,hero_spawn,0,2팀,vigilante,키리코,0,0
[00:00:52] ,hero_swap,0,1팀,ChiYo,미즈키,브리기테,0
[00:00:55] ,hero_spawn,0,1팀,Fielder,아나,0,0
[00:00:55] ,hero_swap,0,1팀,ChiYo,브리기테,미즈키,0
[00:01:19] ,hero_swap,0,2팀,HeeSang,파라,트레이서,0
[00:01:20] ,ability_1_used,0,2팀,CH0R0NG,루시우,0
[00:01:20] ,setup_complete,0,1,239.99
[00:01:20] ,ability_1_used,0.02,1팀,CheckMate,시메트라,0
[00:01:20] ,ability_2_used,0.08,1팀,Someone,시그마,0
[00:01:21] ,ability_1_used,0.77,1팀,MER1T,프레야,0
[00:01:21] ,ability_1_used,0.99,2팀,STALK3R,소전,0
[00:01:21] ,ability_1_used,1.49,1팀,MER1T,프레야,0
[00:01:22] ,ability_1_used,2.03,2팀,HeeSang,파라,0
[00:01:27] ,ability_1_used,6.74,1팀,MER1T,프레야,0
[00:01:28] ,ability_1_used,8.21,2팀,CH0R0NG,루시우,0
[00:01:30] ,ability_2_used,10.06,1팀,MER1T,프레야,0
[00:01:32] ,ability_2_used,11.95,1팀,ChiYo,브리기테,0
[00:01:32] ,ability_2_used,11.98,2팀,STALK3R,소전,0
[00:01:33] ,ability_1_used,12.98,1팀,MER1T,프레야,0
[00:01:34] ,ability_2_used,14.00,1팀,ChiYo,브리기테,0
[00:01:36] ,ability_1_used,15.79,1팀,MER1T,프레야,0
[00:01:36] ,ability_1_used,16.00,2팀,STALK3R,소전,0
[00:01:37] ,hero_swap,17.31,2팀,CH0R0NG,제트팩 캣,루시우,17.31
[00:01:37] ,ability_1_used,17.57,2팀,vigilante,키리코,0
[00:01:38] ,ability_1_used,18.66,1팀,CheckMate,시메트라,0
[00:01:39] ,hero_swap,18.75,2팀,HeeSang,바스티온,파라,18.75
[00:01:39] ,ability_1_used,19.26,2팀,CH0R0NG,제트팩 캣,0
[00:01:40] ,ability_1_used,20.53,1팀,CheckMate,시메트라,0
[00:01:41] ,ability_2_used,21.20,1팀,MER1T,프레야,0
