[00:00:00] ,match_start,0,뉴 퀸 스트리트,밀기,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:08] ,hero_spawn,0,2팀,HeeSang,트레이서,0,0
[00:00:11] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:12] ,hero_spawn,0,2팀,CH0R0NG,루시우,0,0
[00:00:15] ,hero_spawn,0,2팀,vigilante,키리코,0,0
[00:00:16] ,hero_spawn,0,2팀,STALK3R,프레야,0,0
[00:00:20] ,hero_spawn,0,2팀,MAX,라마트라,0,0
[00:00:20] ,hero_spawn,0,1팀,Someone,오리사,0,0
[00:00:21] ,hero_spawn,0,1팀,SP1NT,트레이서,0,0
[00:00:22] ,hero_swap,0,1팀,Someone,라마트라,오리사,0
[00:00:30] ,hero_spawn,0,1팀,MER1T,프레야,0,0
[00:00:32] ,hero_spawn,0,1팀,ChiYo,브리기테,0,0
[00:00:32] ,hero_swap,0,2팀,CH0R0NG,브리기테,루시우,0
[00:00:53] ,hero_swap,0,2팀,STALK3R,시온,프레야,0
[00:00:54] ,hero_swap,0,2팀,CH0R0NG,루시우,브리기테,0
[00:01:01] ,setup_complete,0,1,599.99
[00:01:01] ,ability_1_used,0.02,2팀,CH0R0NG,루시우,0
[00:01:01] ,ability_2_used,0.21,2팀,STALK3R,시온,0
[00:01:01] ,ability_2_used,0.35,2팀,CH0R0NG,루시우,0
[00:01:01] ,ability_1_used,0.48,1팀,Someone,라마트라,0
[00:01:02] ,ability_1_used,0.99,1팀,SP1NT,트레이서,0
[00:01:02] ,ability_1_used,1.01,2팀,HeeSang,트레이서,0
[00:01:02] ,ability_1_used,1.15,1팀,SP1NT,트레이서,0
[00:01:02] ,ability_1_used,1.30,1팀,SP1NT,트레이서,0
[00:01:03] ,ability_1_used,1.70,2팀,HeeSang,트레이서,0
[00:01:03] ,ability_1_used,1.84,1팀,Fielder,키리코,0
[00:01:03] ,ability_1_used,1.98,1팀,MER1T,프레야,0
[00:01:04] ,ability_1_used,3.15,1팀,MER1T,프레야,0
[00:01:06] ,ability_1_used,5.26,2팀,vigilante,키리코,0
[00:01:06] ,ability_1_used,5.58,2팀,STALK3R,시온,0
[00:01:07] ,ability_1_used,6.58,1팀,MER1T,프레야,0
[00:01:08] ,ability_1_used,7.30,2팀,HeeSang,트레이서,0
[00:01:08] ,ability_1_used,7.46,2팀,HeeSang,트레이서,0
[00:01:11] ,ability_1_used,10.34,1팀,SP1NT,트레이서,0
[00:01:12] ,ability_2_used,11.06,1팀,MER1T,프레야,0
[00:01:13] ,ability_1_used,12.05,1팀,SP1NT,트레이서,0
[00:01:13] ,ability_2_used,12.64,1팀,ChiYo,브리기테,0
[00:01:14] ,ability_1_used,12.78,1팀,MER1T,프레야,0
[00:01:15] ,ability_1_used,13.71,1팀,SP1NT,트레이서,0
[00:01:15] ,ability_1_used,14.48,2팀,CH0R0NG,루시우,0
[00:01:16] ,ability_1_used,15.58,1팀,SP1NT,트레이서,0
[00:01:17] ,ability_1_used,16.05,2팀,HeeSang,트레이서,0
[00:01:17] ,ability_1_used,16.40,2팀,HeeSang,트레이서,0
[00:01:18] ,ability_1_used,16.75,2팀,STALK3R,시온,0
[00:01:18] ,ability_1_used,16.82,1팀,ChiYo,브리기테,0
[00:01:18] ,ability_1_used,16.91,1팀,MER1T,프레야,0
[00:01:18] ,ability_1_used,17.52,2팀,CH0R0NG,루시우,0
[00:01:19] ,ability_1_used,18.02,2팀,HeeSang,트레이서,0
[00:01:20] ,ability_1_used,19.55,2팀,CH0R0NG,루시우,0
[00:01:21] ,ability_2_used,19.89,2팀,STALK3R,시온,0
[00:01:21] ,ability_1_used,20.64,1팀,SP1NT,트레이서,0
[00:01:22] ,ability_1_used,21.06,2팀,CH0R0NG,루시우,0
[00:01:22] ,ability_1_used,21.58,2팀,MAX,라마트라,0
[00:01:23] ,ability_2_used,22.16,1팀,ChiYo,브리기테,0
[00:01:23] ,ability_1_used,22.51,1팀,SP1NT,트레이서,0
[00:01:23] ,ability_1_used,22.61,1팀,MER1T,프레야,0
[00:01:24] ,ability_2_used,23.10,1팀,ChiYo,브리기테,0
[00:01:24] ,ability_1_used,23.63,1팀,Someone,라마트라,0
[00:01:25] ,ability_2_used,24.26,1팀,Someone,라마트라,0
[00:01:26] ,ability_1_used,25.18,1팀,ChiYo,브리기테,0
[00:01:27] ,ability_1_used,26.02,2팀,HeeSang,트레이서,0
[00:01:27] ,ability_1_used,26.32,2팀,CH0R0NG,루시우,0
