[00:00:00] ,match_start,0,뉴 퀸 스트리트,밀기,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:10] ,hero_spawn,0,1팀,Someone,윈스턴,0,0
[00:00:10] ,hero_spawn,0,2팀,vigilante,루시우,0,0
[00:00:20] ,hero_spawn,0,2팀,MAX,레킹볼,0,0
[00:00:22] ,hero_spawn,0,2팀,HeeSang,시메트라,0,0
[00:00:25] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:27] ,hero_spawn,0,2팀,CH0R0NG,라이프위버,0,0
[00:00:34] ,hero_swap,0,1팀,Someone,마우가,윈스턴,0
[00:00:34] ,hero_spawn,0,2팀,STALK3R,프레야,0,0
[00:01:02] ,hero_spawn,0,1팀,MER1T,프레야,0,0
[00:01:07] ,hero_spawn,0,1팀,SP1NT,트레이서,0,0
[00:01:07] ,hero_swap,0,1팀,MER1T,시온,프레야,0
[00:01:12] ,hero_spawn,0,1팀,ChiYo,브리기테,0,0
[00:01:13] ,hero_swap,0,1팀,MER1T,프레야,시온,0
[00:01:15] ,hero_swap,0,1팀,MER1T,시온,프레야,0
[00:01:33] ,hero_swap,0,1팀,MER1T,소전,시온,0
[00:01:37] ,hero_swap,0,1팀,Fielder,주노,키리코,0
[00:01:40] ,hero_swap,0,2팀,CH0R0NG,제트팩 캣,라이프위버,0
[00:01:42] ,hero_swap,0,2팀,HeeSang,트레이서,시메트라,0
[00:01:49] ,hero_swap,0,2팀,vigilante,아나,루시우,0
[00:01:53] ,ability_1_used,0,2팀,MAX,레킹볼,0
[00:01:53] ,setup_complete,0,1,599.99
[00:01:53] ,ability_1_used,0.06,2팀,CH0R0NG,제트팩 캣,0
[00:01:54] ,ability_1_used,1.22,1팀,SP1NT,트레이서,0
[00:01:54] ,ability_1_used,1.22,2팀,STALK3R,프레야,0
[00:01:54] ,ability_1_used,1.36,1팀,SP1NT,트레이서,0
[00:01:54] ,ability_1_used,1.52,1팀,SP1NT,트레이서,0
[00:01:55] ,ability_1_used,1.78,1팀,Someone,마우가,0
[00:01:55] ,ability_1_used,1.86,2팀,HeeSang,트레이서,0
[00:01:55] ,ability_1_used,2.03,2팀,HeeSang,트레이서,0
[00:01:55] ,ability_1_used,2.11,2팀,STALK3R,프레야,0
[00:01:55] ,ability_1_used,2.19,1팀,MER1T,소전,0
[00:01:55] ,hero_swap,2.37,1팀,Fielder,키리코,주노,2.37
[00:01:56] ,ability_1_used,2.85,1팀,Fielder,키리코,0
[00:01:59] ,ability_1_used,5.78,2팀,STALK3R,프레야,0
[00:02:00] ,ability_1_used,7.58,2팀,HeeSang,트레이서,0
[00:02:02] ,ability_1_used,9.38,1팀,SP1NT,트레이서,0
[00:02:02] ,ability_1_used,9.63,1팀,Someone,마우가,0
[00:02:03] ,ability_1_used,10.56,2팀,HeeSang,트레이서,0
[00:02:04] ,ability_1_used,10.90,1팀,MER1T,소전,0
[00:02:05] ,ability_2_used,11.66,1팀,ChiYo,브리기테,0
[00:02:05] ,ability_2_used,12.10,2팀,STALK3R,프레야,0
[00:02:06] ,ability_1_used,12.94,2팀,STALK3R,프레야,0
[00:02:06] ,ability_1_used,12.98,1팀,Fielder,키리코,0
[00:02:06] ,ability_1_used,12.99,2팀,HeeSang,트레이서,0
[00:02:06] ,ability_1_used,13.33,2팀,HeeSang,트레이서,0
[00:02:07] ,ability_1_used,13.65,1팀,SP1NT,트레이서,0
[00:02:07] ,ability_1_used,13.87,1팀,ChiYo,브리기테,0
[00:02:07] ,ability_1_used,14.29,1팀,SP1NT,트레이서,0
[00:02:08] ,ability_1_used,14.77,2팀,HeeSang,트레이서,0
[00:02:08] ,ability_1_used,15.15,2팀,STALK3R,프레야,0
[00:02:09] ,ability_1_used,15.92,1팀,SP1NT,트레이서,0
[00:02:12] ,ability_2_used,18.67,1팀,ChiYo,브리기테,0
[00:02:12] ,ability_2_used,19.04,2팀,MAX,레킹볼,0
[00:02:12] ,ability_1_used,19.23,2팀,STALK3R,프레야,0
[00:02:12] ,ability_1_used,19.58,1팀,SP1NT,트레이서,0
[00:02:13] ,ability_2_used,19.86,2팀,vigilante,아나,0
[00:02:13] ,ability_1_used,20.56,2팀,HeeSang,트레이서,0
[00:02:14] ,ability_1_used,21.04,2팀,HeeSang,트레이서,0
[00:02:14] ,ability_2_used,21.23,1팀,ChiYo,브리기테,0
[00:02:14] ,ability_1_used,21.38,1팀,SP1NT,트레이서,0
[00:02:15] ,ability_2_used,22.21,1팀,Fielder,키리코,0
[00:02:16] ,ability_1_used,22.80,1팀,Someone,마우가,0
[00:02:16] ,ability_2_used,23.46,2팀,HeeSang,트레이서,0
[00:02:17] ,ability_1_used,23.94,2팀,MAX,레킹볼,0
[00:02:17] ,ability_1_used,24.45,2팀,STALK3R,프레야,0
[00:02:19] ,ability_1_used,26.03,2팀,HeeSang,트레이서,0
[00:02:19] ,ability_1_used,26.26,1팀,SP1NT,트레이서,0
[00:02:20] ,ability_2_used,26.78,1팀,MER1T,소전,0
[00:02:20] ,ability_2_used,26.86,2팀,CH0R0NG,제트팩 캣,0
[00:02:20] ,ability_1_used,26.90,1팀,SP1NT,트레이서,0
[00:02:21] ,ability_2_used,28.45,1팀,ChiYo,브리기테,0
[00:02:23] ,ability_1_used,30.43,1팀,SP1NT,트레이서,0
[00:02:24] ,****,31.18,2팀,CH0R0NG,제트팩 캣,1팀,SP1NT,트레이서,0,3.75,0,0
[00:02:24] ,ability_1_used,31.63,2팀,CH0R0NG,제트팩 캣,0
[00:02:27] ,ability_1_used,33.76,2팀,STALK3R,프레야,0
[00:02:27] ,ability_1_used,34.43,1팀,Someone,마우가,0
[00:02:28] ,ability_1_used,34.91,2팀,HeeSang,트레이서,0
[00:02:29] ,ability_1_used,35.89,1팀,ChiYo,브리기테,0
[00:02:29] ,ability_1_used,36.02,2팀,STALK3R,프레야,0
[00:02:30] ,ability_1_used,37.28,2팀,HeeSang,트레이서,0
[00:02:30] ,ability_2_used,37.31,2팀,MAX,레킹볼,0
[00:02:32] ,ability_2_used,39.10,1팀,ChiYo,브리기테,0
[00:02:32] ,ability_1_used,39.46,2팀,HeeSang,트레이서,0
[00:02:33] ,ability_1_used,39.97,2팀,STALK3R,프레야,0
