[00:00:00] ,match_start,0,네온 교차로,혼합,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:08] ,hero_spawn,0,2팀,vigilante,미즈키,0,0
[00:00:10] ,hero_spawn,0,1팀,Someone,라마트라,0,0
[00:00:23] ,hero_spawn,0,2팀,MAX,라마트라,0,0
[00:00:24] ,hero_spawn,0,1팀,CheckMate,메이,0,0
[00:00:24] ,hero_spawn,0,2팀,STALK3R,캐서디,0,0
[00:00:31] ,hero_spawn,0,2팀,HeeSang,파라,0,0
[00:00:49] ,hero_spawn,0,2팀,CH0R0NG,루시우,0,0
[00:00:59] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:01:06] ,hero_spawn,0,1팀,MER1T,프레야,0,0
[00:01:06] ,hero_spawn,0,1팀,ChiYo,메르시,0,0
[00:01:08] ,hero_swap,0,1팀,ChiYo,브리기테,메르시,0
[00:01:41] ,hero_swap,0,2팀,vigilante,키리코,미즈키,0
[00:01:49] ,hero_swap,0,2팀,MAX,D.Va,라마트라,0
[00:01:55] ,hero_swap,0,1팀,MER1T,벤처,프레야,0
[00:01:55] ,hero_swap,0,1팀,MER1T,프레야,벤처,0
[00:02:00] ,hero_swap,0,2팀,MAX,라마트라,D.Va,0
[00:02:02] ,hero_swap,0,2팀,CH0R0NG,우양,루시우,0
[00:02:05] ,hero_swap,0,2팀,vigilante,아나,키리코,0
[00:02:06] ,hero_swap,0,2팀,CH0R0NG,제트팩 캣,우양,0
[00:02:09] ,setup_complete,0,1,239.99
[00:02:09] ,ability_2_used,0.02,1팀,ChiYo,브리기테,0
[00:02:10] ,ability_1_used,0.93,1팀,MER1T,프레야,0
[00:02:10] ,ability_1_used,1.07,2팀,STALK3R,캐서디,0
[00:02:10] ,ability_1_used,1.39,1팀,MER1T,프레야,0
[00:02:12] ,ability_1_used,3.71,2팀,HeeSang,파라,0
[00:02:12] ,ability_1_used,3.81,2팀,CH0R0NG,제트팩 캣,0
[00:02:15] ,ability_1_used,5.98,1팀,ChiYo,브리기테,0
[00:02:15] ,ability_2_used,6.51,2팀,STALK3R,캐서디,0
[00:02:16] ,ability_2_used,7.50,2팀,HeeSang,파라,0
[00:02:16] ,ability_1_used,7.52,1팀,MER1T,프레야,0
[00:02:18] ,ability_1_used,9.41,2팀,STALK3R,캐서디,0
[00:02:22] ,ability_1_used,13.41,1팀,ChiYo,브리기테,0
[00:02:23] ,ability_2_used,13.89,2팀,CH0R0NG,제트팩 캣,0
[00:02:23] ,ability_2_used,14.16,1팀,ChiYo,브리기테,0
[00:02:23] ,ability_1_used,14.45,1팀,MER1T,프레야,0
[00:02:24] ,ability_1_used,15.65,2팀,STALK3R,캐서디,0
[00:02:24] ,ability_1_used,15.68,1팀,Someone,라마트라,0
[00:02:25] ,ability_2_used,15.98,2팀,MAX,라마트라,0
[00:02:25] ,ability_2_used,16.05,1팀,CheckMate,메이,0
[00:02:25] ,ability_2_used,16.19,1팀,ChiYo,브리기테,0
[00:02:25] ,ability_2_used,16.22,1팀,Someone,라마트라,0
[00:02:27] ,ability_2_used,18.75,1팀,MER1T,프레야,0
[00:02:29] ,ability_1_used,19.87,1팀,MER1T,프레야,0
[00:02:29] ,ability_2_used,19.92,1팀,ChiYo,브리기테,0
[00:02:29] ,ability_1_used,20.35,1팀,MER1T,프레야,0
[00:02:32] ,ability_1_used,22.98,2팀,STALK3R,캐서디,0
[00:02:33] ,ability_2_used,23.95,1팀,ChiYo,브리기테,0
[00:02:34] ,ability_2_used,25.07,1팀,ChiYo,브리기테,0
[00:02:34] ,ability_1_used,25.58,1팀,MER1T,프레야,0
[00:02:38] ,ability_1_used,29.23,2팀,HeeSang,파라,0
[00:02:39] ,ability_2_used,29.90,1팀,ChiYo,브리기테,0
[00:02:39] ,ability_2_used,30.64,1팀,MER1T,프레야,0
[00:02:41] ,ability_2_used,32.72,2팀,MAX,라마트라,0
[00:02:41] ,ability_1_used,32.78,1팀,MER1T,프레야,0
[00:02:42] ,ability_1_used,33.57,2팀,STALK3R,캐서디,0
[00:02:43] ,ability_1_used,34.21,2팀,MAX,라마트라,0
[00:02:43] ,ability_2_used,34.58,1팀,Fielder,키리코,0
[00:02:43] ,ability_1_used,34.72,1팀,CheckMate,메이,0
[00:02:45] ,ability_1_used,35.87,1팀,MER1T,프레야,0
[00:02:45] ,ability_1_used,36.21,1팀,ChiYo,브리기테,0
[00:02:46] ,ability_1_used,37.42,1팀,Someone,라마트라,0
[00:02:47] ,ability_2_used,38.75,1팀,Someone,라마트라,0
[00:02:48] ,****,39.26,2팀,HeeSang,파라,1팀,CheckMate,메이,Primary Fire,111.37,0,0
[00:02:48] ,defensive_assist,39.55,2팀,vigilante,아나,0
[00:02:49] ,ability_1_used,40.02,1팀,MER1T,프레야,0
[00:02:50] ,ability_2_used,41.62,1팀,ChiYo,브리기테,0
[00:02:51] ,ability_2_used,42.24,2팀,vigilante,아나,0
[00:02:52] ,ability_1_used,43.06,1팀,ChiYo,브리기테,0
[00:02:53] ,ability_2_used,43.98,1팀,MER1T,프레야,0
[00:02:53] ,ability_1_used,44.64,2팀,STALK3R,캐서디,0
[00:02:53] ,ability_2_used,44.74,1팀,ChiYo,브리기테,0
[00:02:54] ,ability_2_used,44.90,2팀,MAX,라마트라,0
[00:02:54] ,ability_1_used,45.01,1팀,MER1T,프레야,0
