[00:00:00] ,match_start,0,네온 교차로,혼합,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:08] ,hero_spawn,0,2팀,shu,우양,0,0
[00:00:08] ,hero_spawn,0,2팀,Bernar,도미나,0,0
[00:00:10] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:11] ,hero_spawn,0,1팀,CheckMate,시메트라,0,0
[00:00:12] ,hero_spawn,0,1팀,Someone,시그마,0,0
[00:00:30] ,hero_spawn,0,1팀,ChiYo,미즈키,0,0
[00:00:31] ,hero_spawn,0,2팀,Viol2t,주노,0,0
[00:00:34] ,hero_spawn,0,2팀,Proper,파라,0,0
[00:00:34] ,hero_spawn,0,2팀,knife,벤데타,0,0
[00:00:36] ,hero_swap,0,1팀,ChiYo,루시우,미즈키,0
[00:00:38] ,hero_spawn,0,1팀,SP1NT,우양,0,0
[00:00:40] ,hero_swap,0,1팀,SP1NT,시온,우양,0
[00:00:51] ,hero_swap,0,1팀,ChiYo,미즈키,루시우,0
[00:00:57] ,hero_swap,0,2팀,shu,키리코,우양,0
[00:00:58] ,hero_swap,0,2팀,Bernar,자리야,도미나,0
[00:01:00] ,hero_swap,0,2팀,Viol2t,제트팩 캣,주노,0
[00:01:05] ,hero_swap,0,2팀,knife,위도우메이커,벤데타,0
[00:01:15] ,hero_swap,0,2팀,knife,솔저: 76,위도우메이커,0
[00:01:16] ,hero_swap,0,2팀,knife,위도우메이커,솔저: 76,0
[00:01:23] ,hero_swap,0,2팀,Bernar,윈스턴,자리야,0
[00:01:26] ,hero_swap,0,2팀,shu,젠야타,키리코,0
[00:01:30] ,hero_swap,0,2팀,Bernar,자리야,윈스턴,0
[00:01:37] ,hero_swap,0,1팀,SP1NT,바스티온,시온,0
[00:01:40] ,hero_swap,0,1팀,ChiYo,루시우,미즈키,0
[00:01:41] ,hero_swap,0,2팀,Bernar,시그마,자리야,0
[00:01:42] ,hero_swap,0,2팀,Bernar,도미나,시그마,0
[00:01:43] ,hero_swap,0,2팀,Viol2t,주노,제트팩 캣,0
[00:01:43] ,hero_swap,0,2팀,shu,키리코,젠야타,0
[00:01:43] ,setup_complete,0,1,239.99
[00:01:43] ,ability_1_used,0.02,1팀,ChiYo,루시우,0
[00:01:43] ,ability_1_used,0.02,2팀,Viol2t,주노,0
[00:01:43] ,ability_1_used,0.02,1팀,CheckMate,시메트라,0
[00:01:44] ,ability_2_used,0.51,2팀,Viol2t,주노,0
[00:01:47] ,ability_1_used,3.47,2팀,Proper,파라,0
[00:01:47] ,hero_swap,4.18,2팀,Bernar,시그마,도미나,4.18
[00:01:48] ,hero_swap,4.98,2팀,knife,시온,위도우메이커,4.98
[00:01:48] ,ability_1_used,5.17,1팀,ChiYo,루시우,0
[00:01:49] ,hero_swap,6.13,2팀,Viol2t,제트팩 캣,주노,6.13
[00:01:50] ,ability_2_used,6.61,2팀,knife,시온,0
[00:01:50] ,hero_swap,6.72,2팀,Viol2t,주노,제트팩 캣,0.59
[00:01:50] ,hero_swap,7.01,2팀,shu,미즈키,키리코,7.01
