[00:00:00] ,match_start,0,수라바사,플래시포인트,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:07] ,hero_spawn,0,1팀,SP1NT,윈스턴,0,0
[00:00:10] ,hero_swap,0,1팀,SP1NT,벤데타,윈스턴,0
[00:00:11] ,hero_spawn,0,1팀,ChiYo,시온,0,0
[00:00:12] ,hero_spawn,0,1팀,HanBin,마우가,0,0
[00:00:16] ,hero_swap,0,1팀,ChiYo,모이라,시온,0
[00:00:16] ,hero_spawn,0,2팀,STALK3R,시온,0,0
[00:00:17] ,hero_swap,0,1팀,ChiYo,루시우,모이라,0
[00:00:20] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:26] ,hero_spawn,0,1팀,MER1T,시온,0,0
[00:00:45] ,hero_spawn,0,2팀,HeeSang,리퍼,0,0
[00:00:51] ,hero_spawn,0,2팀,vigilante,키리코,0,0
[00:00:59] ,hero_spawn,0,2팀,CH0R0NG,루시우,0,0
[00:01:00] ,hero_swap,0,1팀,SP1NT,시메트라,벤데타,0
[00:01:01] ,setup_complete,0,1,29.99
[00:01:01] ,ability_1_used,0.02,2팀,CH0R0NG,루시우,0
[00:01:01] ,ability_1_used,0.02,1팀,ChiYo,루시우,0
[00:01:01] ,hero_spawn,0.34,2팀,JunBin,에코,0,0.34
[00:01:02] ,ability_2_used,1.22,1팀,SP1NT,시메트라,0
[00:01:03] ,ability_2_used,2.06,1팀,ChiYo,루시우,0
[00:01:03] ,ability_1_used,2.64,1팀,HanBin,마우가,0
[00:01:03] ,ability_1_used,2.70,1팀,MER1T,시온,0
[00:01:04] ,ability_2_used,3.10,1팀,MER1T,시온,0
[00:01:04] ,hero_swap,3.28,2팀,JunBin,레킹볼,에코,2.94
[00:01:04] ,ability_1_used,3.70,2팀,JunBin,레킹볼,0
[00:01:05] ,hero_swap,4.42,1팀,SP1NT,벤데타,시메트라,4.42
[00:01:05] ,ability_1_used,4.48,2팀,STALK3R,시온,0
[00:01:05] ,ability_1_used,4.77,1팀,SP1NT,벤데타,0
[00:01:06] ,ability_2_used,4.88,2팀,STALK3R,시온,0
[00:01:08] ,ability_1_used,7.57,2팀,vigilante,키리코,0
[00:01:13] ,ability_1_used,11.95,1팀,ChiYo,루시우,0
[00:01:15] ,ability_1_used,14.54,2팀,CH0R0NG,루시우,0
[00:01:19] ,ability_1_used,17.98,1팀,ChiYo,루시우,0
[00:01:20] ,ability_1_used,19.07,1팀,ChiYo,루시우,0
[00:01:22] ,ability_2_used,20.88,1팀,SP1NT,벤데타,0
[00:01:22] ,ability_1_used,21.04,2팀,STALK3R,시온,0
[00:01:22] ,ability_1_used,21.42,2팀,vigilante,키리코,0
[00:01:23] ,ability_1_used,21.94,1팀,ChiYo,루시우,0
[00:01:23] ,ability_1_used,22.11,2팀,JunBin,레킹볼,0
[00:01:23] ,ability_1_used,22.18,2팀,CH0R0NG,루시우,0
[00:01:24] ,ability_2_used,22.90,1팀,ChiYo,루시우,0
[00:01:24] ,ability_1_used,23.15,2팀,HeeSang,리퍼,0
[00:01:24] ,ability_1_used,23.18,1팀,SP1NT,벤데타,0
[00:01:24] ,ability_1_used,23.33,2팀,CH0R0NG,루시우,0
[00:01:24] ,ability_1_used,23.34,1팀,MER1T,시온,0
[00:01:25] ,ability_2_used,24.14,2팀,STALK3R,시온,0
[00:01:25] ,ability_1_used,24.50,2팀,CH0R0NG,루시우,0
[00:01:26] ,ability_2_used,25.02,1팀,MER1T,시온,0
[00:01:26] ,ability_2_used,25.76,2팀,HeeSang,리퍼,0
[00:01:27] ,ability_2_used,26.10,2팀,CH0R0NG,루시우,0
[00:01:28] ,ability_1_used,26.82,2팀,JunBin,레킹볼,0
