[00:03:15] ,ability_1_used,46.88,1팀,ChiYo,루시우,0
[00:03:15] ,ability_2_used,46.93,1팀,Fielder,키리코,0
[00:03:15] ,ability_2_used,46.96,1팀,ChiYo,루시우,0
[00:03:15] ,ability_2_used,47.36,1팀,SP1NT,캐서디,0
[00:03:16] ,ability_2_used,48.19,1팀,HanBin,라마트라,0
[00:03:17] ,ability_1_used,49.15,2팀,STALK3R,캐서디,0
[00:03:17] ,ability_1_used,49.63,1팀,SP1NT,캐서디,0
[00:03:17] ,ability_1_used,49.74,1팀,CheckMate,시메트라,0
[00:03:18] ,ability_1_used,49.87,2팀,CH0R0NG,루시우,0
[00:03:18] ,point_progress,50.38,1,2팀,0,66.61
[00:03:19] ,ability_1_used,51.34,2팀,CH0R0NG,루시우,0
[00:03:20] ,ability_1_used,52.14,1팀,ChiYo,루시우,0
[00:03:20] ,ability_1_used,52.19,1팀,CheckMate,시메트라,0
[00:03:22] ,ability_2_used,54.05,2팀,CH0R0NG,루시우,0
[00:03:23] ,ability_1_used,55.44,1팀,ChiYo,루시우,0
[00:03:26] ,ability_2_used,58.08,2팀,HeeSang,시메트라,0
[00:03:27] ,ability_1_used,59.02,1팀,ChiYo,루시우,0
[00:03:28] ,ability_1_used,59.98,2팀,CH0R0NG,루시우,0
[00:03:28] ,ability_1_used,60.62,1팀,ChiYo,루시우,0
[00:03:29] ,ability_1_used,61.21,2팀,HeeSang,시메트라,0
[00:03:29] ,ability_1_used,61.71,2팀,CH0R0NG,루시우,0
[00:03:30] ,ability_2_used,62.06,2팀,MAX,시그마,0
[00:03:30] ,ability_2_used,62.16,1팀,ChiYo,루시우,0
[00:03:30] ,ability_2_used,62.43,1팀,HanBin,라마트라,0
[00:03:31] ,ability_2_used,63.52,1팀,SP1NT,캐서디,0
[00:03:31] ,ability_2_used,63.57,2팀,STALK3R,캐서디,0
[00:03:31] ,****,63.73,2팀,MAX,시그마,1팀,HanBin,라마트라,Primary Fire,41.79,0,0
[00:03:32] ,offensive_assist,64.05,2팀,CH0R0NG,루시우,0
[00:03:32] ,ability_2_used,64.40,2팀,vigilante,바티스트,0
[00:03:32] ,ultimate_charged,64.43,2팀,STALK3R,캐서디,0,1
[00:03:32] ,ability_2_used,64.51,1팀,Fielder,키리코,0
[00:03:33] ,ability_1_used,64.97,1팀,SP1NT,캐서디,0
[00:03:33] ,ability_1_used,65.37,2팀,HeeSang,시메트라,0
[00:03:33] ,ability_1_used,65.71,1팀,ChiYo,루시우,0
[00:03:34] ,ability_2_used,66.69,1팀,CheckMate,시메트라,0
[00:03:35] ,ability_1_used,67.04,1팀,ChiYo,루시우,0
[00:03:36] ,ability_1_used,67.81,2팀,vigilante,바티스트,0
[00:03:37] ,****,68.85,2팀,MAX,시그마,1팀,Fielder,키리코,Primary Fire,45.97,0,0
[00:03:37] ,defensive_assist,69.21,2팀,vigilante,바티스트,0
[00:03:37] ,ability_2_used,69.61,2팀,CH0R0NG,루시우,0
[00:03:38] ,ability_1_used,70.01,1팀,ChiYo,루시우,0
[00:03:38] ,ultimate_charged,70.24,2팀,MAX,시그마,0,1
[00:03:39] ,****,70.91,2팀,HeeSang,시메트라,1팀,CheckMate,시메트라,Secondary Fire,5.08,0,0
[00:03:39] ,defensive_assist,71.09,2팀,vigilante,바티스트,0
[00:03:39] ,offensive_assist,71.12,2팀,CH0R0NG,루시우,0
[00:03:39] ,defensive_assist,71.12,2팀,CH0R0NG,루시우,0
[00:03:39] ,ability_1_used,71.39,2팀,STALK3R,캐서디,0
[00:03:40] ,ability_2_used,72.25,2팀,HeeSang,시메트라,0
[00:03:40] ,ability_1_used,72.54,1팀,ChiYo,루시우,0
[00:03:40] ,ability_1_used,72.75,1팀,SP1NT,캐서디,0
[00:03:41] ,ability_1_used,72.81,2팀,CH0R0NG,루시우,0
[00:03:41] ,point_progress,73.10,1,2팀,0,99.91
[00:03:41] ,objective_updated,73.13,1,0,1
[00:03:41] ,objective_captured,73.13,1,2팀,1,0,0,316.86
[00:03:41] ,ability_1_used,73.61,2팀,MAX,시그마,0
[00:03:43] ,****,75.37,2팀,vigilante,바티스트,1팀,SP1NT,캐서디,Primary Fire,9.46,True,0
[00:03:44] ,defensive_assist,75.79,2팀,vigilante,바티스트,0
[00:03:44] ,ultimate_charged,76.59,2팀,vigilante,바티스트,0,1
[00:03:45] ,ability_1_used,76.81,2팀,STALK3R,캐서디,0
[00:03:47] ,ability_1_used,79.64,1팀,ChiYo,루시우,0
[00:03:48] ,ability_1_used,80.06,1팀,Fielder,키리코,0
[00:03:49] ,ability_1_used,80.88,2팀,HeeSang,시메트라,0
[00:03:50] ,ability_1_used,82.30,2팀,STALK3R,캐서디,0
[00:03:51] ,ability_1_used,83.58,1팀,SP1NT,캐서디,0
[00:03:54] ,ability_2_used,85.84,1팀,CheckMate,시메트라,0
[00:03:54] ,ability_1_used,85.93,2팀,HeeSang,시메트라,0
[00:03:56] ,ability_2_used,88.52,2팀,HeeSang,시메트라,0
[00:03:58] ,ability_1_used,90.32,1팀,ChiYo,루시우,0
[00:04:01] ,ability_1_used,92.80,1팀,ChiYo,루시우,0
[00:04:01] ,payload_progress,92.86,1,2팀,1,10.02
[00:04:02] ,ability_1_used,94.16,2팀,HeeSang,시메트라,0
[00:04:03] ,ability_2_used,95.48,1팀,CheckMate,시메트라,0
[00:04:05] ,ability_1_used,96.96,1팀,ChiYo,루시우,0
[00:04:05] ,ability_2_used,96.99,1팀,ChiYo,루시우,0
[00:04:05] ,ultimate_charged,97.44,1팀,Fielder,키리코,0,1
[00:04:09] ,ability_2_used,101.53,2팀,STALK3R,캐서디,0
[00:04:10] ,ability_2_used,101.88,1팀,SP1NT,캐서디,0
[00:04:10] ,ability_1_used,102.06,2팀,HeeSang,시메트라,0
[00:04:11] ,ability_1_used,103.16,2팀,STALK3R,캐서디,0
[00:04:12] ,ability_2_used,104.51,2팀,vigilante,바티스트,0
[00:04:13] ,ability_2_used,105.08,2팀,HeeSang,시메트라,0
[00:04:13] ,ability_2_used,105.37,1팀,HanBin,라마트라,0
