[00:00:00] ,match_start,0,네온 교차로,혼합,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:08] ,hero_spawn,0,2팀,skewed,키리코,0,0
[00:00:09] ,hero_spawn,0,1팀,Someone,라마트라,0,0
[00:00:11] ,hero_spawn,0,1팀,ChiYo,제트팩 캣,0,0
[00:00:13] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:17] ,hero_swap,0,1팀,ChiYo,모이라,제트팩 캣,0
[00:00:17] ,hero_swap,0,2팀,skewed,아나,키리코,0
[00:00:18] ,hero_swap,0,1팀,ChiYo,바티스트,모이라,0
[00:00:19] ,hero_swap,0,1팀,ChiYo,브리기테,바티스트,0
[00:00:28] ,hero_spawn,0,2팀,Bliss,미즈키,0,0
[00:00:33] ,hero_swap,0,2팀,Bliss,루시우,미즈키,0
[00:00:36] ,hero_spawn,0,2팀,Proud,소전,0,0
[00:00:41] ,hero_spawn,0,1팀,SP1NT,트레이서,0,0
[00:00:42] ,hero_swap,0,2팀,Proud,프레야,소전,0
[00:00:44] ,hero_spawn,0,2팀,ZEST,벤데타,0,0
[00:00:46] ,hero_swap,0,2팀,ZEST,겐지,벤데타,0
[00:00:51] ,hero_spawn,0,2팀,Jasm1ne,자리야,0,0
[00:00:58] ,hero_swap,0,2팀,ZEST,트레이서,겐지,0
[00:01:01] ,hero_swap,0,2팀,skewed,키리코,아나,0
[00:01:03] ,hero_swap,0,2팀,skewed,주노,키리코,0
[00:01:07] ,hero_swap,0,2팀,Bliss,일리아리,루시우,0
[00:01:08] ,hero_swap,0,2팀,Bliss,우양,일리아리,0
[00:01:08] ,hero_swap,0,2팀,ZEST,리퍼,트레이서,0
[00:01:11] ,hero_swap,0,2팀,ZEST,에코,리퍼,0
[00:01:15] ,hero_spawn,0,1팀,MER1T,프레야,0,0
[00:01:22] ,setup_complete,0,1,239.99
[00:01:22] ,ability_2_used,0.02,2팀,skewed,주노,0
[00:01:22] ,ability_1_used,0.54,1팀,MER1T,프레야,0
[00:01:23] ,ability_1_used,0.93,2팀,ZEST,에코,0
[00:01:23] ,ability_1_used,1.47,2팀,Proud,프레야,0
[00:01:23] ,hero_swap,1.74,2팀,skewed,키리코,주노,1.74
[00:01:24] ,ability_2_used,2.02,2팀,Proud,프레야,0
[00:01:24] ,ability_1_used,2.67,1팀,MER1T,프레야,0
[00:01:25] ,ability_1_used,3.46,2팀,Proud,프레야,0
[00:01:26] ,ability_1_used,4.03,1팀,SP1NT,트레이서,0
[00:01:27] ,****,4.94,2팀,Proud,프레야,1팀,MER1T,프레야,0,56.80,0,0
[00:01:31] ,ability_1_used,9.47,1팀,SP1NT,트레이서,0
[00:01:31] ,ability_2_used,9.71,2팀,Jasm1ne,자리야,0
[00:01:31] ,ability_2_used,9.71,1팀,ChiYo,브리기테,0
[00:01:32] ,ability_1_used,10.06,2팀,ZEST,에코,0
[00:01:35] ,ability_1_used,13.02,2팀,Proud,프레야,0
[00:01:37] ,ability_2_used,15.46,2팀,Proud,프레야,0
[00:01:37] ,ability_1_used,15.58,1팀,MER1T,프레야,0
[00:01:38] ,ability_2_used,15.97,1팀,ChiYo,브리기테,0
[00:01:39] ,ability_1_used,17.33,2팀,Proud,프레야,0
[00:01:39] ,ability_2_used,17.65,1팀,ChiYo,브리기테,0
[00:01:40] ,ability_1_used,18.14,1팀,MER1T,프레야,0
[00:01:40] ,ability_1_used,18.45,1팀,SP1NT,트레이서,0
[00:01:41] ,ability_2_used,19.41,1팀,Fielder,키리코,0
[00:01:42] ,ability_1_used,19.87,2팀,ZEST,에코,0
[00:01:42] ,ability_1_used,20.40,2팀,Bliss,우양,0
[00:01:42] ,ability_2_used,20.75,2팀,Jasm1ne,자리야,0
[00:01:43] ,ability_1_used,20.90,1팀,SP1NT,트레이서,0
[00:01:44] ,ability_1_used,22.22,1팀,SP1NT,트레이서,0
[00:01:45] ,ability_2_used,23.17,2팀,ZEST,에코,0
[00:01:45] ,ability_1_used,23.31,2팀,skewed,키리코,0
[00:01:45] ,ability_1_used,23.41,1팀,MER1T,프레야,0
[00:01:46] ,ability_1_used,24.34,1팀,ChiYo,브리기테,0
[00:01:47] ,ability_2_used,25.09,1팀,ChiYo,브리기테,0
[00:01:47] ,ability_1_used,25.14,1팀,SP1NT,트레이서,0
[00:01:47] ,ability_1_used,25.52,1팀,Someone,라마트라,0
[00:01:48] ,ability_2_used,26.08,1팀,Someone,라마트라,0
[00:01:48] ,ability_2_used,26.40,1팀,ChiYo,브리기테,0
[00:01:48] ,ability_2_used,26.48,2팀,skewed,키리코,0
[00:01:48] ,ability_2_used,26.51,2팀,Jasm1ne,자리야,0
[00:01:48] ,ability_1_used,26.54,1팀,SP1NT,트레이서,0
[00:01:49] ,ability_2_used,27.44,2팀,Bliss,우양,0
[00:01:49] ,ability_1_used,27.78,1팀,MER1T,프레야,0
[00:01:50] ,ability_1_used,27.98,2팀,Proud,프레야,0
[00:01:50] ,ability_2_used,28.48,1팀,ChiYo,브리기테,0
[00:01:50] ,ability_1_used,28.77,1팀,SP1NT,트레이서,0
[00:01:51] ,ability_1_used,28.96,2팀,Proud,프레야,0
[00:01:51] ,ability_1_used,29.01,2팀,ZEST,에코,0
[00:01:51] ,ability_1_used,29.60,1팀,ChiYo,브리기테,0
[00:01:53] ,ability_2_used,30.90,2팀,Proud,프레야,0
[00:01:54] ,ability_1_used,31.89,2팀,skewed,키리코,0
[00:01:54] ,ability_1_used,32.69,1팀,MER1T,프레야,0
[00:01:55] ,ability_1_used,32.88,2팀,Bliss,우양,0
[00:01:55] ,ability_1_used,33.12,1팀,SP1NT,트레이서,0
