[00:02:37] ,ability_2_used,61.34,2팀,CheckMate,시메트라,0
[00:02:37] ,ability_1_used,61.34,1팀,Bernar,라마트라,0
[00:02:37] ,ultimate_charged,61.36,1팀,Proper,에코,0,1
[00:02:38] ,****,62.49,1팀,Bernar,라마트라,2팀,MER1T,캐서디,Ability 1,38.40,0,0
[00:02:39] ,defensive_assist,62.56,1팀,shu,아나,0
[00:02:39] ,ability_2_used,62.65,2팀,ChiYo,주노,0
[00:02:39] ,ability_1_used,62.72,2팀,Someone,시그마,0
[00:02:39] ,ability_2_used,63.09,2팀,Fielder,키리코,0
[00:02:40] ,ability_2_used,63.73,1팀,Bernar,라마트라,0
[00:02:40] ,ability_2_used,63.77,2팀,Someone,시그마,0
[00:02:40] ,ability_2_used,63.98,1팀,knife,소전,0
[00:02:41] ,ability_1_used,64.88,2팀,ChiYo,주노,0
[00:02:41] ,ability_1_used,64.94,1팀,Viol2t,우양,0
[00:02:41] ,****,65.42,2팀,Fielder,키리코,1팀,knife,소전,0,92.47,True,0
[00:02:42] ,defensive_assist,65.87,2팀,Fielder,키리코,0
[00:02:42] ,ability_1_used,65.90,2팀,CheckMate,시메트라,0
[00:02:42] ,ability_2_used,66.06,1팀,shu,아나,0
[00:02:43] ,ability_1_used,67.05,2팀,CheckMate,시메트라,0
[00:02:43] ,ability_2_used,67.10,1팀,Proper,에코,0
[00:02:45] ,****,68.80,1팀,Viol2t,우양,2팀,Someone,시그마,0,45.59,0,0
[00:02:45] ,defensive_assist,69.12,1팀,shu,아나,0
[00:02:46] ,ability_1_used,69.61,2팀,CheckMate,시메트라,0
[00:02:49] ,****,72.86,1팀,Bernar,라마트라,2팀,Fielder,키리코,0,1.84,0,0
[00:02:50] ,ability_1_used,73.68,2팀,MER1T,캐서디,0
[00:02:50] ,ability_1_used,74.13,2팀,ChiYo,주노,0
[00:02:51] ,ability_1_used,74.99,1팀,Proper,에코,0
[00:02:51] ,ability_2_used,75.07,2팀,CheckMate,시메트라,0
[00:02:52] ,****,75.84,2팀,ChiYo,주노,2팀,ChiYo,주노,0,154.26,0,True
[00:02:52] ,ability_2_used,75.92,1팀,Bernar,라마트라,0
[00:02:53] ,ability_1_used,76.99,1팀,Viol2t,우양,0
[00:02:56] ,ability_1_used,79.60,1팀,knife,소전,0
[00:02:59] ,ability_1_used,82.73,2팀,Fielder,키리코,0
[00:03:02] ,ability_1_used,86.40,2팀,ChiYo,주노,0
[00:03:02] ,ability_1_used,86.48,1팀,Proper,에코,0
[00:03:04] ,ability_2_used,88.09,2팀,Fielder,키리코,0
[00:03:09] ,ability_1_used,92.86,2팀,Fielder,키리코,0
[00:03:14] ,ability_2_used,97.76,1팀,shu,아나,0
[00:03:14] ,ability_1_used,98.27,1팀,knife,소전,0
[00:03:14] ,ability_1_used,98.54,1팀,Proper,에코,0
[00:03:15] ,ability_2_used,98.88,1팀,Bernar,라마트라,0
[00:03:15] ,ability_1_used,99.34,1팀,shu,아나,0
[00:03:17] ,ability_1_used,100.62,2팀,ChiYo,주노,0
[00:03:17] ,ability_2_used,100.73,2팀,Someone,시그마,0
[00:03:18] ,ultimate_charged,102.14,2팀,Fielder,키리코,0,1
[00:03:20] ,ultimate_charged,103.82,1팀,shu,아나,0,1
[00:03:21] ,ability_2_used,105.10,2팀,CheckMate,시메트라,0
[00:03:21] ,ability_1_used,105.18,1팀,Bernar,라마트라,0
[00:03:21] ,ability_1_used,105.31,2팀,Someone,시그마,0
[00:03:21] ,ability_2_used,105.53,2팀,Fielder,키리코,0
[00:03:22] ,ability_1_used,105.55,2팀,MER1T,캐서디,0
[00:03:22] ,ability_2_used,105.58,2팀,ChiYo,주노,0
[00:03:22] ,ability_2_used,105.72,1팀,Viol2t,우양,0
[00:03:22] ,ultimate_start,106.24,1팀,shu,아나,0,1
[00:03:22] ,ability_2_used,106.54,1팀,knife,소전,0
[00:03:23] ,ultimate_start,106.75,2팀,Fielder,키리코,0,1
[00:03:23] ,ability_1_used,106.96,1팀,Viol2t,우양,0
[00:03:24] ,ability_2_used,107.69,2팀,MER1T,캐서디,0
[00:03:24] ,****,107.72,1팀,knife,소전,2팀,ChiYo,주노,Secondary Fire,59.46,0,0
[00:03:24] ,ability_1_used,107.83,1팀,knife,소전,0
[00:03:24] ,offensive_assist,108.11,1팀,shu,아나,0
[00:03:24] ,ability_1_used,108.33,1팀,Proper,에코,0
[00:03:25] ,****,108.63,1팀,Bernar,라마트라,2팀,Fielder,키리코,Ability 1,49.98,0,0
[00:03:25] ,offensive_assist,109.05,1팀,shu,아나,0
[00:03:26] ,****,109.83,1팀,Bernar,라마트라,2팀,Someone,시그마,Ability 1,63.07,0,0
[00:03:26] ,ultimate_charged,109.85,1팀,Viol2t,우양,0,1
[00:03:26] ,ultimate_charged,109.88,1팀,knife,소전,0,1
[00:03:26] ,****,109.95,2팀,Someone,시그마,1팀,knife,소전,Primary Fire,41.87,0,0
[00:03:26] ,offensive_assist,109.98,1팀,shu,아나,0
[00:03:26] ,defensive_assist,109.98,1팀,shu,아나,0
[00:03:26] ,****,110.03,2팀,CheckMate,시메트라,1팀,Viol2t,우양,Primary Fire,20.28,0,0
[00:03:26] ,offensive_assist,110.04,2팀,Fielder,키리코,0
[00:03:26] ,defensive_assist,110.04,2팀,Fielder,키리코,0
[00:03:26] ,defensive_assist,110.04,2팀,Fielder,키리코,0
[00:03:26] ,ability_1_used,110.39,2팀,MER1T,캐서디,0
[00:03:26] ,ability_1_used,110.44,2팀,CheckMate,시메트라,0
[00:03:27] ,ability_1_used,111.13,2팀,CheckMate,시메트라,0
[00:03:27] ,ability_2_used,111.21,1팀,Proper,에코,0
[00:03:27] ,****,111.40,1팀,Proper,에코,2팀,MER1T,캐서디,Ability 2,6.90,0,0
[00:03:27] ,offensive_assist,111.42,1팀,shu,아나,0
[00:03:27] ,defensive_assist,111.42,1팀,shu,아나,0
[00:03:28] ,ability_2_used,112.25,1팀,Bernar,라마트라,0
[00:03:28] ,ultimate_charged,112.25,1팀,Bernar,라마트라,0,1
[00:03:29] ,****,113.16,1팀,Bernar,라마트라,2팀,CheckMate,시메트라,Ability 1,31.70,0,0
[00:03:29] ,offensive_assist,113.31,1팀,shu,아나,0
[00:03:29] ,defensive_assist,113.31,1팀,shu,아나,0
[00:03:30] ,ultimate_end,114.36,1팀,shu,아나,0,1
[00:03:34] ,ultimate_end,117.95,2팀,Fielder,키리코,0,1
[00:03:34] ,ability_1_used,118.12,1팀,Proper,에코,0
[00:03:36] ,hero_swap,119.74,2팀,Fielder,루시우,키리코,115.35
[00:03:36] ,ability_1_used,119.74,2팀,Fielder,루시우,0
[00:03:36] ,ability_2_used,119.83,2팀,Fielder,루시우,0
[00:03:36] ,ability_1_used,120.51,2팀,MER1T,캐서디,0
[00:03:38] ,ability_1_used,122.51,1팀,Viol2t,우양,0
[00:03:39] ,ability_2_used,123.23,2팀,ChiYo,주노,0
[00:03:40] ,hero_swap,123.98,2팀,Fielder,키리코,루시우,4.24
[00:03:40] ,ability_1_used,124.06,1팀,knife,소전,0
[00:03:43] ,ability_1_used,127.48,2팀,MER1T,캐서디,0
[00:03:44] ,ability_2_used,128.20,1팀,Bernar,라마트라,0
[00:03:48] ,ability_1_used,131.58,2팀,CheckMate,시메트라,0
[00:03:48] ,ability_1_used,131.82,1팀,Proper,에코,0
[00:03:53] ,ability_2_used,136.59,2팀,CheckMate,시메트라,0
[00:03:53] ,ability_2_used,136.64,1팀,shu,아나,0
[00:03:54] ,ability_1_used,137.61,1팀,shu,아나,0
[00:03:54] ,ability_1_used,137.92,2팀,Someone,시그마,0
[00:03:54] ,ability_1_used,138.03,2팀,MER1T,캐서디,0
[00:03:54] ,ability_2_used,138.32,2팀,ChiYo,주노,0
[00:03:54] ,ability_2_used,138.53,2팀,MER1T,캐서디,0
[00:03:56] ,****,139.58,2팀,CheckMate,시메트라,1팀,shu,아나,Secondary Fire,15,0,0
[00:03:56] ,defensive_assist,139.66,2팀,Fielder,키리코,0
[00:03:56] ,ability_2_used,140.24,1팀,knife,소전,0
[00:03:57] ,ability_2_used,140.73,1팀,Bernar,라마트라,0
[00:03:57] ,ultimate_charged,141.17,2팀,ChiYo,주노,0,1
[00:03:58] ,ability_1_used,142.03,1팀,Bernar,라마트라,0
[00:03:58] ,ultimate_start,142.13,1팀,knife,소전,0,1
[00:03:58] ,ability_2_used,142.27,2팀,Someone,시그마,0
[00:03:59] ,ability_1_used,142.62,2팀,CheckMate,시메트라,0
[00:03:59] ,ability_1_used,142.62,1팀,Proper,에코,0
[00:04:00] ,ability_2_used,143.71,1팀,Proper,에코,0
[00:04:00] ,ability_1_used,144.08,2팀,Fielder,키리코,0
[00:04:00] ,ultimate_start,144.18,2팀,ChiYo,주노,0,1
[00:04:00] ,ultimate_charged,144.19,2팀,Someone,시그마,0,1
[00:04:00] ,ability_1_used,144.50,2팀,MER1T,캐서디,0
[00:04:00] ,ability_2_used,144.51,1팀,Viol2t,우양,0
[00:04:00] ,ability_2_used,144.53,2팀,Fielder,키리코,0
[00:04:01] ,ultimate_charged,144.82,2팀,CheckMate,시메트라,0,1
[00:04:02] ,****,145.74,2팀,Someone,시그마,1팀,Viol2t,우양,Primary Fire,14.32,0,0
[00:04:02] ,ultimate_start,146.42,1팀,Proper,에코,0,1
[00:04:03] ,ultimate_end,146.74,1팀,Proper,에코,키리코,1
[00:04:03] ,echo_duplicate_start,146.74,1팀,Proper,에코,키리코,1
[00:04:03] ,ability_1_used,146.77,2팀,CheckMate,시메트라,0
[00:04:03] ,ability_1_used,147.38,2팀,CheckMate,시메트라,0
[00:04:04] ,ability_1_used,147.65,1팀,Proper,에코,키리코
[00:04:04] ,ability_1_used,148.16,2팀,ChiYo,주노,0
[00:04:04] ,ability_2_used,148.48,1팀,Proper,에코,키리코
[00:04:06] ,ability_2_used,149.75,2팀,CheckMate,시메트라,0
[00:04:06] ,ultimate_start,149.83,1팀,Bernar,라마트라,0,1
[00:04:07] ,ultimate_charged,150.80,2팀,MER1T,캐서디,0,1
[00:04:07] ,ultimate_end,150.87,1팀,knife,소전,0,1
[00:04:08] ,ability_1_used,151.56,1팀,knife,소전,0
[00:04:08] ,ability_2_used,151.94,2팀,MER1T,캐서디,0
[00:04:08] ,ability_1_used,152.21,2팀,Fielder,키리코,0
[00:04:08] ,ability_1_used,152.42,2팀,MER1T,캐서디,0
[00:04:09] ,ultimate_end,152.68,2팀,ChiYo,주노,0,1
[00:04:09] ,ability_2_used,152.87,2팀,ChiYo,주노,0
[00:04:09] ,ability_2_used,153.11,1팀,Bernar,라마트라,0
[00:04:09] ,echo_duplicate_end,153.30,1팀,Proper,에코,1
[00:04:10] ,****,154.00,2팀,MER1T,캐서디,1팀,Bernar,라마트라,Melee,17.59,0,0
[00:04:10] ,ultimate_end,154.00,1팀,Bernar,라마트라,0,1
[00:04:10] ,****,154.04,1팀,Bernar,라마트라,2팀,MER1T,캐서디,Ultimate,59.80,0,0
[00:04:10] ,ability_1_used,154.12,1팀,Proper,에코,0
[00:04:10] ,defensive_assist,154.26,2팀,Fielder,키리코,0
[00:04:12] ,ability_1_used,156.31,1팀,Viol2t,우양,0
[00:04:13] ,ability_2_used,157.19,1팀,Proper,에코,0
