[00:00:00] ,match_start,0,콜로세오,밀기,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:08] ,hero_spawn,0,1팀,ChiYo,루시우,0,0
[00:00:14] ,hero_spawn,0,1팀,CheckMate,시메트라,0,0
[00:00:17] ,hero_spawn,0,2팀,shy,프레야,0,0
[00:00:22] ,hero_spawn,0,1팀,Someone,오리사,0,0
[00:00:51] ,hero_spawn,0,2팀,Guxue,마우가,0,0
[00:00:51] ,hero_spawn,0,2팀,EVAEL,바스티온,0,0
[00:00:55] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:56] ,hero_swap,0,1팀,CheckMate,벤처,시메트라,0
[00:00:57] ,hero_spawn,0,1팀,MER1T,프레야,0,0
[00:00:59] ,hero_spawn,0,2팀,MAKA,키리코,0,0
[00:01:00] ,hero_spawn,0,2팀,LeeSooMin,루시우,0,0
[00:01:00] ,hero_swap,0,1팀,CheckMate,시메트라,벤처,0
[00:01:01] ,hero_swap,0,1팀,ChiYo,브리기테,루시우,0
[00:01:02] ,hero_swap,0,1팀,ChiYo,주노,브리기테,0
[00:01:03] ,hero_swap,0,2팀,LeeSooMin,제트팩 캣,루시우,0
[00:01:04] ,hero_swap,0,1팀,ChiYo,모이라,주노,0
[00:01:11] ,hero_swap,0,2팀,EVAEL,시온,바스티온,0
[00:01:16] ,hero_swap,0,1팀,ChiYo,브리기테,모이라,0
[00:01:41] ,hero_swap,0,2팀,MAKA,주노,키리코,0
[00:01:43] ,setup_complete,0,1,599.99
[00:01:43] ,ability_1_used,0.02,2팀,MAKA,주노,0
[00:01:43] ,ability_2_used,0.02,2팀,MAKA,주노,0
[00:01:43] ,ability_1_used,0.91,2팀,EVAEL,시온,0
[00:01:44] ,ability_2_used,1.10,2팀,shy,프레야,0
[00:01:44] ,ability_1_used,1.23,2팀,Guxue,마우가,0
[00:01:44] ,ability_2_used,1.31,2팀,EVAEL,시온,0
[00:01:44] ,hero_swap,1.39,2팀,LeeSooMin,루시우,제트팩 캣,1.39
[00:01:44] ,ability_1_used,1.39,2팀,LeeSooMin,루시우,0
[00:01:44] ,ability_2_used,1.66,2팀,LeeSooMin,루시우,0
[00:01:44] ,ability_1_used,1.73,2팀,shy,프레야,0
[00:01:45] ,ability_2_used,2.45,1팀,CheckMate,시메트라,0
[00:01:45] ,hero_swap,2.50,2팀,MAKA,키리코,주노,2.50
[00:01:46] ,ability_1_used,3.06,2팀,shy,프레야,0
[00:01:46] ,ability_1_used,3.15,2팀,MAKA,키리코,0
[00:01:46] ,ability_2_used,3.79,1팀,Someone,오리사,0
[00:01:47] ,ability_1_used,4.11,1팀,MER1T,프레야,0
[00:01:49] ,ability_1_used,6.86,1팀,MER1T,프레야,0
[00:01:49] ,ability_1_used,6.90,2팀,EVAEL,시온,0
[00:01:50] ,hero_swap,7.02,1팀,CheckMate,트레이서,시메트라,7.02
[00:01:50] ,ability_1_used,7.36,1팀,CheckMate,트레이서,0
[00:01:50] ,ability_1_used,7.86,1팀,CheckMate,트레이서,0
[00:01:51] ,ability_1_used,8.18,1팀,CheckMate,트레이서,0
[00:01:52] ,ability_1_used,9.44,2팀,Guxue,마우가,0
[00:01:53] ,ability_1_used,10.58,1팀,CheckMate,트레이서,0
[00:01:55] ,ability_1_used,12.58,1팀,MER1T,프레야,0
[00:01:56] ,ability_1_used,13.22,2팀,shy,프레야,0
[00:01:57] ,ability_1_used,14.24,1팀,ChiYo,브리기테,0
[00:01:59] ,ability_2_used,16.26,1팀,ChiYo,브리기테,0
[00:02:02] ,ability_1_used,19.38,1팀,MER1T,프레야,0
[00:02:03] ,ability_1_used,20.72,2팀,LeeSooMin,루시우,0
[00:02:04] ,ability_1_used,21.30,2팀,shy,프레야,0
[00:02:04] ,ability_1_used,21.33,1팀,CheckMate,트레이서,0
[00:02:04] ,ability_1_used,21.79,2팀,shy,프레야,0
[00:02:05] ,ability_1_used,22.32,2팀,EVAEL,시온,0
[00:02:05] ,ability_1_used,22.37,1팀,CheckMate,트레이서,0
[00:02:05] ,ability_2_used,22.51,1팀,ChiYo,브리기테,0
[00:02:06] ,ability_1_used,23.12,2팀,LeeSooMin,루시우,0
[00:02:06] ,ability_1_used,23.38,1팀,MER1T,프레야,0
[00:02:06] ,ability_2_used,23.94,1팀,ChiYo,브리기테,0
[00:02:07] ,ability_1_used,24.59,2팀,LeeSooMin,루시우,0
[00:02:08] ,ability_1_used,24.98,1팀,ChiYo,브리기테,0
[00:02:09] ,ability_1_used,26.70,2팀,shy,프레야,0
