[00:00:00] ,match_start,0,콜로세오,밀기,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:14] ,hero_spawn,0,2팀,kellex,루시우,0,0
[00:00:15] ,hero_spawn,0,1팀,CheckMate,시메트라,0,0
[00:00:27] ,hero_spawn,0,2팀,FiNN,도미나,0,0
[00:00:28] ,hero_spawn,0,1팀,ChiYo,제트팩 캣,0,0
[00:00:30] ,hero_swap,0,2팀,FiNN,키리코,도미나,0
[00:00:32] ,hero_spawn,0,1팀,Someone,라인하르트,0,0
[00:00:32] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:34] ,hero_spawn,0,2팀,LBBD7,시에라,0,0
[00:00:42] ,hero_spawn,0,2팀,Risk,도미나,0,0
[00:00:56] ,hero_spawn,0,2팀,AlphaYi,시메트라,0,0
[00:01:00] ,hero_spawn,0,1팀,MER1T,바스티온,0,0
[00:01:09] ,hero_swap,0,2팀,LBBD7,바스티온,시에라,0
[00:01:32] ,hero_swap,0,2팀,FiNN,주노,키리코,0
[00:01:34] ,hero_swap,0,1팀,ChiYo,루시우,제트팩 캣,0
[00:01:39] ,hero_swap,0,1팀,Fielder,주노,키리코,0
[00:01:40] ,ability_1_used,0,2팀,kellex,루시우,0
[00:01:40] ,ability_2_used,0,1팀,Fielder,주노,0
[00:01:40] ,setup_complete,0,1,599.99
[00:01:40] ,ability_1_used,0.02,1팀,ChiYo,루시우,0
[00:01:40] ,ability_2_used,0.02,2팀,FiNN,주노,0
[00:01:40] ,ability_2_used,0.06,2팀,AlphaYi,시메트라,0
[00:01:42] ,ability_2_used,1.79,1팀,CheckMate,시메트라,0
[00:01:43] ,hero_swap,2.19,1팀,Fielder,키리코,주노,2.19
[00:01:43] ,hero_swap,2.34,2팀,FiNN,키리코,주노,2.34
[00:01:43] ,ability_1_used,2.66,2팀,FiNN,키리코,0
[00:01:43] ,ability_1_used,2.66,1팀,Fielder,키리코,0
[00:01:43] ,ability_2_used,2.74,1팀,ChiYo,루시우,0
[00:01:44] ,ability_2_used,3.39,2팀,kellex,루시우,0
[00:01:45] ,ability_1_used,4.30,1팀,Someone,라인하르트,0
[00:01:46] ,ability_1_used,6.06,2팀,AlphaYi,시메트라,0
[00:01:48] ,ability_1_used,7.33,1팀,CheckMate,시메트라,0
[00:01:49] ,ability_2_used,8.22,1팀,Someone,라인하르트,0
[00:01:50] ,ability_2_used,9.22,1팀,Someone,라인하르트,0
[00:01:51] ,ability_2_used,10.69,2팀,Risk,도미나,0
[00:01:51] ,ability_1_used,10.90,2팀,AlphaYi,시메트라,0
[00:01:53] ,ability_1_used,12.93,1팀,ChiYo,루시우,0
[00:01:56] ,ability_1_used,15.65,1팀,CheckMate,시메트라,0
[00:01:56] ,ability_1_used,15.70,1팀,ChiYo,루시우,0
[00:01:57] ,ability_1_used,16.50,1팀,CheckMate,시메트라,0
[00:01:57] ,ability_2_used,16.77,1팀,Someone,라인하르트,0
[00:01:58] ,ability_1_used,17.60,1팀,ChiYo,루시우,0
[00:01:58] ,ability_1_used,17.65,2팀,kellex,루시우,0
[00:01:58] ,ability_1_used,18.06,2팀,AlphaYi,시메트라,0
[00:02:00] ,ability_2_used,19.39,2팀,Risk,도미나,0
[00:02:01] ,ability_1_used,20.19,2팀,kellex,루시우,0
[00:02:02] ,ability_2_used,21.81,1팀,Someone,라인하르트,0
[00:02:08] ,ability_1_used,28.06,2팀,kellex,루시우,0
[00:02:09] ,ability_1_used,28.77,2팀,AlphaYi,시메트라,0
[00:02:09] ,ability_2_used,28.82,2팀,kellex,루시우,0
[00:02:09] ,ability_2_used,28.94,2팀,Risk,도미나,0
[00:02:10] ,ability_1_used,29.65,2팀,LBBD7,바스티온,0
[00:02:10] ,ability_1_used,29.92,1팀,ChiYo,루시우,0
[00:02:11] ,ability_2_used,30.62,1팀,Someone,라인하르트,0
[00:02:12] ,ability_1_used,31.18,2팀,kellex,루시우,0
[00:02:13] ,ability_1_used,32.80,2팀,Risk,도미나,0
[00:02:14] ,ability_1_used,33.74,2팀,kellex,루시우,0
[00:02:15] ,ability_2_used,34.80,1팀,ChiYo,루시우,0
[00:02:15] ,ability_1_used,34.83,1팀,ChiYo,루시우,0
[00:02:16] ,ability_1_used,35.41,2팀,kellex,루시우,0
[00:02:17] ,ability_2_used,36.34,1팀,CheckMate,시메트라,0
[00:02:17] ,ability_2_used,37.09,1팀,Someone,라인하르트,0
[00:02:18] ,ability_1_used,37.22,1팀,MER1T,바스티온,0
[00:02:18] ,ability_2_used,37.25,2팀,AlphaYi,시메트라,0
[00:02:18] ,ability_2_used,37.60,2팀,Risk,도미나,0
[00:02:18] ,ability_2_used,38.18,2팀,FiNN,키리코,0
[00:02:19] ,ability_1_used,38.22,1팀,Someone,라인하르트,0
[00:02:20] ,****,40.18,1팀,MER1T,바스티온,2팀,AlphaYi,시메트라,Primary Fire,6.56,0,0
[00:02:21] ,offensive_assist,40.46,1팀,ChiYo,루시우,0
[00:02:21] ,defensive_assist,40.56,1팀,Fielder,키리코,0
[00:02:21] ,****,40.66,1팀,Someone,라인하르트,2팀,Risk,도미나,Ability 1,199.53,0,0
[00:02:21] ,ability_1_used,40.91,1팀,ChiYo,루시우,0
[00:02:21] ,offensive_assist,40.94,1팀,ChiYo,루시우,0
[00:02:21] ,defensive_assist,41.04,1팀,Fielder,키리코,0
[00:02:22] ,ability_1_used,41.42,2팀,kellex,루시우,0
[00:02:22] ,ability_2_used,41.46,1팀,Fielder,키리코,0
[00:02:22] ,ability_2_used,41.65,1팀,Someone,라인하르트,0
[00:02:22] ,****,41.86,1팀,CheckMate,시메트라,2팀,LBBD7,바스티온,Primary Fire,19.74,0,0
[00:02:22] ,offensive_assist,41.87,1팀,ChiYo,루시우,0
[00:02:22] ,defensive_assist,41.98,1팀,Fielder,키리코,0
[00:02:23] ,****,42.35,1팀,CheckMate,시메트라,2팀,kellex,루시우,Primary Fire,5.15,0,0
