[00:00:00] ,match_start,0,아틀리스,플래시포인트,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:10] ,hero_spawn,0,2팀,HESTY,루시우,0,0
[00:00:11] ,hero_spawn,0,1팀,mazzless,위도우메이커,0,0
[00:00:13] ,hero_spawn,0,1팀,APDO,벤데타,0,0
[00:00:15] ,hero_spawn,0,1팀,Roxy,자리야,0,0
[00:00:15] ,hero_spawn,0,1팀,Ky0n,소전,0,0
[00:00:16] ,hero_spawn,0,2팀,Kirito,벤처,0,0
[00:00:19] ,hero_spawn,0,1팀,Neivis,키리코,0,0
[00:00:20] ,hero_swap,0,1팀,mazzless,우양,위도우메이커,0
[00:00:36] ,hero_spawn,0,2팀,GACHAPIN,소전,0,0
[00:00:38] ,hero_spawn,0,2팀,nozl,자리야,0,0
[00:00:50] ,hero_spawn,0,2팀,MolangMolang,키리코,0,0
[00:00:59] ,hero_swap,0,2팀,Kirito,시메트라,벤처,0
[00:00:59] ,hero_swap,0,1팀,APDO,시메트라,벤데타,0
[00:02:01] ,setup_complete,0,1,29.99
[00:02:01] ,ability_2_used,0.02,2팀,Kirito,시메트라,0
[00:02:01] ,ability_1_used,0.02,2팀,HESTY,루시우,0
[00:02:02] ,ability_2_used,1.02,1팀,APDO,시메트라,0
[00:02:03] ,ability_2_used,2.34,2팀,HESTY,루시우,0
[00:02:03] ,hero_swap,2.70,1팀,APDO,벤데타,시메트라,2.70
[00:02:03] ,hero_swap,2.78,2팀,Kirito,벤데타,시메트라,2.78
[00:02:04] ,ability_2_used,3.23,1팀,APDO,벤데타,0
[00:02:04] ,ability_2_used,3.42,2팀,Kirito,벤데타,0
[00:02:04] ,ability_1_used,3.52,2팀,GACHAPIN,소전,0
[00:02:05] ,ability_1_used,3.98,1팀,mazzless,우양,0
[00:02:05] ,ability_1_used,4.21,1팀,Ky0n,소전,0
[00:02:06] ,ability_1_used,5.68,2팀,MolangMolang,키리코,0
[00:02:10] ,ability_1_used,9.17,2팀,HESTY,루시우,0
[00:02:12] ,ability_1_used,11.04,2팀,HESTY,루시우,0
[00:02:12] ,ability_2_used,11.49,2팀,GACHAPIN,소전,0
[00:02:13] ,ability_1_used,12.27,1팀,Roxy,자리야,0
[00:02:15] ,ability_2_used,14.40,1팀,Ky0n,소전,0
[00:02:16] ,ability_2_used,15.17,1팀,APDO,벤데타,0
[00:02:17] ,ability_1_used,16.18,2팀,nozl,자리야,0
[00:02:17] ,ability_1_used,16.64,2팀,HESTY,루시우,0
[00:02:18] ,ability_2_used,16.93,2팀,Kirito,벤데타,0
[00:02:18] ,ability_2_used,17.09,1팀,Roxy,자리야,0
[00:02:18] ,ability_1_used,17.74,2팀,HESTY,루시우,0
[00:02:19] ,ability_1_used,18.42,1팀,Ky0n,소전,0
[00:02:20] ,ability_2_used,19.31,1팀,Neivis,키리코,0
[00:02:22] ,ability_2_used,21.55,2팀,HESTY,루시우,0
[00:02:22] ,ability_1_used,21.65,2팀,HESTY,루시우,0
[00:02:23] ,ability_2_used,22.18,2팀,nozl,자리야,0
[00:02:23] ,ability_2_used,22.19,2팀,MolangMolang,키리코,0
[00:02:24] ,ability_1_used,23.76,1팀,Neivis,키리코,0
[00:02:25] ,ability_2_used,24.43,1팀,APDO,벤데타,0
[00:02:25] ,ability_1_used,24.50,1팀,Roxy,자리야,0
[00:02:26] ,ability_2_used,25.49,2팀,Kirito,벤데타,0
[00:02:26] ,ability_1_used,25.60,2팀,GACHAPIN,소전,0
[00:02:26] ,ability_1_used,25.79,2팀,HESTY,루시우,0
[00:02:27] ,kill,26.00,1팀,Roxy,자리야,2팀,HESTY,루시우,Secondary Fire,5.06,0,0
[00:02:27] ,kill,26.00,1팀,Roxy,자리야,2팀,GACHAPIN,소전,Secondary Fire,56.09,0,0
[00:02:27] ,defensive_assist,26.38,1팀,Neivis,키리코,0
[00:02:27] ,defensive_assist,26.38,1팀,Neivis,키리코,0
[00:02:28] ,ability_1_used,27.70,1팀,mazzless,우양,0
[00:02:29] ,ability_2_used,28.10,1팀,mazzless,우양,0
[00:02:29] ,ability_2_used,28.40,2팀,nozl,자리야,0
[00:02:31] ,kill,30.75,1팀,Roxy,자리야,2팀,Kirito,벤데타,Primary Fire,1.37,0,0
[00:02:32] ,offensive_assist,31.07,1팀,Neivis,키리코,0
[00:02:32] ,defensive_assist,31.07,1팀,Neivis,키리코,0
[00:02:32] ,ability_2_used,31.41,1팀,APDO,벤데타,0
[00:02:32] ,kill,31.50,1팀,APDO,벤데타,2팀,nozl,자리야,Ability 2,42.59,0,0
[00:02:32] ,defensive_assist,31.55,1팀,Neivis,키리코,0
[00:02:33] ,ability_1_used,32.03,1팀,Ky0n,소전,0
[00:02:36] ,point_progress,34.93,1,2팀,0,33.49
[00:02:37] ,point_progress,36.70,1,2팀,0,66.79
[00:02:39] ,ability_1_used,38.08,2팀,HESTY,루시우,0
[00:02:39] ,ability_2_used,38.40,1팀,APDO,벤데타,0
[00:02:39] ,objective_captured,38.48,1,1팀,0,0.02,0,0
[00:02:40] ,ability_1_used,38.91,2팀,GACHAPIN,소전,0
[00:02:40] ,ability_2_used,38.94,2팀,Kirito,벤데타,0
[00:02:41] ,ability_2_used,40.14,2팀,MolangMolang,키리코,0
[00:02:42] ,ability_1_used,41.09,1팀,Ky0n,소전,0
[00:02:48] ,ability_2_used,47.20,1팀,APDO,벤데타,0
[00:02:48] ,ability_2_used,47.38,2팀,Kirito,벤데타,0
[00:02:49] ,ability_2_used,48.62,1팀,Roxy,자리야,0
[00:02:50] ,ability_2_used,48.83,2팀,nozl,자리야,0
[00:02:51] ,ability_2_used,50.19,2팀,GACHAPIN,소전,0
[00:02:52] ,ability_1_used,50.85,2팀,GACHAPIN,소전,0
[00:02:52] ,ability_2_used,51.25,1팀,Ky0n,소전,0
[00:02:52] ,ability_2_used,51.61,2팀,HESTY,루시우,0
[00:02:53] ,ability_2_used,52.27,1팀,Neivis,키리코,0
[00:02:53] ,ability_1_used,52.80,2팀,nozl,자리야,0
[00:02:55] ,ability_1_used,53.89,1팀,Ky0n,소전,0
[00:02:55] ,ability_2_used,54.62,1팀,APDO,벤데타,0
[00:02:55] ,ability_2_used,54.64,2팀,Kirito,벤데타,0
[00:02:56] ,ability_1_used,54.96,2팀,HESTY,루시우,0
[00:02:57] ,kill,56.24,1팀,mazzless,우양,2팀,GACHAPIN,소전,0,25.23,0,0
[00:02:59] ,ability_1_used,58.38,2팀,HESTY,루시우,0
[00:03:02] ,ability_1_used,61.36,2팀,HESTY,루시우,0
[00:03:03] ,kill,62.05,1팀,mazzless,우양,2팀,MolangMolang,키리코,0,18,0,0
[00:03:03] ,defensive_assist,62.13,1팀,Neivis,키리코,0
[00:03:03] ,ability_1_used,62.40,2팀,HESTY,루시우,0
[00:03:04] ,ability_2_used,63.15,1팀,APDO,벤데타,0
[00:03:04] ,ability_1_used,63.33,2팀,nozl,자리야,0
[00:03:05] ,ability_2_used,64.01,1팀,Roxy,자리야,0
[00:03:05] ,kill,64.38,1팀,Neivis,키리코,2팀,nozl,자리야,0,55.10,0,0
[00:03:05] ,defensive_assist,64.45,1팀,Neivis,키리코,0
[00:03:09] ,ability_2_used,67.90,2팀,Kirito,벤데타,0
[00:03:09] ,ability_2_used,68.48,1팀,Neivis,키리코,0
