[00:00:00] ,match_start,0,수라바사,플래시포인트,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:10] ,hero_spawn,0,1팀,HanBin,D.Va,0,0
[00:00:14] ,hero_spawn,0,1팀,ChiYo,주노,0,0
[00:00:16] ,hero_spawn,0,2팀,skewed,주노,0,0
[00:00:17] ,hero_spawn,0,2팀,ZEST,벤데타,0,0
[00:00:18] ,hero_swap,0,1팀,ChiYo,제트팩 캣,주노,0
[00:00:28] ,hero_spawn,0,1팀,Fielder,모이라,0,0
[00:00:32] ,hero_spawn,0,2팀,Bliss,루시우,0,0
[00:00:38] ,hero_spawn,0,1팀,SP1NT,정커퀸,0,0
[00:00:38] ,hero_spawn,0,1팀,MER1T,바스티온,0,0
[00:00:38] ,hero_spawn,0,2팀,Proud,소전,0,0
[00:00:42] ,hero_swap,0,1팀,SP1NT,레킹볼,정커퀸,0
[00:00:55] ,hero_swap,0,1팀,HanBin,마우가,D.Va,0
[00:00:59] ,hero_swap,0,1팀,SP1NT,시온,레킹볼,0
[00:01:06] ,hero_swap,0,1팀,MER1T,소전,바스티온,0
[00:01:09] ,hero_spawn,0,2팀,DONGHAK,트레이서,0,0
[00:01:10] ,hero_swap,0,1팀,ChiYo,우양,제트팩 캣,0
[00:01:14] ,hero_swap,0,2팀,skewed,바티스트,주노,0
[00:01:15] ,hero_swap,0,2팀,DONGHAK,레킹볼,트레이서,0
[00:01:18] ,hero_swap,0,1팀,SP1NT,안란,시온,0
[00:01:19] ,hero_swap,0,1팀,ChiYo,주노,우양,0
[00:01:21] ,hero_swap,0,1팀,ChiYo,메르시,주노,0
[00:01:23] ,hero_swap,0,2팀,DONGHAK,마우가,레킹볼,0
[00:01:24] ,hero_swap,0,1팀,SP1NT,겐지,안란,0
[00:01:29] ,hero_swap,0,2팀,skewed,모이라,바티스트,0
[00:01:35] ,hero_swap,0,2팀,skewed,주노,모이라,0
[00:01:55] ,hero_swap,0,1팀,Fielder,미즈키,모이라,0
[00:01:56] ,hero_swap,0,1팀,SP1NT,안란,겐지,0
[00:01:58] ,hero_swap,0,1팀,ChiYo,주노,메르시,0
[00:02:14] ,hero_swap,0,2팀,Bliss,브리기테,루시우,0
[00:02:23] ,hero_swap,0,2팀,skewed,젠야타,주노,0
[00:02:24] ,hero_swap,0,2팀,skewed,주노,젠야타,0
[00:02:27] ,setup_complete,0,1,29.99
[00:02:28] ,ability_2_used,1.09,2팀,ZEST,벤데타,0
[00:02:28] ,ability_1_used,1.20,1팀,SP1NT,안란,0
[00:02:28] ,ability_1_used,1.22,2팀,Proud,소전,0
[00:02:28] ,ability_1_used,1.34,1팀,HanBin,마우가,0
[00:02:28] ,ability_1_used,1.44,1팀,Fielder,미즈키,0
[00:02:28] ,ability_1_used,1.60,2팀,DONGHAK,마우가,0
[00:02:29] ,ability_1_used,1.98,1팀,ChiYo,주노,0
[00:02:29] ,ability_1_used,2.02,2팀,ZEST,벤데타,0
[00:02:29] ,ability_1_used,2.16,2팀,skewed,주노,0
[00:02:29] ,ability_2_used,2.59,1팀,ChiYo,주노,0
[00:02:29] ,ability_1_used,2.74,1팀,MER1T,소전,0
[00:02:29] ,ability_1_used,2.86,1팀,SP1NT,안란,0
[00:02:38] ,ability_1_used,11.60,1팀,MER1T,소전,0
[00:02:46] ,ability_2_used,19.84,2팀,Bliss,브리기테,0
[00:02:55] ,ability_2_used,28.24,2팀,skewed,주노,0
[00:02:55] ,ability_2_used,28.67,1팀,ChiYo,주노,0
[00:02:56] ,ability_1_used,28.98,1팀,HanBin,마우가,0
[00:02:56] ,ability_2_used,29.60,2팀,ZEST,벤데타,0
[00:02:56] ,ability_1_used,29.70,1팀,SP1NT,안란,0
[00:02:57] ,ability_2_used,30.16,1팀,Fielder,미즈키,0
[00:02:58] ,ability_1_used,31.17,1팀,ChiYo,주노,0
[00:02:58] ,ability_1_used,31.38,2팀,Proud,소전,0
[00:02:59] ,ability_1_used,32.46,1팀,Fielder,미즈키,0
[00:02:59] ,ability_2_used,32.91,2팀,Bliss,브리기테,0
[00:03:00] ,ability_1_used,33.14,2팀,ZEST,벤데타,0
[00:03:00] ,ability_1_used,33.50,2팀,Bliss,브리기테,0
[00:03:01] ,ability_2_used,34.05,1팀,MER1T,소전,0
[00:03:01] ,****,34.53,2팀,ZEST,벤데타,1팀,SP1NT,안란,Primary Fire,35.60,0,0
[00:03:01] ,ability_2_used,34.61,2팀,Proud,소전,0
[00:03:01] ,offensive_assist,34.88,2팀,Bliss,브리기테,0
[00:03:02] ,ability_2_used,34.96,1팀,HanBin,마우가,0
[00:03:02] ,ability_1_used,35.55,1팀,MER1T,소전,0
[00:03:03] ,****,36.19,1팀,MER1T,소전,2팀,Proud,소전,Secondary Fire,12.95,0,0
[00:03:03] ,ability_2_used,36.34,2팀,Bliss,브리기테,0
[00:03:03] ,ability_1_used,36.72,2팀,DONGHAK,마우가,0
[00:03:04] ,ability_1_used,37.68,1팀,HanBin,마우가,0
[00:03:05] ,ability_2_used,38.90,2팀,ZEST,벤데타,0
[00:03:06] ,ability_2_used,39.46,2팀,Bliss,브리기테,0
[00:03:10] ,ability_1_used,43.09,2팀,Bliss,브리기테,0
[00:03:10] ,ability_2_used,43.25,2팀,skewed,주노,0
[00:03:10] ,ability_1_used,43.63,2팀,DONGHAK,마우가,0
[00:03:11] ,ability_2_used,44.22,1팀,ChiYo,주노,0
[00:03:11] ,ability_2_used,44.78,2팀,Bliss,브리기테,0
[00:03:11] ,ability_1_used,44.91,1팀,ChiYo,주노,0
[00:03:12] ,ability_1_used,45.09,1팀,MER1T,소전,0
[00:03:12] ,ability_1_used,45.12,1팀,SP1NT,안란,0
[00:03:12] ,point_progress,45.18,1,2팀,0,33.50
[00:03:13] ,ability_2_used,46.21,1팀,Fielder,미즈키,0
[00:03:13] ,ability_1_used,46.82,2팀,Proud,소전,0
[00:03:13] ,ability_1_used,46.82,1팀,HanBin,마우가,0
[00:03:13] ,ability_1_used,46.82,1팀,SP1NT,안란,0
[00:03:14] ,ability_2_used,46.94,2팀,DONGHAK,마우가,0
[00:03:14] ,ability_1_used,47.10,1팀,Fielder,미즈키,0
[00:03:14] ,ability_2_used,47.68,2팀,ZEST,벤데타,0
[00:03:14] ,ability_1_used,47.71,2팀,skewed,주노,0
[00:03:16] ,****,49.04,2팀,ZEST,벤데타,1팀,ChiYo,주노,Ability 2,70,0,0
[00:03:16] ,defensive_assist,49.39,2팀,DONGHAK,마우가,0
[00:03:16] ,defensive_assist,49.42,2팀,Bliss,브리기테,0
[00:03:17] ,ability_2_used,49.98,2팀,Bliss,브리기테,0
[00:03:17] ,****,50.43,1팀,MER1T,소전,2팀,DONGHAK,마우가,Secondary Fire,58.17,0,0
[00:03:17] ,defensive_assist,50.85,1팀,Fielder,미즈키,0
[00:03:18] ,ability_1_used,51.26,2팀,Bliss,브리기테,0
[00:03:18] ,ability_2_used,51.33,1팀,HanBin,마우가,0
[00:03:19] ,ability_2_used,51.93,2팀,Bliss,브리기테,0
[00:03:19] ,ability_1_used,52.83,1팀,MER1T,소전,0
[00:03:20] ,ability_1_used,53.18,1팀,SP1NT,안란,0
[00:03:22] ,ability_1_used,55.09,2팀,Proud,소전,0
[00:03:22] ,ability_1_used,55.57,1팀,HanBin,마우가,0
[00:03:22] ,ability_2_used,55.69,1팀,MER1T,소전,0
[00:03:25] ,ability_1_used,58.09,2팀,ZEST,벤데타,0
[00:03:25] ,ability_2_used,58.11,2팀,skewed,주노,0
[00:03:25] ,ability_1_used,58.17,2팀,Bliss,브리기테,0
[00:03:25] ,****,58.41,1팀,MER1T,소전,2팀,Bliss,브리기테,Secondary Fire,5.90,0,0
[00:03:25] ,defensive_assist,58.81,1팀,Fielder,미즈키,0
[00:03:25] ,offensive_assist,58.86,1팀,HanBin,마우가,0
[00:03:26] ,ability_1_used,58.97,1팀,Fielder,미즈키,0
[00:03:26] ,ability_2_used,59.60,1팀,Fielder,미즈키,0
[00:03:26] ,ability_1_used,59.63,1팀,ChiYo,주노,0
[00:03:26] ,point_progress,59.73,1,2팀,0,33.59
[00:03:26] ,****,59.87,1팀,Fielder,미즈키,2팀,ZEST,벤데타,Ability 2,48.27,0,0
[00:03:27] ,defensive_assist,60.22,1팀,Fielder,미즈키,0
[00:03:27] ,offensive_assist,60.27,1팀,HanBin,마우가,0
[00:03:28] ,ability_1_used,60.96,2팀,skewed,주노,0
[00:03:28] ,ability_2_used,61.47,1팀,ChiYo,주노,0
[00:03:28] ,ability_1_used,61.58,2팀,DONGHAK,마우가,0
[00:03:28] ,****,61.63,2팀,skewed,주노,1팀,MER1T,소전,Primary Fire,6.10,0,0
[00:03:28] ,defensive_assist,61.68,2팀,Bliss,브리기테,0
