[00:00:00] ,match_start,0,뉴 퀸 스트리트,밀기,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:10] ,hero_spawn,0,2팀,shy,프레야,0,0
[00:00:10] ,hero_spawn,0,2팀,LeeSooMin,루시우,0,0
[00:00:14] ,hero_spawn,0,1팀,ChiYo,브리기테,0,0
[00:00:17] ,hero_spawn,0,1팀,CheckMate,트레이서,0,0
[00:00:18] ,hero_swap,0,2팀,LeeSooMin,제트팩 캣,루시우,0
[00:00:22] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:26] ,hero_swap,0,1팀,CheckMate,시메트라,트레이서,0
[00:00:30] ,hero_spawn,0,1팀,Someone,라마트라,0,0
[00:00:31] ,hero_swap,0,1팀,CheckMate,트레이서,시메트라,0
[00:00:43] ,hero_spawn,0,2팀,Guxue,마우가,0,0
[00:00:50] ,hero_swap,0,2팀,LeeSooMin,루시우,제트팩 캣,0
[00:00:50] ,hero_spawn,0,1팀,MER1T,프레야,0,0
[00:00:52] ,hero_spawn,0,2팀,MAKA,키리코,0,0
[00:00:59] ,hero_spawn,0,2팀,EVAEL,트레이서,0,0
[00:01:05] ,hero_swap,0,1팀,CheckMate,시메트라,트레이서,0
[00:01:06] ,hero_swap,0,2팀,EVAEL,시온,트레이서,0
[00:01:20] ,hero_swap,0,1팀,Fielder,바티스트,키리코,0
[00:01:28] ,hero_swap,0,1팀,Fielder,키리코,바티스트,0
[00:01:36] ,hero_swap,0,2팀,MAKA,주노,키리코,0
[00:01:53] ,hero_swap,0,1팀,Fielder,아나,키리코,0
[00:02:02] ,hero_swap,0,1팀,Fielder,키리코,아나,0
[00:02:28] ,hero_swap,0,1팀,Fielder,제트팩 캣,키리코,0
[00:02:33] ,hero_swap,0,1팀,Fielder,키리코,제트팩 캣,0
[00:02:34] ,setup_complete,0,1,599.99
[00:02:34] ,ability_1_used,0.02,2팀,LeeSooMin,루시우,0
[00:02:35] ,ability_1_used,0.86,2팀,shy,프레야,0
[00:02:35] ,ability_2_used,1.02,2팀,LeeSooMin,루시우,0
[00:02:36] ,ability_1_used,1.70,2팀,Guxue,마우가,0
[00:02:36] ,ability_1_used,1.87,2팀,shy,프레야,0
[00:02:36] ,hero_swap,2.10,2팀,MAKA,키리코,주노,2.10
[00:02:36] ,ability_2_used,2.13,1팀,CheckMate,시메트라,0
[00:02:36] ,ability_2_used,2.14,2팀,EVAEL,시온,0
[00:02:37] ,ability_1_used,2.37,2팀,MAKA,키리코,0
[00:02:38] ,ability_1_used,3.49,1팀,Someone,라마트라,0
[00:02:38] ,ability_1_used,3.50,1팀,MER1T,프레야,0
[00:02:39] ,ability_1_used,4.62,1팀,MER1T,프레야,0
[00:02:40] ,ability_1_used,5.34,2팀,shy,프레야,0
[00:02:40] ,ability_1_used,6.11,1팀,Fielder,키리코,0
[00:02:41] ,hero_swap,7.14,1팀,CheckMate,트레이서,시메트라,7.14
