[00:01:48] ,****,29.25,1팀,MER1T,시온,2팀,HeeSang,시메트라,Primary Fire,35.65,True,0
[00:01:48] ,defensive_assist,29.30,2팀,CH0R0NG,미즈키,0
[00:01:52] ,****,32.86,2팀,MAX,시그마,1팀,MER1T,시온,Primary Fire,10.32,0,0
[00:01:52] ,defensive_assist,33.02,2팀,vigilante,키리코,0
[00:01:53] ,ability_1_used,34.18,1팀,ChiYo,주노,0
[00:01:54] ,ability_1_used,34.91,2팀,vigilante,키리코,0
[00:01:54] ,ability_1_used,34.93,1팀,SP1NT,벤데타,0
[00:01:54] ,ability_1_used,35.01,1팀,HanBin,마우가,0
[00:01:54] ,ability_2_used,35.50,1팀,ChiYo,주노,0
[00:01:55] ,ability_1_used,35.92,2팀,CH0R0NG,미즈키,0
[00:01:55] ,ability_1_used,35.98,2팀,STALK3R,시온,0
[00:01:55] ,ability_2_used,36.38,2팀,STALK3R,시온,0
[00:01:56] ,ability_2_used,36.77,2팀,HeeSang,시메트라,0
[00:01:56] ,point_progress,36.78,1,All Teams,0,33.49
[00:01:57] ,point_progress,38.74,1,All Teams,0,66.89
[00:01:59] ,objective_captured,40.51,1,2팀,0,0,0.01,0
[00:02:00] ,****,40.86,2팀,MAX,시그마,1팀,ChiYo,주노,Primary Fire,2.17,0,0
[00:02:00] ,defensive_assist,41.01,2팀,vigilante,키리코,0
[00:02:00] ,defensive_assist,41.04,2팀,CH0R0NG,미즈키,0
[00:02:00] ,hero_swap,41.14,2팀,CH0R0NG,우양,미즈키,41.14
[00:02:01] ,ability_2_used,41.79,1팀,MER1T,시온,0
[00:02:01] ,ability_1_used,41.90,2팀,CH0R0NG,우양,0
[00:02:01] ,ability_2_used,42.02,2팀,vigilante,키리코,0
[00:02:04] ,ability_1_used,45.18,2팀,HeeSang,시메트라,0
[00:02:06] ,ability_1_used,47.49,1팀,HanBin,마우가,0
[00:02:10] ,ability_1_used,51.44,2팀,HeeSang,시메트라,0
[00:02:10] ,ability_1_used,51.53,1팀,ChiYo,주노,0
[00:02:13] ,ability_1_used,54.01,1팀,MER1T,시온,0
[00:02:13] ,ability_1_used,54.14,2팀,HeeSang,시메트라,0
[00:02:13] ,ability_1_used,54.37,2팀,STALK3R,시온,0
[00:02:15] ,ability_1_used,55.82,1팀,Fielder,브리기테,0
[00:02:16] ,ability_2_used,56.85,1팀,Fielder,브리기테,0
[00:02:18] ,ability_2_used,58.86,2팀,STALK3R,시온,0
[00:02:20] ,ability_2_used,60.86,2팀,HeeSang,시메트라,0
[00:02:21] ,ability_1_used,62.05,1팀,MER1T,시온,0
[00:02:21] ,ability_1_used,62.51,2팀,STALK3R,시온,0
[00:02:21] ,ability_1_used,62.72,1팀,ChiYo,주노,0
[00:02:22] ,ability_2_used,62.99,1팀,Fielder,브리기테,0
[00:02:23] ,ability_2_used,64.43,2팀,MAX,시그마,0
[00:02:24] ,ability_2_used,65.07,1팀,Fielder,브리기테,0
[00:02:24] ,ability_2_used,65.68,1팀,ChiYo,주노,0
[00:02:25] ,ability_1_used,66.56,1팀,HanBin,마우가,0
[00:02:26] ,ability_2_used,67.02,1팀,SP1NT,벤데타,0
[00:02:27] ,ability_2_used,68.17,1팀,Fielder,브리기테,0
[00:02:28] ,ability_2_used,69.28,1팀,MER1T,시온,0
[00:02:29] ,ability_1_used,69.90,2팀,HeeSang,시메트라,0
[00:02:30] ,ability_2_used,70.93,1팀,Fielder,브리기테,0
[00:02:30] ,****,71.44,2팀,STALK3R,시온,1팀,ChiYo,주노,Primary Fire,59,True,0
[00:02:32] ,ability_1_used,73.57,1팀,SP1NT,벤데타,0
[00:02:34] ,ability_1_used,74.81,1팀,HanBin,마우가,0
[00:02:34] ,ability_2_used,75.02,2팀,HeeSang,시메트라,0
[00:02:36] ,ability_1_used,77.05,2팀,STALK3R,시온,0
[00:02:36] ,ability_2_used,77.45,2팀,STALK3R,시온,0
[00:02:37] ,ultimate_charged,78.17,2팀,vigilante,키리코,0,1
