[00:01:53] ,ability_1_used,43.71,2팀,ChiYo,루시우,0
[00:01:54] ,ability_1_used,44.37,1팀,Bliss,루시우,0
[00:01:54] ,ability_1_used,44.62,2팀,MER1T,소전,0
[00:01:54] ,ability_2_used,44.70,1팀,Jasm1ne,도미나,0
[00:01:55] ,ability_1_used,45.01,2팀,Fielder,키리코,0
[00:01:55] ,ability_1_used,45.02,1팀,skewed,키리코,0
[00:01:55] ,ability_1_used,45.23,2팀,ChiYo,루시우,0
[00:01:55] ,ability_2_used,45.78,1팀,skewed,키리코,0
[00:01:55] ,ability_1_used,45.97,1팀,Bliss,루시우,0
[00:01:56] ,ability_1_used,46.14,1팀,Jasm1ne,도미나,0
[00:01:56] ,ability_1_used,46.56,2팀,ChiYo,루시우,0
[00:01:57] ,ability_1_used,47.69,1팀,Bliss,루시우,0
[00:01:59] ,****,49.55,2팀,MER1T,소전,1팀,skewed,키리코,Secondary Fire,81,0,0
[00:01:59] ,defensive_assist,49.84,2팀,Fielder,키리코,0
[00:01:59] ,ability_2_used,49.92,2팀,ChiYo,루시우,0
[00:02:02] ,****,52.06,2팀,CheckMate,시메트라,1팀,Jasm1ne,도미나,Primary Fire,22.81,0,0
[00:02:02] ,defensive_assist,52.19,2팀,Fielder,키리코,0
[00:02:02] ,offensive_assist,52.29,2팀,ChiYo,루시우,0
[00:02:02] ,defensive_assist,52.29,2팀,ChiYo,루시우,0
[00:02:02] ,ability_1_used,52.96,2팀,ChiYo,루시우,0
[00:02:03] ,ability_1_used,53.39,1팀,Bliss,루시우,0
[00:02:03] ,ability_1_used,53.69,2팀,MER1T,소전,0
[00:02:03] ,ability_1_used,53.90,2팀,CheckMate,시메트라,0
[00:02:06] ,ability_2_used,56.80,2팀,CheckMate,시메트라,0
[00:02:09] ,ability_1_used,59.29,2팀,CheckMate,시메트라,0
[00:02:10] ,ability_2_used,60.77,2팀,Someone,라마트라,0
[00:02:12] ,ability_1_used,62.19,1팀,skewed,키리코,0
[00:02:15] ,ability_1_used,65.05,1팀,Bliss,루시우,0
[00:02:16] ,ability_1_used,66.69,2팀,CheckMate,시메트라,0
[00:02:18] ,ability_1_used,68.48,1팀,Bliss,루시우,0
[00:02:19] ,ability_1_used,69.52,1팀,Bliss,루시우,0
[00:02:20] ,ability_1_used,70.49,1팀,Bliss,루시우,0
[00:02:21] ,ability_2_used,71.36,1팀,Bliss,루시우,0
[00:02:22] ,ability_2_used,72.57,1팀,ZEST,시메트라,0
[00:02:22] ,ability_2_used,72.77,1팀,Jasm1ne,도미나,0
[00:02:23] ,ability_1_used,73.45,2팀,ChiYo,루시우,0
[00:02:23] ,ability_2_used,73.66,2팀,Fielder,키리코,0
[00:02:23] ,ability_2_used,73.87,2팀,MER1T,소전,0
[00:02:24] ,ability_1_used,74.01,1팀,Proud,바스티온,0
[00:02:24] ,ability_2_used,74.19,1팀,skewed,키리코,0
[00:02:24] ,ability_2_used,74.61,2팀,Someone,라마트라,0
