[00:03:12] ,****,35.15,2팀,ZEST,벤데타,1팀,ChiYo,미즈키,Primary Fire,77.15,0,0
[00:03:12] ,ability_2_used,35.25,2팀,skewed,주노,0
[00:03:12] ,offensive_assist,35.31,2팀,DONGHAK,오리사,0
[00:03:12] ,defensive_assist,35.36,2팀,Bliss,브리기테,0
[00:03:13] ,ability_1_used,36.08,2팀,Bliss,브리기테,0
[00:03:15] ,****,37.49,2팀,DONGHAK,오리사,1팀,Fielder,키리코,Primary Fire,21.19,True,0
[00:03:15] ,defensive_assist,37.68,2팀,Bliss,브리기테,0
[00:03:21] ,ability_1_used,43.58,1팀,MER1T,캐서디,0
[00:03:25] ,ability_2_used,47.55,1팀,CheckMate,시메트라,0
[00:03:25] ,ability_1_used,48.11,1팀,Fielder,키리코,0
[00:03:26] ,ability_2_used,49.33,2팀,ZEST,벤데타,0
[00:03:27] ,ability_2_used,50.19,2팀,Proud,소전,0
[00:03:32] ,ability_1_used,54.69,2팀,ZEST,벤데타,0
[00:03:37] ,ability_1_used,60.14,1팀,CheckMate,시메트라,0
[00:03:38] ,ability_2_used,60.91,2팀,Bliss,브리기테,0
[00:03:39] ,ability_1_used,61.89,1팀,CheckMate,시메트라,0
[00:03:40] ,ability_1_used,62.69,2팀,Proud,소전,0
[00:03:40] ,ability_2_used,63.01,2팀,Bliss,브리기테,0
[00:03:40] ,ability_1_used,63.04,1팀,CheckMate,시메트라,0
[00:03:40] ,ability_1_used,63.18,1팀,ChiYo,미즈키,0
[00:03:43] ,ability_2_used,65.55,2팀,skewed,주노,0
[00:03:43] ,ability_2_used,65.82,2팀,ZEST,벤데타,0
[00:03:44] ,ability_1_used,66.46,2팀,skewed,주노,0
[00:03:44] ,ability_2_used,66.51,2팀,DONGHAK,오리사,0
[00:03:44] ,ability_2_used,66.54,1팀,Someone,시그마,0
[00:03:44] ,ability_1_used,66.94,1팀,MER1T,캐서디,0
[00:03:44] ,ability_1_used,67.17,2팀,DONGHAK,오리사,0
[00:03:44] ,ability_1_used,67.34,2팀,ZEST,벤데타,0
[00:03:45] ,ability_2_used,67.44,1팀,MER1T,캐서디,0
[00:03:45] ,ability_2_used,67.89,1팀,ChiYo,미즈키,0
[00:03:45] ,ability_2_used,68.06,1팀,CheckMate,시메트라,0
[00:03:45] ,****,68.17,1팀,ChiYo,미즈키,2팀,ZEST,벤데타,Ability 2,40.59,0,0
[00:03:45] ,defensive_assist,68.30,1팀,ChiYo,미즈키,0
[00:03:46] ,defensive_assist,68.64,1팀,Fielder,키리코,0
[00:03:47] ,ability_2_used,69.79,1팀,Fielder,키리코,0
[00:03:47] ,ability_2_used,69.95,2팀,Bliss,브리기테,0
[00:03:47] ,ability_1_used,69.98,1팀,Someone,시그마,0
[00:03:48] ,ability_2_used,70.57,2팀,Proud,소전,0
[00:03:50] ,ability_1_used,73.41,1팀,CheckMate,시메트라,0
[00:03:51] ,ability_1_used,74.29,1팀,ChiYo,미즈키,0
[00:03:52] ,ability_1_used,74.97,2팀,Bliss,브리기테,0
[00:03:52] ,ability_1_used,75.13,1팀,MER1T,캐서디,0
[00:03:53] ,****,75.69,1팀,Someone,시그마,2팀,Bliss,브리기테,Primary Fire,21.80,0,0
[00:03:53] ,defensive_assist,75.69,1팀,Fielder,키리코,0
[00:03:53] ,ability_2_used,75.71,2팀,DONGHAK,오리사,0
[00:03:53] ,defensive_assist,75.73,1팀,ChiYo,미즈키,0
[00:03:53] ,ability_1_used,75.81,1팀,Fielder,키리코,0
[00:03:54] ,****,76.64,2팀,Proud,소전,1팀,MER1T,캐서디,Secondary Fire,74.50,True,0
[00:03:54] ,defensive_assist,76.75,2팀,Bliss,브리기테,0
[00:03:54] ,ability_1_used,76.96,2팀,Proud,소전,0
[00:03:55] ,ability_1_used,77.57,2팀,skewed,주노,0
[00:03:55] ,****,77.73,1팀,Someone,시그마,2팀,DONGHAK,오리사,Primary Fire,11.90,0,0
[00:03:55] ,offensive_assist,78.03,1팀,Fielder,키리코,0
[00:03:55] ,defensive_assist,78.03,1팀,Fielder,키리코,0
[00:03:55] ,defensive_assist,78.14,1팀,ChiYo,미즈키,0
[00:03:56] ,ability_1_used,78.78,2팀,ZEST,벤데타,0
[00:03:58] ,ability_2_used,80.60,2팀,skewed,주노,0
[00:03:58] ,ability_2_used,81.36,1팀,CheckMate,시메트라,0
[00:04:05] ,ability_1_used,87.45,1팀,MER1T,캐서디,0
[00:04:05] ,ability_1_used,87.69,2팀,Proud,소전,0
[00:04:05] ,ability_1_used,87.92,2팀,skewed,주노,0
[00:04:05] ,ability_2_used,88.27,2팀,DONGHAK,오리사,0
[00:04:10] ,ability_1_used,92.89,1팀,MER1T,캐서디,0
[00:04:13] ,ability_1_used,95.53,1팀,CheckMate,시메트라,0
[00:04:13] ,ability_1_used,96.32,1팀,CheckMate,시메트라,0
[00:04:14] ,ultimate_charged,97.40,1팀,ChiYo,미즈키,0,1
[00:04:15] ,ability_2_used,98.01,2팀,DONGHAK,오리사,0
[00:04:16] ,ability_1_used,98.86,1팀,MER1T,캐서디,0
[00:04:20] ,ability_1_used,102.52,1팀,CheckMate,시메트라,0
[00:04:23] ,ability_2_used,106.19,2팀,Bliss,브리기테,0
[00:04:25] ,ultimate_charged,108.25,2팀,skewed,주노,0,1
[00:04:26] ,ability_2_used,108.71,2팀,Bliss,브리기테,0
[00:04:26] ,ability_2_used,109.13,2팀,skewed,주노,0
[00:04:27] ,ability_2_used,110.38,2팀,Proud,소전,0
[00:04:28] ,ability_2_used,110.86,2팀,Bliss,브리기테,0
[00:04:28] ,ultimate_charged,110.89,1팀,Someone,시그마,0,1
[00:04:29] ,ability_2_used,112.11,1팀,CheckMate,시메트라,0
[00:04:29] ,ability_2_used,112.25,2팀,ZEST,벤데타,0
[00:04:29] ,ability_2_used,112.38,1팀,MER1T,캐서디,0
[00:04:30] ,ability_2_used,112.57,1팀,Someone,시그마,0
[00:04:30] ,ability_1_used,113.26,1팀,MER1T,캐서디,0
[00:04:30] ,ability_1_used,113.39,2팀,skewed,주노,0
[00:04:31] ,ultimate_start,113.63,2팀,skewed,주노,0,1
[00:04:31] ,****,113.64,1팀,ChiYo,미즈키,2팀,ZEST,벤데타,Primary Fire,5.66,0,0
[00:04:31] ,defensive_assist,113.77,1팀,ChiYo,미즈키,0
[00:04:31] ,ability_1_used,113.85,2팀,Bliss,브리기테,0
[00:04:31] ,defensive_assist,113.88,1팀,Fielder,키리코,0
[00:04:31] ,ability_2_used,113.91,1팀,ChiYo,미즈키,0
[00:04:31] ,ultimate_charged,114.07,2팀,Proud,소전,0,1
[00:04:31] ,ultimate_charged,114.39,2팀,DONGHAK,오리사,0,1
[00:04:32] ,ability_2_used,114.78,2팀,DONGHAK,오리사,0
[00:04:32] ,ultimate_start,114.86,1팀,ChiYo,미즈키,0,1
[00:04:33] ,ability_1_used,116.01,1팀,ChiYo,미즈키,0
[00:04:33] ,ability_2_used,116.07,2팀,Bliss,브리기테,0
[00:04:34] ,ultimate_start,116.60,2팀,DONGHAK,오리사,0,1
[00:04:34] ,ability_2_used,116.65,2팀,Bliss,브리기테,0
