[00:02:59] ,ability_2_used,33.62,1팀,SP1NT,트레이서,0
[00:03:00] ,ability_1_used,34.32,1팀,MER1T,프레야,0
[00:03:00] ,ability_2_used,34.62,1팀,ChiYo,브리기테,0
[00:03:00] ,ability_1_used,34.72,2팀,HeeSang,트레이서,0
[00:03:00] ,ability_1_used,34.93,1팀,SP1NT,트레이서,0
[00:03:00] ,ability_1_used,35.12,2팀,STALK3R,시온,0
[00:03:01] ,ability_2_used,36.06,1팀,ChiYo,브리기테,0
[00:03:02] ,ability_1_used,36.43,2팀,HeeSang,트레이서,0
[00:03:02] ,ability_1_used,37.18,1팀,HanBin,해저드,0
[00:03:03] ,ability_1_used,37.49,1팀,ChiYo,브리기테,0
[00:03:03] ,ability_1_used,37.97,2팀,HeeSang,트레이서,0
[00:03:03] ,ability_1_used,38.08,2팀,CH0R0NG,제트팩 캣,0
[00:03:04] ,ability_1_used,38.69,1팀,SP1NT,트레이서,0
[00:03:04] ,payload_progress,38.86,1,2팀,0,10.01
[00:03:04] ,ability_1_used,39.06,1팀,MER1T,프레야,0
[00:03:07] ,ability_2_used,41.73,2팀,MAX,오리사,0
[00:03:08] ,ability_1_used,42.51,1팀,SP1NT,트레이서,0
[00:03:09] ,ability_1_used,43.34,1팀,ChiYo,브리기테,0
[00:03:09] ,ability_1_used,44.24,1팀,MER1T,프레야,0
[00:03:10] ,ability_1_used,44.29,1팀,HanBin,해저드,0
[00:03:10] ,ability_1_used,44.35,2팀,HeeSang,트레이서,0
[00:03:10] ,ability_1_used,44.77,2팀,MAX,오리사,0
[00:03:10] ,ability_2_used,45.17,1팀,ChiYo,브리기테,0
[00:03:11] ,ability_1_used,45.41,2팀,HeeSang,트레이서,0
[00:03:11] ,ability_2_used,45.65,1팀,HanBin,해저드,0
[00:03:12] ,ability_2_used,46.99,1팀,ChiYo,브리기테,0
[00:03:12] ,ability_1_used,47.23,1팀,SP1NT,트레이서,0
[00:03:14] ,ability_1_used,48.65,1팀,SP1NT,트레이서,0
[00:03:14] ,ability_1_used,48.69,2팀,STALK3R,시온,0
[00:03:15] ,ability_2_used,49.50,2팀,STALK3R,시온,0
[00:03:16] ,ability_1_used,50.46,2팀,CH0R0NG,제트팩 캣,0
[00:03:18] ,ability_1_used,52.32,2팀,HeeSang,트레이서,0
[00:03:18] ,ability_1_used,52.40,1팀,SP1NT,트레이서,0
[00:03:18] ,ability_1_used,53.21,1팀,HanBin,해저드,0
[00:03:19] ,ability_1_used,53.77,1팀,SP1NT,트레이서,0
[00:03:20] ,ability_2_used,54.64,1팀,ChiYo,브리기테,0
[00:03:20] ,ability_1_used,54.69,2팀,STALK3R,시온,0
[00:03:20] ,ability_1_used,55.13,1팀,MER1T,프레야,0
[00:03:21] ,ability_1_used,55.73,1팀,ChiYo,브리기테,0
[00:03:25] ,ability_1_used,59.92,2팀,HeeSang,트레이서,0
[00:03:25] ,ability_1_used,60.00,1팀,MER1T,프레야,0
[00:03:28] ,ability_1_used,62.49,1팀,ChiYo,브리기테,0
[00:03:28] ,ability_1_used,62.51,2팀,STALK3R,시온,0
[00:03:29] ,ability_1_used,63.61,2팀,HeeSang,트레이서,0
[00:03:29] ,ability_2_used,63.84,1팀,ChiYo,브리기테,0
