[00:00:00] ,match_start,0,리알토,호위,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:15] ,hero_spawn,0,1팀,SP1NT,에코,0,0
[00:00:21] ,hero_spawn,0,2팀,Jasm1ne,레킹볼,0,0
[00:00:27] ,hero_spawn,0,2팀,Bliss,루시우,0,0
[00:00:29] ,hero_spawn,0,2팀,ZEST,시온,0,0
[00:00:31] ,hero_spawn,0,2팀,skewed,키리코,0,0
[00:00:34] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:37] ,hero_spawn,0,1팀,HanBin,D.Va,0,0
[00:00:37] ,hero_spawn,0,2팀,Proud,솔저: 76,0,0
[00:00:41] ,hero_swap,0,2팀,Proud,시에라,솔저: 76,0
[00:00:46] ,hero_spawn,0,1팀,MER1T,바스티온,0,0
[00:00:56] ,hero_swap,0,2팀,skewed,트레이서,키리코,0
[00:00:57] ,hero_spawn,0,1팀,ChiYo,제트팩 캣,0,0
[00:01:03] ,hero_swap,0,2팀,skewed,키리코,트레이서,0
[00:01:06] ,hero_swap,0,1팀,SP1NT,리퍼,에코,0
[00:01:14] ,hero_swap,0,1팀,SP1NT,에코,리퍼,0
[00:01:16] ,hero_swap,0,2팀,Jasm1ne,D.Va,레킹볼,0
[00:01:21] ,hero_swap,0,2팀,Proud,에코,시에라,0
[00:01:21] ,hero_swap,0,2팀,ZEST,시에라,시온,0
[00:01:29] ,hero_swap,0,2팀,Proud,캐서디,에코,0
[00:01:30] ,hero_swap,0,2팀,ZEST,시메트라,시에라,0
[00:02:24] ,setup_complete,0,1,239.99
[00:02:25] ,ability_1_used,0.02,2팀,Bliss,루시우,0
[00:02:25] ,ability_1_used,0.02,1팀,ChiYo,제트팩 캣,0
[00:02:27] ,ability_1_used,2.27,1팀,SP1NT,에코,0
[00:02:31] ,ability_1_used,6.03,2팀,Bliss,루시우,0
[00:02:32] ,ability_1_used,7.04,2팀,Bliss,루시우,0
[00:02:33] ,ability_1_used,8.53,2팀,Bliss,루시우,0
[00:02:34] ,ability_1_used,9.49,2팀,Bliss,루시우,0
[00:02:35] ,ability_1_used,10.59,2팀,Bliss,루시우,0
[00:02:35] ,ability_2_used,10.86,2팀,ZEST,시메트라,0
[00:02:36] ,ability_1_used,11.46,1팀,HanBin,D.Va,0
[00:02:36] ,ability_1_used,11.49,2팀,Bliss,루시우,0
[00:02:36] ,ability_1_used,11.94,1팀,SP1NT,에코,0
[00:02:37] ,ability_1_used,12.46,2팀,ZEST,시메트라,0
[00:02:38] ,ability_1_used,13.14,2팀,ZEST,시메트라,0
[00:02:38] ,ability_1_used,13.74,2팀,ZEST,시메트라,0
[00:02:38] ,ability_1_used,13.78,2팀,Bliss,루시우,0
[00:02:42] ,ability_1_used,17.70,2팀,Bliss,루시우,0
[00:02:43] ,payload_progress,18.96,1,2팀,0,10.01
[00:02:45] ,ability_1_used,20.90,2팀,Bliss,루시우,0
[00:02:47] ,ability_1_used,22.75,1팀,SP1NT,에코,0
[00:02:48] ,ability_1_used,23.87,1팀,HanBin,D.Va,0
[00:02:49] ,ability_1_used,24.78,2팀,Bliss,루시우,0
[00:02:55] ,ability_1_used,30.24,2팀,Bliss,루시우,0
[00:02:57] ,ability_1_used,32.58,1팀,SP1NT,에코,0
[00:02:57] ,ability_1_used,32.93,2팀,Bliss,루시우,0
[00:02:59] ,ability_1_used,34.62,2팀,Jasm1ne,D.Va,0
[00:02:59] ,ability_2_used,34.88,2팀,ZEST,시메트라,0
[00:03:00] ,ability_1_used,35.07,2팀,Bliss,루시우,0
[00:03:01] ,ability_1_used,36.67,1팀,HanBin,D.Va,0
[00:03:02] ,ability_1_used,37.07,2팀,ZEST,시메트라,0
[00:03:05] ,ability_2_used,40.94,1팀,HanBin,D.Va,0
[00:03:06] ,ability_1_used,41.26,2팀,Proud,캐서디,0
[00:03:07] ,ability_1_used,42.56,1팀,SP1NT,에코,0
[00:03:13] ,ability_2_used,48.30,2팀,ZEST,시메트라,0
[00:03:13] ,ability_1_used,48.32,2팀,Bliss,루시우,0
[00:03:13] ,ability_1_used,48.51,2팀,Jasm1ne,D.Va,0
[00:03:14] ,ability_1_used,49.09,1팀,HanBin,D.Va,0
[00:03:14] ,ability_1_used,49.21,2팀,Bliss,루시우,0
[00:03:14] ,ability_1_used,49.66,1팀,Fielder,키리코,0
[00:03:14] ,ability_2_used,49.77,2팀,Bliss,루시우,0
[00:03:14] ,ability_2_used,49.90,2팀,skewed,키리코,0
[00:03:15] ,ability_1_used,50.08,1팀,MER1T,바스티온,0
[00:03:15] ,ability_2_used,50.16,1팀,ChiYo,제트팩 캣,0
[00:03:15] ,ability_1_used,50.57,2팀,Bliss,루시우,0
[00:03:15] ,ability_2_used,50.65,1팀,HanBin,D.Va,0
[00:03:16] ,ability_1_used,51.05,2팀,Proud,캐서디,0
[00:03:16] ,ability_1_used,51.47,2팀,Bliss,루시우,0
[00:03:16] ,ability_2_used,51.60,2팀,Proud,캐서디,0
[00:03:16] ,****,51.98,1팀,HanBin,D.Va,2팀,Proud,캐서디,0,19.76,0,0
[00:03:17] ,ability_1_used,52.13,1팀,SP1NT,에코,0
[00:03:17] ,defensive_assist,52.19,1팀,Fielder,키리코,0
[00:03:17] ,offensive_assist,52.30,1팀,ChiYo,제트팩 캣,0
[00:03:17] ,defensive_assist,52.30,1팀,ChiYo,제트팩 캣,0
[00:03:18] ,ability_1_used,53.89,2팀,Bliss,루시우,0
[00:03:18] ,ability_1_used,53.90,2팀,skewed,키리코,0
[00:03:19] ,payload_progress,54.96,1,2팀,0,20.01
[00:03:20] ,ability_1_used,55.02,2팀,ZEST,시메트라,0
