[00:00:00] ,match_start,0,콜로세오,밀기,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:11] ,hero_spawn,0,1팀,ChiYo,제트팩 캣,0,0
[00:00:12] ,hero_spawn,0,2팀,skewed,키리코,0,0
[00:00:22] ,hero_spawn,0,1팀,Someone,레킹볼,0,0
[00:00:26] ,hero_spawn,0,2팀,Proud,시온,0,0
[00:00:28] ,hero_spawn,0,2팀,Bliss,제트팩 캣,0,0
[00:00:28] ,hero_swap,0,2팀,Bliss,일리아리,제트팩 캣,0
[00:00:30] ,hero_swap,0,2팀,Bliss,루시우,일리아리,0
[00:00:32] ,hero_spawn,0,1팀,SP1NT,트레이서,0,0
[00:00:38] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:38] ,hero_swap,0,1팀,Someone,라마트라,레킹볼,0
[00:00:44] ,hero_spawn,0,2팀,ZEST,파라,0,0
[00:00:49] ,hero_spawn,0,2팀,Jasm1ne,레킹볼,0,0
[00:00:56] ,hero_spawn,0,1팀,MER1T,프레야,0,0
[00:01:03] ,hero_swap,0,1팀,ChiYo,브리기테,제트팩 캣,0
[00:01:04] ,hero_swap,0,1팀,ChiYo,바티스트,브리기테,0
[00:01:12] ,hero_swap,0,1팀,ChiYo,브리기테,바티스트,0
[00:01:21] ,hero_swap,0,2팀,skewed,프레야,키리코,0
[00:01:23] ,hero_swap,0,1팀,Fielder,주노,키리코,0
[00:01:30] ,hero_swap,0,2팀,skewed,키리코,프레야,0
[00:01:35] ,hero_swap,0,2팀,ZEST,시메트라,파라,0
[00:01:38] ,hero_swap,0,2팀,Jasm1ne,D.Va,레킹볼,0
[00:01:49] ,hero_swap,0,2팀,Proud,소전,시온,0
[00:01:54] ,hero_swap,0,2팀,skewed,주노,키리코,0
[00:02:04] ,ability_2_used,0,2팀,ZEST,시메트라,0
[00:02:04] ,setup_complete,0,1,599.99
[00:02:04] ,ability_1_used,0.02,2팀,Bliss,루시우,0
[00:02:04] ,ability_2_used,0.02,1팀,Fielder,주노,0
[00:02:05] ,ability_1_used,0.85,1팀,Someone,라마트라,0
[00:02:05] ,ability_1_used,1.18,1팀,SP1NT,트레이서,0
[00:02:06] ,ability_1_used,1.79,1팀,SP1NT,트레이서,0
[00:02:06] ,ability_1_used,1.94,1팀,SP1NT,트레이서,0
[00:02:06] ,ability_1_used,2.06,2팀,Proud,소전,0
[00:02:07] ,ability_2_used,2.45,2팀,Bliss,루시우,0
[00:02:07] ,ability_1_used,2.53,1팀,MER1T,프레야,0
[00:02:07] ,hero_swap,2.67,1팀,Fielder,키리코,주노,2.67
[00:02:07] ,ability_1_used,2.91,2팀,Jasm1ne,D.Va,0
[00:02:07] ,hero_swap,3.06,2팀,skewed,키리코,주노,3.06
[00:02:08] ,ability_1_used,3.30,1팀,Fielder,키리코,0
[00:02:09] ,ability_1_used,4.35,2팀,ZEST,시메트라,0
[00:02:10] ,ability_1_used,5.47,2팀,ZEST,시메트라,0
[00:02:11] ,ability_1_used,6.62,2팀,skewed,키리코,0
[00:02:11] ,ability_1_used,6.99,1팀,SP1NT,트레이서,0
[00:02:13] ,ability_1_used,8.86,1팀,MER1T,프레야,0
[00:02:15] ,ability_1_used,10.66,1팀,Fielder,키리코,0
[00:02:18] ,ability_2_used,13.25,1팀,ChiYo,브리기테,0
[00:02:18] ,ability_1_used,13.41,2팀,Bliss,루시우,0
[00:02:19] ,ability_1_used,14.66,2팀,Bliss,루시우,0
[00:02:20] ,ability_1_used,15.97,2팀,Bliss,루시우,0
[00:02:24] ,ability_1_used,20.05,1팀,SP1NT,트레이서,0
[00:02:25] ,ability_1_used,20.94,2팀,Bliss,루시우,0
[00:02:25] ,ability_1_used,21.10,1팀,MER1T,프레야,0
[00:02:26] ,ability_1_used,21.62,1팀,SP1NT,트레이서,0
[00:02:26] ,ability_2_used,22.02,2팀,ZEST,시메트라,0
[00:02:27] ,ability_1_used,22.53,1팀,SP1NT,트레이서,0
[00:02:27] ,ability_1_used,22.61,2팀,Bliss,루시우,0
[00:02:27] ,ability_2_used,22.94,1팀,ChiYo,브리기테,0
[00:02:27] ,ability_2_used,22.99,2팀,Bliss,루시우,0
[00:02:28] ,ability_1_used,23.81,2팀,Bliss,루시우,0
[00:02:29] ,ability_2_used,24.86,2팀,skewed,키리코,0
[00:02:29] ,ability_1_used,25.06,2팀,Bliss,루시우,0
[00:02:29] ,ability_2_used,25.07,2팀,Jasm1ne,D.Va,0
[00:02:29] ,ability_1_used,25.14,1팀,MER1T,프레야,0
[00:02:30] ,ability_1_used,25.63,2팀,Jasm1ne,D.Va,0
[00:02:30] ,ability_2_used,25.68,1팀,Someone,라마트라,0
[00:02:30] ,ability_1_used,25.86,1팀,ChiYo,브리기테,0
[00:02:31] ,ability_1_used,26.45,1팀,SP1NT,트레이서,0
[00:02:32] ,ability_2_used,28.06,2팀,Proud,소전,0
[00:02:32] ,ability_1_used,28.16,1팀,MER1T,프레야,0
[00:02:33] ,ability_1_used,28.51,2팀,Bliss,루시우,0
[00:02:33] ,ability_1_used,28.85,1팀,SP1NT,트레이서,0
[00:02:34] ,ability_2_used,29.26,1팀,ChiYo,브리기테,0
