[00:00:00] ,match_start,0,네온 교차로,혼합,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:10] ,hero_spawn,0,1팀,ChiYo,브리기테,0,0
[00:00:11] ,hero_spawn,0,1팀,Someone,라마트라,0,0
[00:00:14] ,hero_spawn,0,2팀,vigilante,미즈키,0,0
[00:00:26] ,hero_spawn,0,2팀,HeeSang,시메트라,0,0
[00:00:34] ,hero_spawn,0,2팀,STALK3R,프레야,0,0
[00:00:40] ,hero_spawn,0,1팀,CheckMate,메이,0,0
[00:00:47] ,hero_spawn,0,1팀,MER1T,프레야,0,0
[00:00:47] ,hero_spawn,0,2팀,MAX,라마트라,0,0
[00:00:48] ,hero_spawn,0,2팀,CH0R0NG,루시우,0,0
[00:00:50] ,hero_swap,0,2팀,vigilante,키리코,미즈키,0
[00:00:52] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:59] ,hero_swap,0,2팀,HeeSang,시온,시메트라,0
[00:01:14] ,setup_complete,0,1,239.99
[00:01:14] ,ability_1_used,0.02,2팀,CH0R0NG,루시우,0
[00:01:14] ,ability_1_used,0.32,1팀,MER1T,프레야,0
[00:01:14] ,ability_1_used,0.75,1팀,MER1T,프레야,0
[00:01:14] ,ability_2_used,0.88,1팀,Someone,라마트라,0
[00:01:15] ,ability_1_used,1.17,2팀,HeeSang,시온,0
[00:01:15] ,ability_2_used,1.49,2팀,STALK3R,프레야,0
[00:01:16] ,ability_2_used,2.35,1팀,ChiYo,브리기테,0
[00:01:16] ,ability_1_used,2.48,2팀,STALK3R,프레야,0
[00:01:17] ,ability_1_used,2.98,2팀,STALK3R,프레야,0
[00:01:17] ,ability_1_used,3.10,2팀,CH0R0NG,루시우,0
[00:01:18] ,ability_2_used,4.18,2팀,HeeSang,시온,0
[00:01:22] ,ability_1_used,8.50,1팀,MER1T,프레야,0
[00:01:22] ,ability_1_used,8.66,2팀,STALK3R,프레야,0
[00:01:23] ,ability_1_used,9.55,2팀,CH0R0NG,루시우,0
[00:01:24] ,ability_2_used,10.16,1팀,ChiYo,브리기테,0
[00:01:26] ,ability_2_used,12.35,2팀,MAX,라마트라,0
[00:01:26] ,ability_1_used,12.82,2팀,CH0R0NG,루시우,0
[00:01:28] ,ability_1_used,13.94,2팀,STALK3R,프레야,0
[00:01:28] ,ability_1_used,13.95,2팀,MAX,라마트라,0
[00:01:28] ,ability_2_used,14.08,1팀,CheckMate,메이,0
[00:01:28] ,ability_2_used,14.37,1팀,ChiYo,브리기테,0
[00:01:28] ,ability_1_used,14.82,1팀,ChiYo,브리기테,0
[00:01:29] ,ability_1_used,15.07,1팀,Someone,라마트라,0
[00:01:29] ,ability_1_used,15.33,1팀,MER1T,프레야,0
[00:01:29] ,ability_1_used,15.50,2팀,CH0R0NG,루시우,0
[00:01:30] ,ability_2_used,16.50,2팀,STALK3R,프레야,0
[00:01:31] ,ability_2_used,17.14,1팀,ChiYo,브리기테,0
[00:01:31] ,ability_1_used,17.73,2팀,STALK3R,프레야,0
[00:01:32] ,ability_1_used,18.21,2팀,CH0R0NG,루시우,0
[00:01:33] ,ability_2_used,18.98,2팀,CH0R0NG,루시우,0
[00:01:33] ,ability_1_used,19.02,1팀,CheckMate,메이,0
[00:01:33] ,ability_1_used,19.42,2팀,vigilante,키리코,0
[00:01:34] ,ability_1_used,20.75,1팀,MER1T,프레야,0
[00:01:35] ,ability_1_used,21.38,1팀,ChiYo,브리기테,0
[00:01:36] ,ability_1_used,22.08,2팀,CH0R0NG,루시우,0
[00:01:36] ,ability_2_used,22.42,1팀,ChiYo,브리기테,0
[00:01:36] ,ability_2_used,22.56,1팀,MER1T,프레야,0
[00:01:37] ,ability_1_used,23.73,2팀,STALK3R,프레야,0
[00:01:39] ,ability_2_used,25.02,1팀,ChiYo,브리기테,0
[00:01:39] ,ability_2_used,25.39,2팀,HeeSang,시온,0
[00:01:41] ,ability_2_used,27.06,2팀,MAX,라마트라,0
[00:01:41] ,ability_2_used,27.18,1팀,CheckMate,메이,0
[00:01:41] ,ability_1_used,27.49,1팀,ChiYo,브리기테,0
[00:01:41] ,ability_2_used,27.62,1팀,Someone,라마트라,0
[00:01:42] ,ability_1_used,28.54,2팀,CH0R0NG,루시우,0
[00:01:43] ,ability_1_used,28.96,2팀,STALK3R,프레야,0
[00:01:43] ,ability_1_used,29.31,1팀,MER1T,프레야,0
[00:01:44] ,ability_2_used,30.02,1팀,ChiYo,브리기테,0
[00:01:44] ,ability_1_used,30.06,1팀,MER1T,프레야,0
[00:01:44] ,ability_1_used,30.19,2팀,HeeSang,시온,0
[00:01:45] ,ability_1_used,30.90,2팀,MAX,라마트라,0
[00:01:45] ,ability_1_used,31.74,1팀,Someone,라마트라,0
[00:01:46] ,ability_2_used,31.92,2팀,STALK3R,프레야,0
[00:01:46] ,ability_1_used,32.11,2팀,CH0R0NG,루시우,0
[00:01:46] ,ability_2_used,32.32,2팀,vigilante,키리코,0
[00:01:46] ,ability_1_used,32.42,1팀,CheckMate,메이,0
[00:01:46] ,****,32.45,1팀,MER1T,프레야,2팀,HeeSang,시온,0,1.75,0,0
[00:01:46] ,defensive_assist,32.51,1팀,Fielder,키리코,0
[00:01:46] ,offensive_assist,32.53,1팀,ChiYo,브리기테,0
[00:01:46] ,defensive_assist,32.53,1팀,ChiYo,브리기테,0
[00:01:47] ,ability_2_used,32.98,1팀,ChiYo,브리기테,0
[00:01:47] ,ability_1_used,33.02,2팀,STALK3R,프레야,0
[00:01:47] ,ability_1_used,33.50,2팀,CH0R0NG,루시우,0
[00:01:47] ,ability_1_used,33.58,1팀,Fielder,키리코,0
[00:01:49] ,ability_1_used,35.17,2팀,STALK3R,프레야,0
[00:01:49] ,ability_1_used,35.22,1팀,MER1T,프레야,0
[00:01:49] ,ability_1_used,35.78,2팀,CH0R0NG,루시우,0
[00:01:50] ,ability_1_used,36.64,1팀,ChiYo,브리기테,0
[00:01:51] ,ability_2_used,37.28,1팀,ChiYo,브리기테,0
[00:01:51] ,ability_1_used,37.74,2팀,CH0R0NG,루시우,0
[00:01:52] ,ability_2_used,37.98,2팀,CH0R0NG,루시우,0
[00:01:52] ,ability_2_used,38.30,1팀,MER1T,프레야,0
[00:01:52] ,ability_1_used,38.54,2팀,vigilante,키리코,0
[00:01:53] ,ability_1_used,39.30,1팀,MER1T,프레야,0
[00:01:54] ,ability_2_used,40.08,1팀,CheckMate,메이,0
[00:01:54] ,ability_1_used,40.14,2팀,STALK3R,프레야,0
[00:01:55] ,ability_2_used,41.09,1팀,Someone,라마트라,0
[00:01:56] ,ability_2_used,42.10,2팀,STALK3R,프레야,0
[00:01:57] ,ability_1_used,43.02,2팀,CH0R0NG,루시우,0
[00:01:57] ,ability_2_used,43.06,2팀,HeeSang,시온,0
[00:01:57] ,ability_1_used,43.39,2팀,STALK3R,프레야,0
[00:01:58] ,ability_2_used,44.29,1팀,ChiYo,브리기테,0
[00:01:58] ,ability_1_used,44.67,1팀,MER1T,프레야,0
[00:01:58] ,ability_2_used,44.78,2팀,MAX,라마트라,0
[00:02:01] ,ability_1_used,47.28,2팀,MAX,라마트라,0
[00:02:02] ,ability_1_used,47.90,1팀,ChiYo,브리기테,0
[00:02:02] ,ability_1_used,48.42,1팀,MER1T,프레야,0
[00:02:02] ,ability_1_used,48.86,2팀,CH0R0NG,루시우,0
[00:02:04] ,ability_1_used,50.03,2팀,STALK3R,프레야,0
[00:02:04] ,ability_2_used,50.45,1팀,ChiYo,브리기테,0
[00:02:05] ,ability_1_used,51.44,2팀,CH0R0NG,루시우,0
[00:02:05] ,ability_1_used,51.82,2팀,HeeSang,시온,0
[00:02:06] ,ability_1_used,52.83,2팀,STALK3R,프레야,0
[00:02:06] ,ability_1_used,52.85,1팀,MER1T,프레야,0
[00:02:07] ,ability_2_used,52.97,1팀,Someone,라마트라,0
[00:02:07] ,ability_2_used,53.33,2팀,STALK3R,프레야,0
[00:02:09] ,ability_2_used,55.07,2팀,CH0R0NG,루시우,0
[00:02:10] ,ability_2_used,56.16,1팀,ChiYo,브리기테,0
[00:02:10] ,ability_1_used,56.38,2팀,CH0R0NG,루시우,0
[00:02:11] ,ability_1_used,57.26,2팀,vigilante,키리코,0
[00:02:13] ,ability_1_used,59.33,2팀,STALK3R,프레야,0
[00:02:14] ,ability_1_used,59.98,1팀,MER1T,프레야,0
[00:02:14] ,ability_1_used,60.72,2팀,HeeSang,시온,0
[00:02:14] ,ability_2_used,60.72,1팀,ChiYo,브리기테,0
[00:02:15] ,ability_2_used,61.50,2팀,MAX,라마트라,0
[00:02:16] ,ability_1_used,62.77,2팀,CH0R0NG,루시우,0
[00:02:17] ,ability_1_used,63.07,1팀,MER1T,프레야,0
[00:02:17] ,ability_2_used,63.82,2팀,HeeSang,시온,0
[00:02:18] ,ability_2_used,63.97,1팀,ChiYo,브리기테,0
[00:02:18] ,ability_2_used,64.62,2팀,STALK3R,프레야,0
[00:02:18] ,ability_2_used,64.80,1팀,MER1T,프레야,0
[00:02:19] ,ability_1_used,65.65,2팀,STALK3R,프레야,0
[00:02:20] ,ability_1_used,65.89,2팀,CH0R0NG,루시우,0
[00:02:20] ,ability_1_used,66.88,2팀,STALK3R,프레야,0
[00:02:21] ,ability_1_used,67.01,2팀,CH0R0NG,루시우,0
[00:02:21] ,ultimate_charged,67.01,1팀,CheckMate,메이,0,1
[00:02:21] ,ability_2_used,67.41,1팀,Fielder,키리코,0
