[00:00:00] ,match_start,0,뉴 정크 시티,플래시포인트,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:09] ,hero_spawn,0,2팀,vigilante,루시우,0,0
[00:00:11] ,hero_spawn,0,1팀,Someone,라마트라,0,0
[00:00:16] ,hero_spawn,0,2팀,STALK3R,프레야,0,0
[00:00:20] ,hero_spawn,0,2팀,CH0R0NG,라이프위버,0,0
[00:00:21] ,hero_spawn,0,2팀,MAX,마우가,0,0
[00:00:23] ,hero_spawn,0,2팀,HeeSang,트레이서,0,0
[00:00:28] ,hero_swap,0,2팀,HeeSang,시메트라,트레이서,0
[00:00:28] ,hero_swap,0,2팀,vigilante,미즈키,루시우,0
[00:00:28] ,hero_swap,0,2팀,STALK3R,벤데타,프레야,0
[00:00:31] ,hero_spawn,0,1팀,ChiYo,브리기테,0,0
[00:00:33] ,hero_spawn,0,1팀,SP1NT,시메트라,0,0
[00:00:35] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:37] ,hero_spawn,0,1팀,MER1T,프레야,0,0
[00:00:38] ,hero_swap,0,2팀,CH0R0NG,루시우,라이프위버,0
[00:00:55] ,setup_complete,0,1,29.99
[00:00:55] ,ability_1_used,0.02,2팀,CH0R0NG,루시우,0
[00:00:55] ,ability_2_used,0.02,2팀,HeeSang,시메트라,0
[00:00:55] ,hero_swap,0.48,2팀,vigilante,키리코,미즈키,0.48
[00:00:56] ,ability_2_used,1.39,1팀,SP1NT,시메트라,0
[00:00:57] ,ability_1_used,2.69,2팀,MAX,마우가,0
[00:00:58] ,hero_swap,2.85,2팀,HeeSang,리퍼,시메트라,2.85
[00:00:58] ,ability_1_used,3.17,2팀,STALK3R,벤데타,0
[00:00:58] ,hero_swap,3.23,1팀,SP1NT,트레이서,시메트라,3.23
[00:00:58] ,ability_1_used,3.42,1팀,MER1T,프레야,0
[00:00:58] ,ability_2_used,3.63,2팀,HeeSang,리퍼,0
[00:00:59] ,ability_2_used,3.92,2팀,CH0R0NG,루시우,0
[00:00:59] ,ability_1_used,4.29,1팀,MER1T,프레야,0
[00:00:59] ,ability_1_used,4.53,1팀,SP1NT,트레이서,0
[00:00:59] ,ability_1_used,4.67,1팀,SP1NT,트레이서,0
[00:01:00] ,ability_1_used,4.82,1팀,SP1NT,트레이서,0
[00:01:00] ,ability_1_used,5.60,2팀,vigilante,키리코,0
[00:01:02] ,ability_1_used,7.49,1팀,Fielder,키리코,0
[00:01:07] ,ability_1_used,12.14,1팀,SP1NT,트레이서,0
[00:01:08] ,ability_2_used,12.86,1팀,ChiYo,브리기테,0
[00:01:10] ,ability_1_used,15.47,2팀,CH0R0NG,루시우,0
[00:01:10] ,ability_1_used,15.47,1팀,SP1NT,트레이서,0
[00:01:14] ,ability_1_used,18.96,2팀,CH0R0NG,루시우,0
[00:01:15] ,ability_1_used,19.92,1팀,SP1NT,트레이서,0
[00:01:16] ,ability_1_used,20.90,2팀,CH0R0NG,루시우,0
[00:01:17] ,ability_1_used,21.90,1팀,MER1T,프레야,0
[00:01:17] ,ability_2_used,22.08,2팀,CH0R0NG,루시우,0
[00:01:18] ,ability_2_used,22.93,1팀,Someone,라마트라,0
[00:01:18] ,ability_2_used,23.49,2팀,STALK3R,벤데타,0
[00:01:19] ,ability_2_used,24.21,1팀,ChiYo,브리기테,0
[00:01:19] ,ability_1_used,24.29,2팀,CH0R0NG,루시우,0
[00:01:22] ,ability_1_used,27.44,1팀,SP1NT,트레이서,0
[00:01:23] ,ability_1_used,28.10,1팀,ChiYo,브리기테,0
[00:01:23] ,ability_1_used,28.14,1팀,SP1NT,트레이서,0
