[00:00:00] ,match_start,0,서킷 로얄,호위,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:07] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:07] ,hero_spawn,0,2팀,knife,주노,0,0
[00:00:07] ,hero_spawn,0,1팀,CheckMate,시메트라,0,0
[00:00:07] ,hero_spawn,0,2팀,Viol2t,미즈키,0,0
[00:00:08] ,hero_spawn,0,2팀,Proper,파라,0,0
[00:00:08] ,hero_spawn,0,1팀,SP1NT,파라,0,0
[00:00:09] ,hero_spawn,0,1팀,Someone,라마트라,0,0
[00:00:09] ,hero_spawn,0,2팀,Bernar,도미나,0,0
[00:00:10] ,hero_spawn,0,2팀,shu,우양,0,0
[00:00:15] ,hero_spawn,0,1팀,ChiYo,루시우,0,0
[00:00:34] ,hero_swap,0,2팀,Bernar,오리사,도미나,0
[00:00:34] ,hero_swap,0,2팀,Bernar,도미나,오리사,0
[00:00:55] ,hero_swap,0,1팀,ChiYo,주노,루시우,0
[00:00:59] ,hero_swap,0,1팀,SP1NT,소전,파라,0
[00:01:10] ,hero_swap,0,2팀,shu,일리아리,우양,0
[00:01:16] ,hero_swap,0,2팀,shu,키리코,일리아리,0
[00:01:18] ,hero_swap,0,2팀,knife,위도우메이커,주노,0
[00:01:21] ,hero_swap,0,2팀,Viol2t,루시우,미즈키,0
[00:01:23] ,hero_swap,0,2팀,shu,미즈키,키리코,0
[00:01:25] ,hero_swap,0,2팀,Viol2t,주노,루시우,0
[00:01:29] ,setup_complete,0,1,239.99
[00:01:29] ,ability_2_used,0.34,2팀,Viol2t,주노,0
[00:01:32] ,ability_1_used,3.01,1팀,SP1NT,소전,0
[00:01:32] ,hero_swap,3.18,2팀,Viol2t,키리코,주노,3.18
[00:01:32] ,ability_1_used,3.71,2팀,Viol2t,키리코,0
[00:01:34] ,ability_1_used,5.30,2팀,Proper,파라,0
[00:01:34] ,hero_swap,5.38,2팀,knife,애쉬,위도우메이커,5.38
[00:01:36] ,ability_2_used,7.42,2팀,Bernar,도미나,0
[00:01:37] ,ability_1_used,8.14,2팀,knife,애쉬,0
[00:01:39] ,ability_1_used,9.97,2팀,shu,미즈키,0
[00:01:39] ,ability_2_used,10.80,2팀,shu,미즈키,0
[00:01:40] ,ability_2_used,11.50,1팀,ChiYo,주노,0
[00:01:40] ,ability_2_used,11.78,1팀,Fielder,키리코,0
[00:01:40] ,ability_2_used,11.87,2팀,knife,애쉬,0
[00:01:41] ,ability_1_used,12.42,2팀,Bernar,도미나,0
[00:01:42] ,ability_2_used,13.78,1팀,SP1NT,소전,0
[00:01:44] ,ability_2_used,14.93,1팀,CheckMate,시메트라,0
[00:01:48] ,ability_1_used,18.93,1팀,SP1NT,소전,0
[00:01:48] ,ability_2_used,19.09,2팀,Bernar,도미나,0
[00:01:49] ,ability_1_used,19.95,1팀,ChiYo,주노,0
[00:01:50] ,ability_1_used,21.34,2팀,shu,미즈키,0
[00:01:53] ,payload_progress,24.02,1,2팀,0,10.02
[00:01:53] ,ability_1_used,24.19,1팀,CheckMate,시메트라,0
[00:01:54] ,ability_1_used,25.34,1팀,CheckMate,시메트라,0
[00:01:56] ,ability_2_used,27.50,2팀,Proper,파라,0
[00:01:56] ,ability_1_used,27.79,1팀,SP1NT,소전,0
[00:02:01] ,ability_1_used,32.57,2팀,Proper,파라,0
[00:02:01] ,ability_2_used,32.83,2팀,knife,애쉬,0
[00:02:01] ,ability_2_used,32.88,2팀,Bernar,도미나,0
[00:02:03] ,ability_1_used,34.70,2팀,knife,애쉬,0
[00:02:06] ,****,37.66,2팀,knife,애쉬,1팀,Fielder,키리코,Primary Fire,75,0,0
[00:02:07] ,ability_1_used,38.46,2팀,Viol2t,키리코,0
[00:02:07] ,ability_2_used,38.81,1팀,ChiYo,주노,0
[00:02:08] ,payload_progress,39.31,1,2팀,0,20.00
[00:02:09] ,ability_2_used,40.08,1팀,Someone,라마트라,0
[00:02:10] ,ability_2_used,41.23,2팀,Bernar,도미나,0
[00:02:10] ,ability_2_used,41.50,2팀,shu,미즈키,0
[00:02:11] ,ability_2_used,42.48,1팀,CheckMate,시메트라,0
[00:02:12] ,ability_2_used,43.26,2팀,Proper,파라,0
[00:02:12] ,ability_1_used,43.68,1팀,ChiYo,주노,0
[00:02:13] ,ability_1_used,44.40,1팀,SP1NT,소전,0
[00:02:13] ,ability_2_used,44.70,1팀,SP1NT,소전,0
[00:02:14] ,ability_1_used,45.71,2팀,shu,미즈키,0
[00:02:15] ,ability_1_used,46.35,1팀,CheckMate,시메트라,0
[00:02:17] ,ability_1_used,48.54,2팀,Proper,파라,0
[00:02:17] ,****,48.73,1팀,SP1NT,소전,2팀,shu,미즈키,Secondary Fire,61.41,0,0
[00:02:18] ,ability_2_used,49.58,2팀,Bernar,도미나,0
[00:02:21] ,****,52.08,2팀,knife,애쉬,1팀,SP1NT,소전,Primary Fire,48.55,0,0
[00:02:21] ,defensive_assist,52.21,2팀,Viol2t,키리코,0
[00:02:23] ,ability_2_used,54.22,2팀,knife,애쉬,0
[00:02:24] ,ability_2_used,55.28,2팀,Proper,파라,0
[00:02:25] ,ability_1_used,56.01,1팀,Fielder,키리코,0
[00:02:25] ,ability_1_used,56.59,2팀,knife,애쉬,0
[00:02:27] ,ability_2_used,58.37,1팀,Someone,라마트라,0
[00:02:28] ,ability_1_used,59.17,2팀,shu,미즈키,0
[00:02:28] ,ability_1_used,59.80,1팀,Someone,라마트라,0
[00:02:28] ,ability_2_used,59.87,2팀,Bernar,도미나,0
[00:02:29] ,ability_2_used,60.33,1팀,ChiYo,주노,0
[00:02:30] ,ability_2_used,61.56,2팀,Viol2t,키리코,0
