[00:00:00] ,match_start,0,왕의 길,혼합,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:10] ,hero_spawn,0,1팀,CheckMate,파라,0,0
[00:00:12] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:13] ,hero_spawn,0,1팀,Someone,라마트라,0,0
[00:00:17] ,hero_spawn,0,2팀,Jasm1ne,로드호그,0,0
[00:00:18] ,hero_spawn,0,2팀,skewed,키리코,0,0
[00:00:20] ,hero_swap,0,2팀,skewed,제트팩 캣,키리코,0
[00:00:23] ,hero_spawn,0,2팀,Proud,프레야,0,0
[00:00:24] ,hero_spawn,0,2팀,Bliss,우양,0,0
[00:00:28] ,hero_swap,0,2팀,Bliss,미즈키,우양,0
[00:00:30] ,hero_swap,0,2팀,Bliss,키리코,미즈키,0
[00:00:34] ,hero_spawn,0,1팀,ChiYo,브리기테,0,0
[00:00:42] ,hero_swap,0,2팀,Bliss,미즈키,키리코,0
[00:00:43] ,hero_spawn,0,2팀,ZEST,파라,0,0
[00:00:44] ,hero_swap,0,2팀,skewed,우양,제트팩 캣,0
[00:00:45] ,hero_swap,0,1팀,ChiYo,제트팩 캣,브리기테,0
[00:00:49] ,hero_spawn,0,1팀,MER1T,프레야,0,0
[00:00:56] ,hero_swap,0,2팀,skewed,키리코,우양,0
[00:00:58] ,hero_swap,0,2팀,Bliss,우양,미즈키,0
[00:01:23] ,hero_swap,0,2팀,Bliss,제트팩 캣,우양,0
[00:01:26] ,hero_swap,0,2팀,Bliss,우양,제트팩 캣,0
[00:01:27] ,hero_swap,0,2팀,Jasm1ne,D.Va,로드호그,0
[00:01:33] ,hero_swap,0,2팀,Bliss,제트팩 캣,우양,0
[00:01:37] ,hero_swap,0,1팀,ChiYo,우양,제트팩 캣,0
[00:01:39] ,hero_swap,0,1팀,CheckMate,메이,파라,0
[00:01:41] ,hero_swap,0,1팀,ChiYo,미즈키,우양,0
[00:01:45] ,hero_swap,0,1팀,ChiYo,브리기테,미즈키,0
[00:02:11] ,setup_complete,0,1,239.99
[00:02:11] ,ability_1_used,0.02,2팀,Bliss,제트팩 캣,0
[00:02:12] ,ability_1_used,0.85,1팀,MER1T,프레야,0
[00:02:14] ,ability_1_used,3.70,2팀,Proud,프레야,0
[00:02:14] ,hero_swap,3.73,2팀,Bliss,우양,제트팩 캣,3.73
[00:02:15] ,ability_1_used,4.67,2팀,Proud,프레야,0
[00:02:16] ,ability_1_used,4.77,1팀,MER1T,프레야,0
[00:02:18] ,hero_swap,6.90,2팀,Jasm1ne,라마트라,D.Va,6.90
[00:02:19] ,ability_1_used,8.08,1팀,MER1T,프레야,0
[00:02:19] ,ability_1_used,8.61,2팀,Bliss,우양,0
[00:02:21] ,ability_1_used,10.74,1팀,MER1T,프레야,0
[00:02:22] ,ability_1_used,10.78,2팀,Proud,프레야,0
[00:02:26] ,ability_1_used,15.54,1팀,MER1T,프레야,0
[00:02:26] ,ability_2_used,15.57,1팀,ChiYo,브리기테,0
[00:02:28] ,ability_1_used,16.77,2팀,Proud,프레야,0
[00:02:28] ,ability_2_used,17.60,2팀,ZEST,파라,0
[00:02:30] ,ability_2_used,19.06,1팀,ChiYo,브리기테,0
[00:02:30] ,ability_1_used,19.66,1팀,MER1T,프레야,0
[00:02:32] ,ability_2_used,20.88,2팀,Proud,프레야,0
[00:02:33] ,ability_2_used,21.95,1팀,MER1T,프레야,0
[00:02:34] ,ability_1_used,22.80,2팀,Proud,프레야,0
[00:02:37] ,ability_1_used,26.10,2팀,ZEST,파라,0
[00:02:37] ,ability_1_used,26.75,2팀,Proud,프레야,0
[00:02:38] ,ability_1_used,26.96,1팀,MER1T,프레야,0
[00:02:38] ,ability_2_used,27.22,2팀,Jasm1ne,라마트라,0
[00:02:38] ,ability_1_used,27.26,1팀,ChiYo,브리기테,0
[00:02:38] ,ability_2_used,27.73,1팀,CheckMate,메이,0
[00:02:39] ,ability_2_used,28.00,1팀,Someone,라마트라,0
[00:02:39] ,ability_2_used,28.24,1팀,ChiYo,브리기테,0
[00:02:40] ,ability_1_used,29.52,1팀,MER1T,프레야,0
[00:02:41] ,ability_1_used,30.50,2팀,Proud,프레야,0
[00:02:41] ,ability_1_used,30.51,2팀,skewed,키리코,0
[00:02:43] ,ability_2_used,32.40,1팀,Fielder,키리코,0
[00:02:44] ,ability_1_used,32.82,1팀,MER1T,프레야,0
[00:02:46] ,ability_2_used,34.77,2팀,Proud,프레야,0
[00:02:46] ,ability_1_used,34.91,1팀,Someone,라마트라,0
[00:02:46] ,ability_1_used,35.74,1팀,ChiYo,브리기테,0
[00:02:47] ,ability_1_used,36.30,2팀,Proud,프레야,0
[00:02:47] ,ability_1_used,36.62,1팀,Fielder,키리코,0
[00:02:48] ,ability_1_used,37.06,2팀,Jasm1ne,라마트라,0
[00:02:49] ,ability_2_used,37.87,1팀,ChiYo,브리기테,0
[00:02:50] ,ability_2_used,38.99,1팀,ChiYo,브리기테,0
[00:02:50] ,ability_1_used,39.15,2팀,skewed,키리코,0
[00:02:50] ,ability_1_used,39.36,1팀,MER1T,프레야,0
[00:02:51] ,ability_1_used,40.21,2팀,Proud,프레야,0
[00:02:51] ,ability_2_used,40.50,2팀,Bliss,우양,0
[00:02:52] ,ability_2_used,40.83,1팀,CheckMate,메이,0
[00:02:52] ,ability_2_used,41.15,2팀,Jasm1ne,라마트라,0
[00:02:53] ,ability_1_used,42.10,1팀,MER1T,프레야,0
[00:02:53] ,ability_1_used,42.56,2팀,Proud,프레야,0
[00:02:54] ,****,43.41,2팀,Jasm1ne,라마트라,1팀,Someone,라마트라,Ability 1,54.77,0,0
[00:02:55] ,defensive_assist,43.86,2팀,skewed,키리코,0
[00:02:55] ,ability_1_used,44.10,2팀,Bliss,우양,0
[00:02:56] ,ability_2_used,44.80,1팀,ChiYo,브리기테,0
[00:02:56] ,****,44.93,1팀,CheckMate,메이,2팀,Proud,프레야,Primary Fire,5.50,0,0
[00:02:56] ,defensive_assist,45.12,1팀,ChiYo,브리기테,0
[00:02:57] ,ability_1_used,45.87,1팀,ChiYo,브리기테,0
[00:02:57] ,ability_1_used,46.13,1팀,Fielder,키리코,0
[00:02:57] ,ability_1_used,46.29,1팀,MER1T,프레야,0
[00:02:58] ,ability_2_used,46.90,1팀,Fielder,키리코,0
[00:02:59] ,ability_2_used,47.78,2팀,ZEST,파라,0
[00:02:59] ,****,48.35,2팀,ZEST,파라,1팀,Fielder,키리코,Primary Fire,61.08,0,0
[00:02:59] ,defensive_assist,48.58,2팀,skewed,키리코,0
[00:03:00] ,ability_1_used,49.28,2팀,skewed,키리코,0
[00:03:00] ,ability_1_used,49.57,2팀,ZEST,파라,0
[00:03:01] ,ability_2_used,50.03,2팀,skewed,키리코,0
[00:03:03] ,ability_2_used,51.93,1팀,ChiYo,브리기테,0
[00:03:03] ,****,52.00,2팀,skewed,키리코,1팀,ChiYo,브리기테,0,36.43,0,0
[00:03:03] ,defensive_assist,52.30,2팀,skewed,키리코,0
[00:03:04] ,ability_2_used,53.10,2팀,Jasm1ne,라마트라,0
[00:03:04] ,ability_1_used,53.41,1팀,CheckMate,메이,0
[00:03:05] ,ability_2_used,54.17,1팀,CheckMate,메이,0
[00:03:05] ,ability_1_used,54.54,2팀,Jasm1ne,라마트라,0
[00:03:07] ,ability_1_used,56.09,1팀,MER1T,프레야,0
[00:03:07] ,ability_1_used,56.13,2팀,Proud,프레야,0
[00:03:08] ,ability_1_used,56.96,2팀,skewed,키리코,0
[00:03:08] ,ability_2_used,57.10,1팀,MER1T,프레야,0
[00:03:08] ,ability_2_used,57.17,2팀,ZEST,파라,0
[00:03:08] ,hero_swap,57.36,2팀,Proud,소전,프레야,57.36
[00:03:08] ,ability_1_used,57.66,2팀,Bliss,우양,0
[00:03:10] ,ability_1_used,58.96,2팀,Proud,소전,0
[00:03:10] ,****,59.68,2팀,ZEST,파라,1팀,CheckMate,메이,Primary Fire,12.26,0,0
[00:03:14] ,ability_1_used,63.15,1팀,Fielder,키리코,0
[00:03:14] ,point_progress,63.26,1,2팀,0,33.37
[00:03:17] ,ability_2_used,66.17,1팀,ChiYo,브리기테,0
[00:03:19] ,point_progress,68.59,1,2팀,0,66.67
[00:03:20] ,ability_2_used,68.96,1팀,MER1T,프레야,0
[00:03:20] ,hero_swap,69.76,1팀,CheckMate,시온,메이,69.76
[00:03:22] ,ability_1_used,70.83,1팀,MER1T,프레야,0
[00:03:22] ,ability_1_used,70.89,1팀,CheckMate,시온,0
[00:03:22] ,ability_2_used,71.52,1팀,CheckMate,시온,0
[00:03:23] ,ability_2_used,72.53,1팀,ChiYo,브리기테,0
[00:03:24] ,ability_1_used,73.57,1팀,MER1T,프레야,0
[00:03:26] ,point_progress,75.37,1,2팀,0,99.92
[00:03:26] ,objective_updated,75.41,1,0,1
[00:03:26] ,objective_captured,75.41,1,2팀,1,0,0,314.58
[00:03:28] ,ability_1_used,77.12,1팀,MER1T,프레야,0
