[00:00:00] ,match_start,0,콜로세오,밀기,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:08] ,hero_spawn,0,1팀,CheckMate,벤데타,0,0
[00:00:10] ,hero_spawn,0,1팀,SP1NT,시온,0,0
[00:00:10] ,hero_spawn,0,1팀,HanBin,마우가,0,0
[00:00:13] ,hero_spawn,0,2팀,HeeSang,위도우메이커,0,0
[00:00:15] ,hero_spawn,0,2팀,vigilante,솜브라,0,0
[00:00:17] ,hero_swap,0,1팀,HanBin,D.Va,마우가,0
[00:00:17] ,hero_spawn,0,2팀,CH0R0NG,우양,0,0
[00:00:17] ,hero_spawn,0,1팀,ChiYo,루시우,0,0
[00:00:22] ,hero_spawn,0,2팀,MAX,해저드,0,0
[00:00:38] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:41] ,hero_swap,0,2팀,MAX,D.Va,해저드,0
[00:00:48] ,hero_swap,0,2팀,HeeSang,리퍼,위도우메이커,0
[00:00:52] ,hero_swap,0,1팀,CheckMate,시메트라,벤데타,0
[00:00:53] ,hero_spawn,0,2팀,STALK3R,시온,0,0
[00:00:56] ,hero_swap,0,2팀,STALK3R,소전,시온,0
[00:01:00] ,hero_swap,0,2팀,CH0R0NG,루시우,우양,0
[00:01:01] ,hero_swap,0,1팀,SP1NT,바스티온,시온,0
[00:01:08] ,hero_swap,0,2팀,CH0R0NG,제트팩 캣,루시우,0
[00:01:13] ,hero_swap,0,2팀,vigilante,주노,솜브라,0
[00:01:13] ,hero_swap,0,1팀,SP1NT,시온,바스티온,0
[00:01:19] ,hero_swap,0,2팀,CH0R0NG,루시우,제트팩 캣,0
[00:01:24] ,setup_complete,0,1,599.99
[00:01:24] ,ability_1_used,0.02,2팀,CH0R0NG,루시우,0
[00:01:24] ,ability_1_used,0.02,1팀,ChiYo,루시우,0
[00:01:24] ,ability_2_used,0.35,1팀,ChiYo,루시우,0
[00:01:24] ,ability_1_used,0.64,2팀,MAX,D.Va,0
[00:01:25] ,ability_2_used,1.65,2팀,HeeSang,리퍼,0
[00:01:26] ,ability_1_used,1.76,2팀,STALK3R,소전,0
[00:01:26] ,ability_2_used,1.97,1팀,CheckMate,시메트라,0
[00:01:26] ,hero_swap,2.34,2팀,vigilante,키리코,주노,2.34
[00:01:26] ,ability_1_used,2.61,2팀,vigilante,키리코,0
[00:01:27] ,ability_2_used,3.31,2팀,CH0R0NG,루시우,0
[00:01:28] ,ability_1_used,3.81,1팀,SP1NT,시온,0
[00:01:29] ,ability_1_used,4.82,1팀,HanBin,D.Va,0
[00:01:31] ,ability_1_used,7.04,2팀,MAX,D.Va,0
[00:01:32] ,ability_1_used,8.21,1팀,CheckMate,시메트라,0
[00:01:34] ,ability_2_used,9.89,2팀,MAX,D.Va,0
[00:01:34] ,ability_1_used,10.72,2팀,vigilante,키리코,0
[00:01:36] ,ability_1_used,12.45,2팀,CH0R0NG,루시우,0
[00:01:37] ,ability_1_used,13.73,1팀,ChiYo,루시우,0
[00:01:38] ,ability_2_used,13.81,1팀,SP1NT,시온,0
[00:01:38] ,ability_1_used,14.22,2팀,CH0R0NG,루시우,0
[00:01:39] ,ability_1_used,14.75,2팀,MAX,D.Va,0
[00:01:39] ,ability_2_used,15.04,1팀,CheckMate,시메트라,0
[00:01:39] ,ability_2_used,15.22,2팀,STALK3R,소전,0
[00:01:40] ,ability_1_used,15.90,2팀,STALK3R,소전,0
[00:01:40] ,ability_1_used,16.03,2팀,HeeSang,리퍼,0
[00:01:40] ,ability_1_used,16.27,2팀,CH0R0NG,루시우,0
[00:01:42] ,ability_1_used,18.05,1팀,ChiYo,루시우,0
[00:01:44] ,ability_1_used,20.48,1팀,CheckMate,시메트라,0
[00:01:44] ,ability_2_used,20.53,2팀,CH0R0NG,루시우,0
[00:01:45] ,ability_1_used,21.20,1팀,CheckMate,시메트라,0
[00:01:45] ,ability_2_used,21.39,2팀,MAX,D.Va,0
[00:01:47] ,ability_1_used,23.14,1팀,ChiYo,루시우,0
[00:01:47] ,ability_1_used,23.34,1팀,SP1NT,시온,0
[00:01:48] ,ability_1_used,24.51,1팀,CheckMate,시메트라,0
[00:01:49] ,ability_2_used,24.75,1팀,ChiYo,루시우,0
[00:01:49] ,ability_1_used,24.88,1팀,ChiYo,루시우,0
[00:01:50] ,****,26.11,1팀,ChiYo,루시우,2팀,HeeSang,리퍼,Primary Fire,12.15,0,0
[00:01:50] ,defensive_assist,26.34,1팀,Fielder,키리코,0
[00:01:50] ,defensive_assist,26.40,1팀,ChiYo,루시우,0
[00:01:51] ,ability_1_used,27.15,2팀,MAX,D.Va,0
[00:01:51] ,ability_1_used,27.44,2팀,CH0R0NG,루시우,0
[00:01:52] ,ability_1_used,28.61,2팀,STALK3R,소전,0
[00:01:53] ,ability_1_used,29.28,1팀,ChiYo,루시우,0
[00:01:54] ,ability_1_used,30.50,2팀,vigilante,키리코,0
[00:01:54] ,ability_1_used,30.67,1팀,ChiYo,루시우,0
[00:01:59] ,ability_1_used,35.22,2팀,CH0R0NG,루시우,0
[00:02:00] ,hero_swap,36.19,2팀,HeeSang,겐지,리퍼,36.19
[00:02:00] ,ability_1_used,36.67,2팀,HeeSang,겐지,0
[00:02:01] ,ability_2_used,37.36,2팀,STALK3R,소전,0
[00:02:02] ,hero_swap,38.38,2팀,HeeSang,시메트라,겐지,2.19
[00:02:02] ,ability_1_used,38.53,1팀,ChiYo,루시우,0
[00:02:03] ,ability_2_used,39.09,2팀,MAX,D.Va,0
[00:02:04] ,ability_2_used,40.00,2팀,HeeSang,시메트라,0
[00:02:04] ,ability_1_used,40.14,1팀,ChiYo,루시우,0
[00:02:05] ,ability_2_used,41.25,1팀,ChiYo,루시우,0
[00:02:05] ,ability_1_used,41.41,1팀,ChiYo,루시우,0
[00:02:05] ,ability_2_used,41.73,1팀,CheckMate,시메트라,0
[00:02:08] ,ability_1_used,43.87,2팀,MAX,D.Va,0
[00:02:09] ,ability_1_used,45.01,2팀,HeeSang,시메트라,0
[00:02:10] ,ability_2_used,45.89,1팀,SP1NT,시온,0
[00:02:10] ,ability_1_used,46.32,2팀,HeeSang,시메트라,0
[00:02:11] ,ability_1_used,47.14,1팀,CheckMate,시메트라,0
[00:02:11] ,ability_1_used,47.14,1팀,ChiYo,루시우,0
[00:02:11] ,ability_1_used,47.71,1팀,CheckMate,시메트라,0
[00:02:12] ,ability_1_used,48.42,2팀,HeeSang,시메트라,0
[00:02:12] ,ability_1_used,48.73,1팀,ChiYo,루시우,0
[00:02:14] ,ability_2_used,49.76,2팀,CH0R0NG,루시우,0
[00:02:15] ,ability_1_used,51.66,1팀,ChiYo,루시우,0
[00:02:16] ,ability_1_used,52.54,2팀,CH0R0NG,루시우,0
[00:02:19] ,ability_2_used,55.28,1팀,CheckMate,시메트라,0
[00:02:19] ,ability_2_used,55.71,2팀,STALK3R,소전,0
[00:02:20] ,ability_2_used,55.95,2팀,HeeSang,시메트라,0
[00:02:20] ,ability_2_used,56.57,2팀,MAX,D.Va,0
[00:02:21] ,ability_1_used,57.52,2팀,CH0R0NG,루시우,0
[00:02:21] ,ability_2_used,57.65,1팀,ChiYo,루시우,0
[00:02:22] ,ability_1_used,58.08,1팀,CheckMate,시메트라,0
[00:02:23] ,ability_1_used,59.39,2팀,MAX,D.Va,0
[00:02:24] ,****,60.56,2팀,HeeSang,시메트라,1팀,ChiYo,루시우,Primary Fire,33.61,0,0
[00:02:24] ,offensive_assist,60.65,2팀,CH0R0NG,루시우,0
[00:02:25] ,ability_1_used,60.80,1팀,SP1NT,시온,0
[00:02:26] ,ability_2_used,61.89,1팀,SP1NT,시온,0
[00:02:26] ,ability_2_used,62.67,2팀,vigilante,키리코,0
[00:02:27] ,ability_2_used,63.23,1팀,Fielder,키리코,0
[00:02:28] ,ability_1_used,63.76,2팀,STALK3R,소전,0
[00:02:28] ,****,63.98,2팀,HeeSang,시메트라,1팀,CheckMate,시메트라,Primary Fire,8.07,0,0
[00:02:28] ,offensive_assist,64.41,2팀,CH0R0NG,루시우,0
[00:02:28] ,defensive_assist,64.41,2팀,CH0R0NG,루시우,0
[00:02:28] ,defensive_assist,64.43,2팀,vigilante,키리코,0
[00:02:28] ,****,64.67,1팀,SP1NT,시온,2팀,STALK3R,소전,Primary Fire,21.11,0,0
[00:02:29] ,offensive_assist,64.88,1팀,Fielder,키리코,0
[00:02:29] ,defensive_assist,64.88,1팀,Fielder,키리코,0
[00:02:29] ,ability_2_used,64.96,2팀,CH0R0NG,루시우,0
[00:02:29] ,ability_1_used,65.34,1팀,HanBin,D.Va,0
[00:02:29] ,ability_2_used,65.65,1팀,HanBin,D.Va,0
[00:02:30] ,ability_2_used,66.40,2팀,MAX,D.Va,0
[00:02:30] ,ability_1_used,66.73,2팀,MAX,D.Va,0
[00:02:33] ,ability_1_used,69.05,2팀,HeeSang,시메트라,0
