[00:00:00] ,match_start,0,아이헨발데,혼합,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:08] ,hero_spawn,0,1팀,Bliss,루시우,0,0
[00:00:10] ,hero_spawn,0,2팀,Someone,라인하르트,0,0
[00:00:10] ,hero_spawn,0,2팀,ChiYo,루시우,0,0
[00:00:10] ,hero_spawn,0,2팀,CheckMate,시메트라,0,0
[00:00:18] ,hero_spawn,0,1팀,skewed,도미나,0,0
[00:00:20] ,hero_swap,0,1팀,skewed,키리코,도미나,0
[00:00:25] ,hero_swap,0,1팀,Bliss,제트팩 캣,루시우,0
[00:00:30] ,hero_swap,0,1팀,Bliss,루시우,제트팩 캣,0
[00:00:33] ,hero_spawn,0,1팀,Proud,시온,0,0
[00:00:44] ,hero_spawn,0,1팀,DONGHAK,해저드,0,0
[00:00:45] ,hero_swap,0,1팀,Proud,프레야,시온,0
[00:00:46] ,hero_swap,0,1팀,Proud,시에라,프레야,0
[00:00:48] ,hero_swap,0,1팀,Proud,캐서디,시에라,0
[00:00:51] ,hero_swap,0,1팀,Proud,엠레,캐서디,0
[00:00:52] ,hero_spawn,0,1팀,ZEST,리퍼,0,0
[00:01:03] ,hero_spawn,0,2팀,MER1T,바스티온,0,0
[00:01:25] ,hero_swap,0,1팀,Proud,시온,엠레,0
[00:01:27] ,hero_swap,0,1팀,ZEST,벤데타,리퍼,0
[00:01:36] ,hero_spawn,0,2팀,Fielder,키리코,0,0
[00:01:38] ,hero_swap,0,1팀,ZEST,리퍼,벤데타,0
[00:02:00] ,hero_swap,0,2팀,Fielder,주노,키리코,0
[00:02:14] ,hero_swap,0,1팀,ZEST,트레이서,리퍼,0
[00:02:20] ,hero_swap,0,2팀,CheckMate,프레야,시메트라,0
[00:02:20] ,hero_swap,0,2팀,ChiYo,제트팩 캣,루시우,0
[00:02:28] ,hero_swap,0,2팀,ChiYo,루시우,제트팩 캣,0
[00:02:28] ,hero_swap,0,2팀,CheckMate,시메트라,프레야,0
[00:02:49] ,hero_swap,0,2팀,Fielder,젠야타,주노,0
[00:02:50] ,hero_swap,0,2팀,Fielder,주노,젠야타,0
[00:02:51] ,setup_complete,0,1,239.99
[00:02:51] ,ability_1_used,0.02,2팀,ChiYo,루시우,0
[00:02:51] ,ability_1_used,0.02,1팀,Bliss,루시우,0
[00:02:55] ,hero_swap,3.66,2팀,Fielder,키리코,주노,3.66
[00:02:55] ,ability_1_used,4.03,1팀,ZEST,트레이서,0
[00:02:55] ,ability_1_used,4.21,2팀,Fielder,키리코,0
[00:02:56] ,ability_1_used,5.55,1팀,Bliss,루시우,0
[00:02:57] ,ability_2_used,5.97,2팀,Someone,라인하르트,0
[00:02:58] ,ability_1_used,6.77,1팀,ZEST,트레이서,0
[00:02:59] ,ability_1_used,8.51,2팀,ChiYo,루시우,0
[00:03:00] ,ability_1_used,8.67,1팀,Bliss,루시우,0
[00:03:01] ,ability_1_used,10.18,2팀,ChiYo,루시우,0
[00:03:01] ,ability_1_used,10.21,1팀,ZEST,트레이서,0
[00:03:02] ,ability_2_used,10.82,2팀,CheckMate,시메트라,0
[00:03:02] ,ability_1_used,11.23,1팀,Bliss,루시우,0
[00:03:03] ,ability_1_used,12.42,1팀,ZEST,트레이서,0
[00:03:03] ,ability_1_used,12.58,1팀,DONGHAK,해저드,0
[00:03:04] ,ability_1_used,12.66,1팀,Bliss,루시우,0
[00:03:04] ,ability_1_used,12.77,2팀,CheckMate,시메트라,0
[00:03:04] ,ability_2_used,13.39,1팀,Proud,시온,0
[00:03:04] ,ability_1_used,13.54,2팀,ChiYo,루시우,0
[00:03:05] ,ability_1_used,13.87,1팀,ZEST,트레이서,0
[00:03:05] ,ability_1_used,14.06,2팀,MER1T,바스티온,0
[00:03:05] ,ability_2_used,14.32,1팀,Bliss,루시우,0
[00:03:05] ,ability_1_used,14.64,1팀,Bliss,루시우,0
[00:03:07] ,ability_1_used,15.87,1팀,Proud,시온,0
[00:03:07] ,ability_2_used,16.29,2팀,Someone,라인하르트,0
[00:03:07] ,ability_2_used,16.34,2팀,ChiYo,루시우,0
[00:03:08] ,ability_1_used,16.82,2팀,CheckMate,시메트라,0
[00:03:08] ,ability_2_used,16.86,2팀,Fielder,키리코,0
[00:03:08] ,ability_2_used,16.96,1팀,DONGHAK,해저드,0
[00:03:08] ,ability_1_used,17.25,2팀,Someone,라인하르트,0
[00:03:09] ,ability_1_used,17.86,2팀,CheckMate,시메트라,0
[00:03:09] ,ability_1_used,17.86,1팀,ZEST,트레이서,0
[00:03:10] ,ability_1_used,19.10,1팀,Bliss,루시우,0
[00:03:10] ,ability_1_used,19.65,1팀,DONGHAK,해저드,0
[00:03:11] ,****,19.76,2팀,Someone,라인하르트,1팀,skewed,키리코,Ability 1,225,0,0
[00:03:11] ,****,19.98,2팀,Someone,라인하르트,2팀,Someone,라인하르트,0,700,0,True
[00:03:11] ,ability_1_used,20.11,1팀,Bliss,루시우,0
[00:03:11] ,ability_1_used,20.42,2팀,ChiYo,루시우,0
[00:03:11] ,ability_1_used,20.45,1팀,ZEST,트레이서,0
[00:03:12] ,ability_1_used,21.23,1팀,ZEST,트레이서,0
[00:03:12] ,ability_1_used,21.58,1팀,Bliss,루시우,0
[00:03:13] ,ability_1_used,22.10,2팀,ChiYo,루시우,0
[00:03:14] ,****,22.69,2팀,MER1T,바스티온,1팀,DONGHAK,해저드,Primary Fire,19.49,0,0
[00:03:14] ,offensive_assist,22.70,2팀,ChiYo,루시우,0
[00:03:14] ,defensive_assist,22.70,2팀,ChiYo,루시우,0
[00:03:14] ,defensive_assist,23.04,2팀,Fielder,키리코,0
[00:03:15] ,ability_1_used,24.43,1팀,ZEST,트레이서,0
[00:03:16] ,ability_1_used,25.04,2팀,ChiYo,루시우,0
[00:03:16] ,ability_2_used,25.15,2팀,CheckMate,시메트라,0
[00:03:16] ,ability_1_used,25.49,2팀,Fielder,키리코,0
[00:03:17] ,****,25.74,2팀,MER1T,바스티온,1팀,Bliss,루시우,Secondary Fire,91.47,0,0
[00:03:17] ,defensive_assist,25.86,2팀,Fielder,키리코,0
[00:03:18] ,ability_1_used,27.44,2팀,ChiYo,루시우,0
[00:03:19] ,ability_2_used,28.13,1팀,ZEST,트레이서,0
[00:03:21] ,ability_1_used,29.73,1팀,ZEST,트레이서,0
[00:03:21] ,ability_1_used,30.37,1팀,ZEST,트레이서,0
[00:03:21] ,ability_2_used,30.45,1팀,Proud,시온,0
[00:03:22] ,****,30.85,2팀,CheckMate,시메트라,1팀,Proud,시온,Primary Fire,6.44,0,0
[00:03:22] ,point_progress,31.42,1,2팀,0,33.46
[00:03:22] ,ability_1_used,31.63,2팀,ChiYo,루시우,0
[00:03:23] ,ability_1_used,31.71,1팀,ZEST,트레이서,0
[00:03:23] ,ability_2_used,31.94,2팀,ChiYo,루시우,0
[00:03:25] ,ability_1_used,34.64,2팀,Someone,라인하르트,0
[00:03:26] ,point_progress,34.75,1,2팀,0,66.74
[00:03:26] ,ability_1_used,34.88,1팀,ZEST,트레이서,0
[00:03:26] ,hero_swap,35.47,1팀,DONGHAK,마우가,해저드,35.47
[00:03:27] ,ability_1_used,35.94,1팀,DONGHAK,마우가,0
[00:03:28] ,ability_1_used,37.41,1팀,ZEST,트레이서,0
[00:03:29] ,ability_1_used,37.82,1팀,Bliss,루시우,0
[00:03:29] ,objective_updated,38.08,1,0,1
[00:03:29] ,objective_captured,38.08,1,2팀,1,0,0,351.91
[00:03:29] ,ability_1_used,38.42,2팀,ChiYo,루시우,0
[00:03:31] ,hero_swap,39.86,1팀,ZEST,벤데타,트레이서,39.86
[00:03:31] ,ability_1_used,40.64,1팀,Proud,시온,0
[00:03:32] ,ability_2_used,41.09,1팀,Proud,시온,0
[00:03:32] ,ability_1_used,41.50,1팀,ZEST,벤데타,0
[00:03:37] ,ability_2_used,46.21,2팀,Someone,라인하르트,0
[00:03:40] ,ability_1_used,49.31,1팀,DONGHAK,마우가,0
[00:03:42] ,ability_1_used,51.41,2팀,CheckMate,시메트라,0
[00:03:44] ,ability_2_used,53.65,2팀,Someone,라인하르트,0
[00:03:45] ,payload_progress,53.84,1,2팀,1,10.03
[00:03:45] ,ability_1_used,53.87,1팀,Bliss,루시우,0
[00:03:45] ,ability_1_used,54.25,2팀,CheckMate,시메트라,0
[00:03:46] ,ability_1_used,54.94,2팀,CheckMate,시메트라,0
[00:03:46] ,ability_1_used,55.41,2팀,ChiYo,루시우,0
[00:03:46] ,ability_1_used,55.61,1팀,Bliss,루시우,0
[00:03:49] ,ability_1_used,57.74,2팀,ChiYo,루시우,0
[00:03:49] ,ability_1_used,57.90,1팀,Bliss,루시우,0
[00:03:49] ,ability_2_used,58.01,1팀,ZEST,벤데타,0
[00:03:49] ,ability_2_used,58.09,1팀,Bliss,루시우,0
[00:03:49] ,ability_1_used,58.45,1팀,DONGHAK,마우가,0
[00:03:50] ,ability_1_used,58.96,1팀,Proud,시온,0
[00:03:50] ,ability_2_used,59.20,2팀,Someone,라인하르트,0
[00:03:51] ,ability_2_used,60.05,2팀,CheckMate,시메트라,0
[00:03:51] ,ability_2_used,60.06,2팀,ChiYo,루시우,0
[00:03:52] ,ability_1_used,60.65,2팀,MER1T,바스티온,0
[00:03:52] ,ability_2_used,61.41,1팀,Proud,시온,0
[00:03:53] ,ability_1_used,62.37,1팀,ZEST,벤데타,0
[00:03:53] ,ability_1_used,62.57,2팀,ChiYo,루시우,0
[00:03:54] ,ability_1_used,62.65,2팀,Someone,라인하르트,0
[00:03:54] ,ability_1_used,62.88,1팀,skewed,키리코,0
[00:03:54] ,ability_2_used,63.37,1팀,skewed,키리코,0
[00:03:55] ,ability_2_used,64.11,2팀,Fielder,키리코,0
[00:03:55] ,****,64.43,2팀,MER1T,바스티온,1팀,ZEST,벤데타,Primary Fire,0.03,0,0
[00:03:55] ,ability_1_used,64.45,1팀,Bliss,루시우,0
[00:03:55] ,ability_2_used,64.48,1팀,DONGHAK,마우가,0
[00:03:55] ,offensive_assist,64.51,2팀,ChiYo,루시우,0
[00:03:55] ,defensive_assist,64.51,2팀,ChiYo,루시우,0
[00:03:55] ,ability_1_used,64.53,2팀,ChiYo,루시우,0
[00:03:56] ,defensive_assist,64.88,2팀,Fielder,키리코,0
[00:03:57] ,ability_1_used,66.51,1팀,DONGHAK,마우가,0
[00:03:58] ,ability_2_used,67.15,2팀,Someone,라인하르트,0
[00:03:59] ,ability_1_used,67.85,1팀,Bliss,루시우,0
[00:04:00] ,ability_1_used,68.77,1팀,Bliss,루시우,0
[00:04:01] ,****,70.14,2팀,CheckMate,시메트라,1팀,DONGHAK,마우가,Primary Fire,1.10,0,0
[00:04:01] ,defensive_assist,70.53,2팀,Fielder,키리코,0
[00:04:01] ,offensive_assist,70.61,2팀,ChiYo,루시우,0
[00:04:01] ,defensive_assist,70.61,2팀,ChiYo,루시우,0
[00:04:02] ,ability_1_used,71.29,2팀,ChiYo,루시우,0
[00:04:02] ,****,71.55,1팀,Bliss,루시우,2팀,MER1T,바스티온,Secondary Fire,32.77,0,0
[00:04:02] ,defensive_assist,71.57,1팀,DONGHAK,마우가,0
[00:04:03] ,defensive_assist,71.97,1팀,skewed,키리코,0
[00:04:03] ,ability_1_used,72.09,2팀,Someone,라인하르트,0
[00:04:04] ,ability_1_used,72.85,1팀,Proud,시온,0
[00:04:04] ,ability_1_used,73.01,2팀,Fielder,키리코,0
[00:04:04] ,ability_1_used,73.05,2팀,ChiYo,루시우,0
[00:04:04] ,ability_1_used,73.50,1팀,Bliss,루시우,0
[00:04:05] ,ability_2_used,74.13,2팀,Someone,라인하르트,0
[00:04:05] ,ability_1_used,74.19,2팀,ChiYo,루시우,0
[00:04:06] ,ability_1_used,74.67,2팀,CheckMate,시메트라,0
[00:04:06] ,ability_2_used,74.77,1팀,Bliss,루시우,0
[00:04:06] ,ability_1_used,75.09,1팀,Bliss,루시우,0
[00:04:06] ,ability_2_used,75.20,2팀,Someone,라인하르트,0
[00:04:06] ,ability_2_used,75.26,2팀,ChiYo,루시우,0
[00:04:07] ,ability_1_used,75.98,1팀,Bliss,루시우,0
[00:04:08] ,ability_1_used,77.04,1팀,DONGHAK,마우가,0
[00:04:08] ,ability_1_used,77.05,1팀,ZEST,벤데타,0
[00:04:08] ,ability_1_used,77.47,1팀,Bliss,루시우,0
[00:04:08] ,ability_2_used,77.55,2팀,CheckMate,시메트라,0
[00:04:09] ,ability_1_used,78.06,2팀,ChiYo,루시우,0
[00:04:09] ,ability_2_used,78.11,1팀,Proud,시온,0
[00:04:09] ,ability_2_used,78.32,1팀,skewed,키리코,0
[00:04:10] ,ability_1_used,78.69,1팀,Bliss,루시우,0
[00:04:13] ,ability_2_used,81.71,2팀,Someone,라인하르트,0
[00:04:13] ,ability_1_used,82.09,1팀,Proud,시온,0
[00:04:13] ,payload_progress,82.16,1,2팀,1,20.02
[00:04:14] ,****,83.40,2팀,Fielder,키리코,1팀,Bliss,루시우,0,30.65,0,0
[00:04:15] ,ability_2_used,84.30,2팀,Fielder,키리코,0
[00:04:16] ,ability_1_used,84.91,2팀,ChiYo,루시우,0
[00:04:18] ,ability_1_used,87.18,2팀,MER1T,바스티온,0
[00:04:19] ,ultimate_charged,88.00,2팀,CheckMate,시메트라,0,1
[00:04:19] ,ability_1_used,88.11,2팀,ChiYo,루시우,0
[00:04:20] ,ability_1_used,88.68,1팀,Proud,시온,0
[00:04:20] ,****,89.21,1팀,Proud,시온,2팀,Someone,라인하르트,Secondary Fire,2.24,0,0
[00:04:20] ,defensive_assist,89.36,1팀,skewed,키리코,0
[00:04:20] ,****,89.55,2팀,ChiYo,루시우,1팀,Proud,시온,Melee,6.32,0,0
[00:04:21] ,defensive_assist,89.79,2팀,Fielder,키리코,0
[00:04:21] ,defensive_assist,89.87,2팀,ChiYo,루시우,0
[00:04:21] ,ability_1_used,90.20,2팀,ChiYo,루시우,0
[00:04:21] ,ultimate_charged,90.28,2팀,MER1T,바스티온,0,1
[00:04:22] ,ability_1_used,91.26,2팀,Fielder,키리코,0
[00:04:22] ,****,91.29,2팀,ChiYo,루시우,1팀,skewed,키리코,Secondary Fire,38.46,0,0
[00:04:23] ,ability_1_used,92.54,2팀,ChiYo,루시우,0
[00:04:24] ,ability_2_used,92.76,2팀,CheckMate,시메트라,0
[00:04:24] ,ability_1_used,93.44,1팀,Bliss,루시우,0
[00:04:24] ,ability_1_used,93.64,1팀,DONGHAK,마우가,0
[00:04:25] ,ability_2_used,93.95,1팀,Bliss,루시우,0
[00:04:25] ,ability_2_used,94.03,2팀,ChiYo,루시우,0
[00:04:25] ,ability_2_used,94.46,1팀,ZEST,벤데타,0
[00:04:26] ,ability_1_used,94.76,2팀,CheckMate,시메트라,0
[00:04:29] ,payload_progress,98.54,1,2팀,1,30.02
[00:04:31] ,ability_1_used,100.35,2팀,Someone,라인하르트,0
[00:04:33] ,ability_1_used,102.09,1팀,Proud,시온,0
[00:04:33] ,ability_1_used,102.24,1팀,skewed,키리코,0
[00:04:33] ,ability_2_used,102.49,1팀,Proud,시온,0
[00:04:34] ,ultimate_charged,102.65,2팀,Fielder,키리코,0,1
[00:04:34] ,ability_1_used,103.16,2팀,ChiYo,루시우,0
[00:04:34] ,ability_1_used,103.55,2팀,CheckMate,시메트라,0
[00:04:35] ,ability_1_used,104.24,2팀,CheckMate,시메트라,0
[00:04:35] ,ability_1_used,104.56,2팀,ChiYo,루시우,0
[00:04:37] ,ability_1_used,106.25,2팀,ChiYo,루시우,0
[00:04:38] ,ability_1_used,107.36,1팀,Bliss,루시우,0
[00:04:39] ,payload_progress,107.82,1,2팀,1,40.02
[00:04:39] ,ability_1_used,108.59,2팀,ChiYo,루시우,0
[00:04:40] ,ability_1_used,109.07,2팀,Someone,라인하르트,0
[00:04:41] ,ability_1_used,110.06,1팀,Bliss,루시우,0
[00:04:41] ,ability_2_used,110.54,2팀,ChiYo,루시우,0
[00:04:42] ,ability_2_used,111.43,1팀,ZEST,벤데타,0
[00:04:43] ,ability_1_used,111.72,2팀,ChiYo,루시우,0
[00:04:43] ,ability_1_used,112.19,1팀,Bliss,루시우,0
[00:04:43] ,ability_2_used,112.36,1팀,Bliss,루시우,0
[00:04:43] ,ultimate_charged,112.46,2팀,ChiYo,루시우,0,1
[00:04:44] ,ability_2_used,112.75,2팀,Someone,라인하르트,0
[00:04:44] ,ability_1_used,112.78,1팀,Proud,시온,0
[00:04:44] ,ability_2_used,112.81,2팀,CheckMate,시메트라,0
[00:04:44] ,ability_2_used,113.03,2팀,Fielder,키리코,0
[00:04:45] ,ability_1_used,113.91,1팀,DONGHAK,마우가,0
[00:04:45] ,ability_1_used,113.98,2팀,ChiYo,루시우,0
[00:04:45] ,ability_1_used,114.46,2팀,Fielder,키리코,0
[00:04:45] ,ability_1_used,114.62,1팀,Bliss,루시우,0
[00:04:46] ,ability_1_used,114.65,2팀,MER1T,바스티온,0
[00:04:46] ,ultimate_charged,115.26,1팀,skewed,키리코,0,1
[00:04:46] ,ultimate_start,115.51,2팀,Fielder,키리코,0,1
[00:04:47] ,ability_1_used,115.99,1팀,Bliss,루시우,0
[00:04:47] ,ultimate_start,116.03,1팀,skewed,키리코,0,1
[00:04:48] ,ability_2_used,116.76,2팀,Someone,라인하르트,0
[00:04:48] ,ultimate_charged,117.27,1팀,Proud,시온,0,1
[00:04:48] ,ability_2_used,117.56,1팀,DONGHAK,마우가,0
[00:04:49] ,****,118.33,2팀,MER1T,바스티온,1팀,DONGHAK,마우가,Primary Fire,6.55,0,0
[00:04:49] ,ability_1_used,118.36,1팀,Bliss,루시우,0
[00:04:49] ,ability_2_used,118.38,1팀,skewed,키리코,0
[00:04:49] ,offensive_assist,118.47,2팀,Fielder,키리코,0
[00:04:49] ,defensive_assist,118.47,2팀,Fielder,키리코,0
[00:04:49] ,defensive_assist,118.55,2팀,ChiYo,루시우,0
[00:04:51] ,ability_2_used,120.09,1팀,ZEST,벤데타,0
[00:04:51] ,****,120.27,2팀,MER1T,바스티온,1팀,skewed,키리코,Primary Fire,6.70,0,0
[00:04:51] ,offensive_assist,120.33,2팀,Fielder,키리코,0
[00:04:51] ,defensive_assist,120.33,2팀,Fielder,키리코,0
[00:04:51] ,ability_1_used,120.43,1팀,Proud,시온,0
[00:04:52] ,ability_2_used,120.97,1팀,Proud,시온,0
[00:04:53] ,ability_1_used,122.04,1팀,Bliss,루시우,0
[00:04:54] ,ability_1_used,122.97,2팀,Someone,라인하르트,0
[00:04:54] ,ability_1_used,123.31,1팀,Bliss,루시우,0
[00:04:55] ,payload_progress,123.69,1,2팀,1,50.03
[00:04:55] ,ability_2_used,124.52,2팀,Someone,라인하르트,0
[00:04:56] ,ability_2_used,125.15,2팀,CheckMate,시메트라,0
[00:04:56] ,ultimate_charged,125.19,2팀,Someone,라인하르트,0,1
[00:04:57] ,ability_1_used,125.75,1팀,Proud,시온,0
[00:04:57] ,ability_1_used,126.04,2팀,ChiYo,루시우,0
[00:04:57] ,ability_1_used,126.12,1팀,Bliss,루시우,0
[00:04:58] ,ultimate_end,126.71,2팀,Fielder,키리코,0,1
[00:04:58] ,ultimate_end,127.21,1팀,skewed,키리코,0,1
[00:04:58] ,ability_1_used,127.53,2팀,ChiYo,루시우,0
[00:04:58] ,ability_1_used,127.59,1팀,Bliss,루시우,0
[00:04:59] ,ability_2_used,127.79,1팀,Bliss,루시우,0
[00:05:00] ,ability_1_used,128.92,2팀,CheckMate,시메트라,0
[00:05:02] ,ability_1_used,130.78,1팀,Bliss,루시우,0
[00:05:02] ,ability_1_used,130.89,1팀,DONGHAK,마우가,0
[00:05:02] ,ability_1_used,130.94,1팀,skewed,키리코,0
[00:05:02] ,ability_1_used,131.13,2팀,CheckMate,시메트라,0
[00:05:04] ,payload_progress,133.16,1,2팀,1,60.03
[00:05:04] ,ability_1_used,133.47,2팀,CheckMate,시메트라,0
[00:05:05] ,ability_2_used,134.04,2팀,Someone,라인하르트,0
[00:05:06] ,ability_2_used,135.02,1팀,ZEST,벤데타,0
[00:05:08] ,ability_1_used,137.07,1팀,ZEST,벤데타,0
[00:05:08] ,ability_1_used,137.10,2팀,MER1T,바스티온,0
[00:05:08] ,ability_1_used,137.33,1팀,Proud,시온,0
[00:05:09] ,ultimate_start,137.85,1팀,Proud,시온,0,1
[00:05:09] ,ultimate_start,138.16,2팀,Someone,라인하르트,0,1
[00:05:10] ,ability_2_used,138.65,2팀,Fielder,키리코,0
[00:05:10] ,ability_1_used,138.69,1팀,DONGHAK,마우가,0
[00:05:10] ,ability_2_used,138.99,2팀,CheckMate,시메트라,0
[00:05:10] ,****,139.23,2팀,Someone,라인하르트,1팀,skewed,키리코,Primary Fire,25,0,0
[00:05:10] ,ability_2_used,139.39,2팀,Someone,라인하르트,0
[00:05:10] ,ultimate_start,139.45,2팀,ChiYo,루시우,0,1
[00:05:11] ,ability_1_used,140.32,2팀,Someone,라인하르트,0
[00:05:12] ,ability_1_used,140.80,1팀,Bliss,루시우,0
[00:05:12] ,ability_2_used,141.12,1팀,DONGHAK,마우가,0
[00:05:12] ,ultimate_end,141.17,2팀,Someone,라인하르트,0,1
[00:05:13] ,ultimate_end,141.73,1팀,Proud,시온,0,1
[00:05:13] ,ability_1_used,141.81,2팀,ChiYo,루시우,0
[00:05:13] ,objective_updated,141.92,1,1,2
[00:05:13] ,objective_captured,141.92,1,2팀,2,0,0,338.07
[00:05:13] ,ability_2_used,142.46,1팀,Proud,시온,0
[00:05:14] ,ability_1_used,142.93,2팀,ChiYo,루시우,0
[00:05:14] ,****,143.02,2팀,Fielder,키리코,1팀,Bliss,루시우,0,60.65,True,0
[00:05:14] ,offensive_assist,143.04,2팀,ChiYo,루시우,0
[00:05:14] ,defensive_assist,143.04,2팀,ChiYo,루시우,0
[00:05:14] ,defensive_assist,143.36,2팀,Fielder,키리코,0
[00:05:15] ,ability_1_used,144.03,1팀,Proud,시온,0
[00:05:15] ,ability_2_used,144.48,1팀,ZEST,벤데타,0
[00:05:16] ,ability_1_used,144.83,2팀,Fielder,키리코,0
[00:05:16] ,ability_1_used,145.54,2팀,ChiYo,루시우,0
[00:05:17] ,ultimate_end,146.16,2팀,ChiYo,루시우,0,1
