[00:00:00] ,match_start,0,콜로세오,밀기,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:10] ,hero_spawn,0,2팀,STALK3R,프레야,0,0
[00:00:15] ,hero_spawn,0,2팀,vigilante,키리코,0,0
[00:00:15] ,hero_spawn,0,1팀,ChiYo,브리기테,0,0
[00:00:16] ,hero_spawn,0,2팀,CH0R0NG,루시우,0,0
[00:00:16] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:18] ,hero_spawn,0,1팀,Someone,라마트라,0,0
[00:00:20] ,hero_spawn,0,2팀,MAX,라마트라,0,0
[00:00:25] ,hero_spawn,0,2팀,HeeSang,트레이서,0,0
[00:00:26] ,hero_spawn,0,1팀,SP1NT,트레이서,0,0
[00:00:26] ,hero_spawn,0,1팀,MER1T,프레야,0,0
[00:01:12] ,hero_swap,0,1팀,Fielder,주노,키리코,0
[00:01:15] ,ability_2_used,0,1팀,Fielder,주노,0
[00:01:15] ,setup_complete,0,1,599.99
[00:01:15] ,ability_1_used,0.02,2팀,CH0R0NG,루시우,0
[00:01:16] ,ability_2_used,0.70,2팀,CH0R0NG,루시우,0
[00:01:16] ,ability_1_used,0.90,2팀,HeeSang,트레이서,0
[00:01:16] ,ability_1_used,0.93,1팀,MER1T,프레야,0
[00:01:16] ,ability_1_used,0.94,2팀,STALK3R,프레야,0
[00:01:16] ,ability_1_used,1.02,1팀,Someone,라마트라,0
[00:01:16] ,ability_1_used,1.22,2팀,MAX,라마트라,0
[00:01:16] ,ability_1_used,1.33,1팀,SP1NT,트레이서,0
[00:01:16] ,ability_1_used,1.49,1팀,SP1NT,트레이서,0
[00:01:16] ,ability_1_used,1.65,1팀,SP1NT,트레이서,0
[00:01:17] ,ability_1_used,2.66,1팀,MER1T,프레야,0
[00:01:18] ,hero_swap,2.75,1팀,Fielder,키리코,주노,2.75
[00:01:18] ,ability_1_used,3.17,1팀,Fielder,키리코,0
[00:01:18] ,ability_1_used,3.46,2팀,STALK3R,프레야,0
[00:01:18] ,ability_1_used,3.62,2팀,HeeSang,트레이서,0
[00:01:24] ,ability_1_used,8.82,2팀,STALK3R,프레야,0
[00:01:24] ,ability_1_used,8.88,1팀,MER1T,프레야,0
[00:01:25] ,ability_1_used,10.16,1팀,Fielder,키리코,0
[00:01:26] ,ability_2_used,10.91,2팀,STALK3R,프레야,0
[00:01:27] ,ability_1_used,11.70,1팀,SP1NT,트레이서,0
[00:01:27] ,ability_1_used,12.16,2팀,STALK3R,프레야,0
[00:01:27] ,ability_1_used,12.27,2팀,HeeSang,트레이서,0
[00:01:28] ,ability_1_used,12.78,2팀,HeeSang,트레이서,0
[00:01:28] ,ability_1_used,13.02,1팀,SP1NT,트레이서,0
[00:01:29] ,ability_1_used,14.29,1팀,MER1T,프레야,0
[00:01:29] ,ability_2_used,14.42,1팀,ChiYo,브리기테,0
[00:01:32] ,ability_1_used,17.38,2팀,HeeSang,트레이서,0
[00:01:33] ,ability_1_used,18.08,2팀,CH0R0NG,루시우,0
[00:01:35] ,ability_1_used,19.78,2팀,STALK3R,프레야,0
[00:01:36] ,ability_1_used,21.66,2팀,HeeSang,트레이서,0
[00:01:37] ,ability_2_used,22.27,1팀,Someone,라마트라,0
[00:01:37] ,ability_2_used,22.27,1팀,ChiYo,브리기테,0
[00:01:39] ,ability_2_used,24.24,2팀,MAX,라마트라,0
[00:01:39] ,ability_2_used,24.48,2팀,STALK3R,프레야,0
[00:01:39] ,ability_1_used,24.48,1팀,ChiYo,브리기테,0
[00:01:40] ,ability_2_used,24.82,2팀,vigilante,키리코,0
[00:01:40] ,ability_2_used,25.28,2팀,CH0R0NG,루시우,0
[00:01:40] ,ability_1_used,25.65,2팀,HeeSang,트레이서,0
[00:01:40] ,ability_1_used,25.66,1팀,SP1NT,트레이서,0
[00:01:41] ,ability_1_used,25.71,2팀,STALK3R,프레야,0
[00:01:41] ,ability_1_used,26.18,2팀,MAX,라마트라,0
[00:01:41] ,ability_1_used,26.30,2팀,HeeSang,트레이서,0
[00:01:41] ,ability_1_used,26.50,1팀,SP1NT,트레이서,0
[00:01:41] ,ability_2_used,26.50,1팀,ChiYo,브리기테,0
[00:01:42] ,ability_1_used,26.72,2팀,CH0R0NG,루시우,0
[00:01:42] ,ability_1_used,26.77,1팀,Someone,라마트라,0
[00:01:42] ,ability_1_used,26.82,1팀,Fielder,키리코,0
[00:01:42] ,ability_1_used,27.10,2팀,vigilante,키리코,0
[00:01:42] ,ability_1_used,27.30,1팀,MER1T,프레야,0
[00:01:43] ,ability_1_used,28.10,1팀,MER1T,프레야,0
[00:01:43] ,ability_2_used,28.11,1팀,ChiYo,브리기테,0
[00:01:44] ,ability_1_used,28.85,2팀,CH0R0NG,루시우,0
[00:01:45] ,ability_2_used,29.78,1팀,Fielder,키리코,0
[00:01:45] ,ability_2_used,30.22,1팀,ChiYo,브리기테,0
[00:01:45] ,ability_1_used,30.34,1팀,SP1NT,트레이서,0
[00:01:45] ,ability_1_used,30.50,1팀,ChiYo,브리기테,0
[00:01:45] ,ability_1_used,30.58,1팀,SP1NT,트레이서,0
[00:01:46] ,ability_1_used,31.20,2팀,CH0R0NG,루시우,0
[00:01:46] ,ability_1_used,31.23,2팀,STALK3R,프레야,0
[00:01:47] ,ability_1_used,31.78,1팀,SP1NT,트레이서,0
[00:01:47] ,ability_1_used,32.32,2팀,HeeSang,트레이서,0
[00:01:48] ,ability_1_used,33.26,2팀,HeeSang,트레이서,0
[00:01:49] ,ability_1_used,34.10,1팀,MER1T,프레야,0
[00:01:49] ,****,34.56,2팀,HeeSang,트레이서,1팀,ChiYo,브리기테,Primary Fire,1.18,0,0
[00:01:49] ,ability_1_used,34.59,2팀,vigilante,키리코,0
[00:01:50] ,defensive_assist,34.80,2팀,vigilante,키리코,0
[00:01:50] ,****,35.39,1팀,Fielder,키리코,2팀,MAX,라마트라,0,39.52,True,0
[00:01:51] ,ability_1_used,35.68,2팀,HeeSang,트레이서,0
[00:01:51] ,defensive_assist,35.79,1팀,Fielder,키리코,0
[00:01:51] ,offensive_assist,35.81,1팀,ChiYo,브리기테,0
[00:01:51] ,defensive_assist,35.81,1팀,ChiYo,브리기테,0
[00:01:51] ,ability_1_used,35.82,2팀,STALK3R,프레야,0
[00:01:51] ,ability_1_used,36.14,2팀,CH0R0NG,루시우,0
[00:01:52] ,ability_2_used,36.70,1팀,Someone,라마트라,0
[00:01:52] ,ability_2_used,36.98,2팀,STALK3R,프레야,0
[00:01:52] ,ability_1_used,37.52,2팀,CH0R0NG,루시우,0
[00:01:53] ,ability_1_used,37.79,2팀,HeeSang,트레이서,0
[00:01:53] ,ability_1_used,38.24,2팀,STALK3R,프레야,0
[00:01:53] ,ability_1_used,38.48,2팀,HeeSang,트레이서,0
[00:01:53] ,ability_1_used,38.50,1팀,SP1NT,트레이서,0
[00:01:53] ,ability_1_used,38.53,1팀,MER1T,프레야,0
[00:01:54] ,ability_2_used,38.98,1팀,MER1T,프레야,0
[00:01:54] ,ability_2_used,39.10,2팀,HeeSang,트레이서,0
