[00:00:00] ,match_start,0,콜로세오,밀기,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:06] ,hero_spawn,0,1팀,eisgnom,시그마,0,0
[00:00:15] ,hero_spawn,0,1팀,Landon,키리코,0,0
[00:00:17] ,hero_swap,0,1팀,Landon,주노,키리코,0
[00:00:18] ,hero_spawn,0,1팀,FiXa,제트팩 캣,0,0
[00:00:19] ,hero_spawn,0,2팀,ChiYo,미즈키,0,0
[00:00:20] ,hero_spawn,0,2팀,Someone,시그마,0,0
[00:00:21] ,hero_spawn,0,1팀,Seicoe,시메트라,0,0
[00:00:23] ,hero_spawn,0,2팀,Fielder,키리코,0,0
[00:00:29] ,hero_spawn,0,1팀,kevster,프레야,0,0
[00:00:30] ,hero_spawn,0,2팀,CheckMate,시메트라,0,0
[00:00:35] ,hero_spawn,0,2팀,MER1T,캐서디,0,0
[00:00:45] ,hero_swap,0,1팀,FiXa,우양,제트팩 캣,0
[00:00:48] ,hero_swap,0,1팀,FiXa,정커퀸,우양,0
[00:00:52] ,hero_swap,0,1팀,FiXa,미즈키,정커퀸,0
[00:00:57] ,hero_swap,0,1팀,FiXa,아나,미즈키,0
[00:01:05] ,hero_swap,0,1팀,FiXa,미즈키,아나,0
[00:01:07] ,setup_complete,0,1,599.99
[00:01:07] ,ability_2_used,0.78,1팀,Landon,주노,0
[00:01:08] ,ability_1_used,1.73,1팀,kevster,프레야,0
[00:01:08] ,ability_1_used,1.82,2팀,MER1T,캐서디,0
[00:01:09] ,ability_2_used,1.97,1팀,Seicoe,시메트라,0
[00:01:09] ,ability_2_used,2.40,2팀,CheckMate,시메트라,0
[00:01:11] ,hero_swap,3.89,1팀,Landon,키리코,주노,3.89
[00:01:12] ,ability_1_used,5.73,1팀,kevster,프레야,0
[00:01:15] ,ability_1_used,8.32,1팀,Landon,키리코,0
[00:01:15] ,ability_1_used,8.38,1팀,Seicoe,시메트라,0
[00:01:16] ,ability_1_used,9.04,1팀,Seicoe,시메트라,0
[00:01:18] ,ability_1_used,11.44,1팀,Seicoe,시메트라,0
[00:01:19] ,ability_1_used,11.92,2팀,CheckMate,시메트라,0
[00:01:22] ,ability_1_used,15.84,2팀,CheckMate,시메트라,0
[00:01:26] ,ability_2_used,19.25,2팀,CheckMate,시메트라,0
[00:01:27] ,ability_1_used,20.21,2팀,ChiYo,미즈키,0
[00:01:27] ,ability_1_used,20.75,1팀,kevster,프레야,0
[00:01:28] ,ability_1_used,21.02,2팀,Someone,시그마,0
[00:01:28] ,ability_2_used,21.65,1팀,eisgnom,시그마,0
[00:01:28] ,ability_2_used,21.73,1팀,Seicoe,시메트라,0
[00:01:30] ,ability_1_used,23.87,2팀,CheckMate,시메트라,0
[00:01:32] ,ability_1_used,25.28,2팀,MER1T,캐서디,0
[00:01:33] ,ability_1_used,26.19,1팀,kevster,프레야,0
[00:01:33] ,ability_1_used,26.74,1팀,kevster,프레야,0
[00:01:33] ,ability_1_used,26.78,1팀,FiXa,미즈키,0
[00:01:36] ,ability_1_used,29.34,2팀,CheckMate,시메트라,0
[00:01:36] ,ability_1_used,29.57,1팀,Seicoe,시메트라,0
[00:01:41] ,ability_1_used,33.92,1팀,kevster,프레야,0
[00:01:41] ,ability_2_used,34.42,2팀,Someone,시그마,0
[00:01:42] ,ability_1_used,35.33,2팀,ChiYo,미즈키,0
[00:01:42] ,ability_1_used,35.52,1팀,eisgnom,시그마,0
[00:01:42] ,ability_2_used,35.54,2팀,CheckMate,시메트라,0
[00:01:43] ,ability_2_used,36.59,2팀,ChiYo,미즈키,0
[00:01:44] ,ability_1_used,37.36,1팀,kevster,프레야,0
[00:01:44] ,ability_1_used,37.62,2팀,Someone,시그마,0
[00:01:44] ,ability_1_used,37.82,2팀,MER1T,캐서디,0
[00:01:44] ,ability_1_used,37.86,2팀,Fielder,키리코,0
[00:01:45] ,ability_1_used,37.94,1팀,FiXa,미즈키,0
[00:01:45] ,ability_2_used,38.00,1팀,kevster,프레야,0
[00:01:45] ,ability_2_used,38.26,1팀,eisgnom,시그마,0
[00:01:46] ,ability_2_used,38.91,1팀,Landon,키리코,0
[00:01:46] ,ability_2_used,39.07,1팀,FiXa,미즈키,0
[00:01:46] ,ability_2_used,39.28,1팀,Seicoe,시메트라,0
[00:01:46] ,ability_1_used,39.49,1팀,Landon,키리코,0
[00:01:47] ,ability_1_used,40.22,1팀,kevster,프레야,0
[00:01:47] ,****,40.34,2팀,CheckMate,시메트라,1팀,kevster,프레야,Primary Fire,20.23,0,0
[00:01:47] ,defensive_assist,40.50,2팀,Fielder,키리코,0
[00:01:48] ,ability_2_used,41.82,2팀,Fielder,키리코,0
[00:01:49] ,****,42.27,2팀,CheckMate,시메트라,1팀,Landon,키리코,Primary Fire,23.91,0,0
[00:01:49] ,defensive_assist,42.35,2팀,Fielder,키리코,0
[00:01:52] ,ability_1_used,45.62,2팀,Fielder,키리코,0
[00:01:53] ,ability_2_used,46.14,2팀,MER1T,캐서디,0
[00:01:53] ,****,46.24,2팀,CheckMate,시메트라,1팀,Seicoe,시메트라,Primary Fire,2.48,0,0
[00:01:53] ,ability_2_used,46.27,2팀,Someone,시그마,0
[00:01:53] ,defensive_assist,46.58,2팀,Fielder,키리코,0
[00:01:54] ,ability_1_used,47.26,2팀,MER1T,캐서디,0
[00:01:54] ,ability_1_used,47.65,2팀,ChiYo,미즈키,0
[00:01:54] ,****,47.84,2팀,MER1T,캐서디,1팀,FiXa,미즈키,Primary Fire,25.05,0,0
[00:01:55] ,defensive_assist,48.00,2팀,Fielder,키리코,0
[00:01:55] ,offensive_assist,48.06,2팀,Someone,시그마,0
[00:01:56] ,ability_2_used,49.17,2팀,CheckMate,시메트라,0
[00:01:57] ,ability_2_used,50.41,1팀,eisgnom,시그마,0
[00:01:58] ,****,51.26,2팀,CheckMate,시메트라,1팀,eisgnom,시그마,Primary Fire,7.12,0,0
[00:01:58] ,defensive_assist,51.33,2팀,Fielder,키리코,0
[00:01:58] ,defensive_assist,51.37,2팀,ChiYo,미즈키,0
[00:02:00] ,ability_1_used,53.44,2팀,MER1T,캐서디,0
[00:02:00] ,ability_1_used,53.45,1팀,kevster,프레야,0
[00:02:00] ,ability_1_used,53.53,2팀,Fielder,키리코,0
[00:02:03] ,ability_2_used,56.22,1팀,kevster,프레야,0
[00:02:04] ,ability_1_used,57.73,1팀,kevster,프레야,0
[00:02:05] ,ability_1_used,58.38,1팀,kevster,프레야,0
[00:02:06] ,ability_1_used,59.36,2팀,CheckMate,시메트라,0
[00:02:07] ,ability_1_used,60.03,2팀,CheckMate,시메트라,0
[00:02:08] ,ability_1_used,61.45,2팀,Fielder,키리코,0
[00:02:13] ,ability_2_used,66.51,1팀,Seicoe,시메트라,0
[00:02:14] ,ability_2_used,67.52,1팀,kevster,프레야,0
[00:02:15] ,ability_1_used,68.22,1팀,kevster,프레야,0
[00:02:15] ,ability_1_used,68.62,1팀,kevster,프레야,0
[00:02:18] ,ability_1_used,71.52,1팀,Seicoe,시메트라,0
[00:02:20] ,ability_1_used,73.01,2팀,CheckMate,시메트라,0
[00:02:20] ,ability_1_used,73.60,2팀,CheckMate,시메트라,0
[00:02:23] ,ability_1_used,75.93,1팀,Seicoe,시메트라,0
[00:02:23] ,ability_1_used,76.27,1팀,FiXa,미즈키,0
[00:02:24] ,ability_2_used,77.08,1팀,FiXa,미즈키,0
[00:02:24] ,ability_2_used,77.85,2팀,CheckMate,시메트라,0
[00:02:25] ,ability_1_used,77.98,1팀,kevster,프레야,0
[00:02:27] ,ability_2_used,80.46,1팀,Seicoe,시메트라,0
[00:02:28] ,ability_1_used,81.58,2팀,Fielder,키리코,0
[00:02:29] ,ability_1_used,82.57,1팀,kevster,프레야,0
[00:02:30] ,ability_1_used,83.02,1팀,kevster,프레야,0
[00:02:31] ,ability_1_used,84.35,1팀,Seicoe,시메트라,0
[00:02:31] ,ability_1_used,84.49,2팀,MER1T,캐서디,0
[00:02:34] ,ability_1_used,87.29,2팀,CheckMate,시메트라,0
[00:02:35] ,ability_1_used,88.38,1팀,FiXa,미즈키,0
[00:02:36] ,ultimate_charged,89.00,2팀,ChiYo,미즈키,0,1
[00:02:36] ,ultimate_charged,89.00,1팀,kevster,프레야,0,1
[00:02:36] ,ability_2_used,89.45,1팀,kevster,프레야,0
[00:02:36] ,ability_1_used,89.87,1팀,Seicoe,시메트라,0
[00:02:37] ,****,90.03,1팀,kevster,프레야,2팀,CheckMate,시메트라,0,31.84,0,0
[00:02:37] ,defensive_assist,90.28,1팀,Landon,키리코,0
[00:02:37] ,ability_1_used,90.51,2팀,MER1T,캐서디,0
[00:02:37] ,ability_2_used,90.76,1팀,FiXa,미즈키,0
[00:02:37] ,ability_1_used,90.84,2팀,ChiYo,미즈키,0
[00:02:38] ,ability_2_used,90.92,1팀,eisgnom,시그마,0
[00:02:38] ,ability_1_used,91.24,1팀,kevster,프레야,0
[00:02:38] ,ability_2_used,91.36,2팀,MER1T,캐서디,0
[00:02:38] ,ultimate_charged,91.52,2팀,Fielder,키리코,0,1
[00:02:38] ,ultimate_start,91.63,2팀,ChiYo,미즈키,0,1
[00:02:39] ,ultimate_start,92.17,1팀,kevster,프레야,0,1
[00:02:39] ,ability_2_used,92.40,2팀,ChiYo,미즈키,0
[00:02:39] ,ultimate_end,92.81,1팀,kevster,프레야,0,1
[00:02:40] ,ability_2_used,93.16,2팀,Someone,시그마,0
[00:02:40] ,ability_2_used,93.80,1팀,Landon,키리코,0
[00:02:41] ,ability_2_used,93.98,2팀,Fielder,키리코,0
[00:02:41] ,ability_2_used,94.30,1팀,Seicoe,시메트라,0
[00:02:42] ,ultimate_start,95.16,2팀,Fielder,키리코,0,1
[00:02:42] ,ultimate_charged,95.76,1팀,eisgnom,시그마,0,1
[00:02:43] ,ultimate_start,96.24,1팀,eisgnom,시그마,0,1
[00:02:44] ,ability_1_used,97.02,2팀,MER1T,캐서디,0
[00:02:44] ,ability_1_used,97.28,1팀,Landon,키리코,0
[00:02:44] ,ultimate_charged,97.84,1팀,Seicoe,시메트라,0,1
[00:02:45] ,ultimate_end,98.14,2팀,ChiYo,미즈키,0,1
[00:02:45] ,ability_1_used,98.51,2팀,Someone,시그마,0
[00:02:46] ,****,99.39,1팀,FiXa,미즈키,2팀,MER1T,캐서디,Primary Fire,6.24,0,0
[00:02:46] ,defensive_assist,99.64,1팀,FiXa,미즈키,0
[00:02:47] ,ability_1_used,99.93,1팀,Seicoe,시메트라,0
[00:02:47] ,ability_1_used,100.16,1팀,FiXa,미즈키,0
[00:02:47] ,****,100.24,1팀,Landon,키리코,2팀,ChiYo,미즈키,0,62.87,True,0
[00:02:47] ,ultimate_end,100.43,1팀,eisgnom,시그마,0,1
[00:02:47] ,defensive_assist,100.59,1팀,FiXa,미즈키,0
[00:02:48] ,****,101.18,1팀,kevster,프레야,2팀,Someone,시그마,Primary Fire,2.74,0,0
[00:02:48] ,offensive_assist,101.18,1팀,eisgnom,시그마,0
[00:02:49] ,****,102.52,1팀,FiXa,미즈키,2팀,Fielder,키리코,Primary Fire,18.48,True,0
[00:02:53] ,ultimate_end,106.36,2팀,Fielder,키리코,0,1
[00:02:54] ,ability_2_used,106.89,2팀,CheckMate,시메트라,0
[00:02:57] ,ultimate_charged,110.01,2팀,MER1T,캐서디,0,1
[00:02:59] ,ability_1_used,112.28,2팀,MER1T,캐서디,0
[00:03:00] ,ability_2_used,113.05,1팀,Seicoe,시메트라,0
[00:03:00] ,ability_1_used,113.24,2팀,ChiYo,미즈키,0
[00:03:01] ,ability_1_used,114.06,1팀,Landon,키리코,0
[00:03:03] ,ability_1_used,115.88,1팀,Seicoe,시메트라,0
[00:03:03] ,ultimate_charged,116.25,1팀,Landon,키리코,0,1
[00:03:03] ,ability_1_used,116.43,1팀,kevster,프레야,0
[00:03:06] ,ability_1_used,119.29,2팀,Fielder,키리코,0
[00:03:06] ,ability_2_used,119.42,1팀,eisgnom,시그마,0
[00:03:06] ,ability_1_used,119.63,1팀,kevster,프레야,0
[00:03:07] ,ability_1_used,120.31,2팀,MER1T,캐서디,0
[00:03:09] ,ultimate_charged,122.81,2팀,CheckMate,시메트라,0,1
[00:03:12] ,ability_1_used,125.05,1팀,Seicoe,시메트라,0
[00:03:12] ,ability_1_used,125.47,2팀,Someone,시그마,0
[00:03:13] ,ultimate_charged,125.99,1팀,FiXa,미즈키,0,1
[00:03:13] ,ability_1_used,126.62,1팀,kevster,프레야,0
[00:03:14] ,ultimate_charged,127.00,2팀,Someone,시그마,0,1
[00:03:14] ,ability_2_used,127.02,1팀,Seicoe,시메트라,0
[00:03:14] ,ability_1_used,127.24,2팀,MER1T,캐서디,0
[00:03:15] ,ability_1_used,128.57,1팀,kevster,프레야,0
[00:03:15] ,ability_2_used,128.86,1팀,Landon,키리코,0
[00:03:18] ,ability_1_used,130.92,1팀,Landon,키리코,0
[00:03:18] ,ultimate_start,131.05,2팀,Someone,시그마,0,1
[00:03:18] ,ability_1_used,131.42,2팀,CheckMate,시메트라,0
[00:03:19] ,ability_1_used,132.00,2팀,ChiYo,미즈키,0
[00:03:19] ,ability_1_used,132.16,1팀,FiXa,미즈키,0
[00:03:19] ,ability_2_used,132.20,1팀,eisgnom,시그마,0
[00:03:19] ,ability_1_used,132.27,1팀,Seicoe,시메트라,0
[00:03:19] ,ability_1_used,132.62,2팀,CheckMate,시메트라,0
[00:03:20] ,ability_2_used,133.64,2팀,ChiYo,미즈키,0
[00:03:20] ,ability_1_used,133.68,1팀,eisgnom,시그마,0
[00:03:22] ,ability_2_used,134.97,1팀,FiXa,미즈키,0
[00:03:22] ,ultimate_end,135.24,2팀,Someone,시그마,0,1
[00:03:22] ,ultimate_start,135.52,1팀,Landon,키리코,0,1
[00:03:23] ,ability_1_used,136.35,2팀,MER1T,캐서디,0
[00:03:24] ,ability_2_used,137.02,2팀,CheckMate,시메트라,0
[00:03:24] ,ability_1_used,137.10,1팀,kevster,프레야,0
[00:03:24] ,ability_1_used,137.69,1팀,kevster,프레야,0
[00:03:27] ,ability_1_used,139.89,2팀,Fielder,키리코,0
[00:03:27] ,ability_1_used,140.59,1팀,Seicoe,시메트라,0
[00:03:29] ,ability_1_used,142.46,1팀,FiXa,미즈키,0
[00:03:30] ,ability_1_used,143.10,2팀,MER1T,캐서디,0
[00:03:32] ,ability_2_used,145.34,1팀,Seicoe,시메트라,0
[00:03:32] ,ability_2_used,145.46,1팀,kevster,프레야,0
[00:03:33] ,ultimate_end,146.03,1팀,Landon,키리코,0,1
[00:03:33] ,ability_1_used,146.51,1팀,kevster,프레야,0
[00:03:34] ,ability_2_used,146.91,1팀,FiXa,미즈키,0
[00:03:34] ,ability_1_used,147.25,1팀,kevster,프레야,0
[00:03:35] ,ability_2_used,147.95,1팀,eisgnom,시그마,0
[00:03:35] ,ability_1_used,148.51,2팀,Fielder,키리코,0
[00:03:35] ,ability_1_used,148.85,2팀,MER1T,캐서디,0
[00:03:36] ,ability_2_used,149.09,2팀,Someone,시그마,0
[00:03:37] ,ability_1_used,150.43,1팀,eisgnom,시그마,0
[00:03:39] ,ability_1_used,151.92,2팀,ChiYo,미즈키,0
[00:03:39] ,ability_1_used,152.53,1팀,Seicoe,시메트라,0
[00:03:42] ,ability_1_used,155.20,1팀,Seicoe,시메트라,0
[00:03:43] ,ability_1_used,156.29,1팀,kevster,프레야,0
[00:03:44] ,ability_1_used,157.08,1팀,FiXa,미즈키,0
[00:03:45] ,ability_2_used,158.01,2팀,CheckMate,시메트라,0
[00:03:47] ,ability_2_used,160.63,1팀,kevster,프레야,0
[00:03:47] ,ability_2_used,160.69,1팀,Seicoe,시메트라,0
[00:03:47] ,ultimate_start,160.82,1팀,FiXa,미즈키,0,1
[00:03:48] ,ultimate_start,160.92,2팀,CheckMate,시메트라,0,1
