[00:00:00] ,match_start,0,샴발리 수도원,호위,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:13] ,hero_spawn,0,1팀,shy,프레야,0,0
[00:00:17] ,hero_spawn,0,2팀,ChiYo,루시우,0,0
[00:00:18] ,hero_spawn,0,2팀,CheckMate,파라,0,0
[00:00:19] ,hero_spawn,0,2팀,Someone,라마트라,0,0
[00:00:30] ,hero_spawn,0,1팀,Guxue,라마트라,0,0
[00:00:32] ,hero_spawn,0,2팀,Fielder,키리코,0,0
[00:00:45] ,hero_spawn,0,1팀,EVAEL,파라,0,0
[00:00:46] ,hero_spawn,0,1팀,LeeSooMin,제트팩 캣,0,0
[00:00:54] ,hero_swap,0,2팀,Someone,프레야,라마트라,0
[00:00:57] ,hero_swap,0,2팀,Someone,제트팩 캣,프레야,0
[00:00:58] ,hero_spawn,0,1팀,MAKA,주노,0,0
[00:01:13] ,hero_swap,0,2팀,Someone,한조,제트팩 캣,0
[00:01:21] ,hero_swap,0,1팀,MAKA,키리코,주노,0
[00:01:27] ,hero_swap,0,2팀,ChiYo,브리기테,루시우,0
[00:01:39] ,hero_swap,0,2팀,Someone,라마트라,한조,0
[00:01:50] ,hero_spawn,0,2팀,MER1T,프레야,0,0
[00:01:57] ,hero_swap,0,2팀,CheckMate,시메트라,파라,0
[00:01:59] ,ability_1_used,0,1팀,LeeSooMin,제트팩 캣,0
[00:01:59] ,setup_complete,0,1,239.99
[00:02:01] ,ability_1_used,1.92,1팀,EVAEL,파라,0
[00:02:02] ,ability_1_used,3.30,1팀,shy,프레야,0
[00:02:03] ,ability_1_used,4.43,2팀,MER1T,프레야,0
[00:02:05] ,ability_2_used,6.53,2팀,ChiYo,브리기테,0
[00:02:07] ,ability_2_used,7.76,1팀,EVAEL,파라,0
[00:02:07] ,ability_2_used,8.45,2팀,ChiYo,브리기테,0
[00:02:08] ,ability_1_used,9.41,2팀,Someone,라마트라,0
[00:02:09] ,ability_1_used,9.81,1팀,shy,프레야,0
[00:02:10] ,ability_2_used,11.01,2팀,MER1T,프레야,0
[00:02:10] ,ability_1_used,11.34,2팀,CheckMate,시메트라,0
[00:02:11] ,ability_1_used,12.22,2팀,CheckMate,시메트라,0
[00:02:11] ,ability_1_used,12.26,2팀,MER1T,프레야,0
[00:02:12] ,ability_1_used,12.82,1팀,shy,프레야,0
[00:02:12] ,ability_1_used,12.91,1팀,LeeSooMin,제트팩 캣,0
[00:02:12] ,ability_1_used,13.25,2팀,MER1T,프레야,0
[00:02:13] ,hero_swap,14.32,2팀,Someone,D.Va,라마트라,14.32
[00:02:14] ,ability_1_used,15.31,2팀,Someone,D.Va,0
[00:02:16] ,ability_1_used,17.36,1팀,LeeSooMin,제트팩 캣,0
[00:02:17] ,ability_2_used,17.90,2팀,ChiYo,브리기테,0
[00:02:18] ,ability_1_used,18.78,1팀,EVAEL,파라,0
[00:02:19] ,ability_2_used,20.10,2팀,ChiYo,브리기테,0
[00:02:19] ,ability_2_used,20.56,2팀,CheckMate,시메트라,0
[00:02:20] ,ability_1_used,20.99,2팀,MER1T,프레야,0
[00:02:20] ,ability_1_used,21.36,1팀,shy,프레야,0
[00:02:20] ,ability_2_used,21.57,1팀,EVAEL,파라,0
[00:02:21] ,ability_1_used,22.32,2팀,MER1T,프레야,0
[00:02:22] ,ability_2_used,23.60,2팀,ChiYo,브리기테,0
[00:02:23] ,ability_2_used,24.24,1팀,shy,프레야,0
[00:02:26] ,ability_1_used,27.60,2팀,Someone,D.Va,0
[00:02:26] ,hero_swap,27.68,2팀,ChiYo,주노,브리기테,27.68
[00:02:27] ,ability_1_used,28.03,2팀,ChiYo,주노,0
[00:02:28] ,ability_1_used,28.80,1팀,shy,프레야,0
[00:02:28] ,ability_1_used,29.30,1팀,LeeSooMin,제트팩 캣,0
[00:02:30] ,ability_1_used,31.52,2팀,MER1T,프레야,0
[00:02:31] ,ability_1_used,32.13,1팀,shy,프레야,0
[00:02:31] ,ability_1_used,32.37,2팀,MER1T,프레야,0
[00:02:32] ,ability_2_used,33.52,2팀,Someone,D.Va,0
[00:02:33] ,ability_1_used,33.84,2팀,CheckMate,시메트라,0
[00:02:33] ,ability_2_used,34.42,1팀,EVAEL,파라,0
[00:02:33] ,ability_1_used,34.45,1팀,shy,프레야,0
