[00:00:00] ,match_start,0,수라바사,플래시포인트,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:10] ,hero_spawn,0,1팀,MER1T,윈스턴,0,0
[00:00:15] ,hero_spawn,0,1팀,SP1NT,트레이서,0,0
[00:00:16] ,hero_spawn,0,1팀,ChiYo,우양,0,0
[00:00:16] ,hero_spawn,0,2팀,Landon,키리코,0,0
[00:00:16] ,hero_spawn,0,1팀,Fielder,메이,0,0
[00:00:20] ,hero_spawn,0,2팀,Seicoe,시메트라,0,0
[00:00:21] ,hero_spawn,0,2팀,FiXa,루시우,0,0
[00:00:22] ,hero_spawn,0,1팀,Someone,라마트라,0,0
[00:00:24] ,hero_swap,0,1팀,ChiYo,시에라,우양,0
[00:00:24] ,hero_swap,0,1팀,Fielder,벤데타,메이,0
[00:00:26] ,hero_swap,0,1팀,Someone,레킹볼,라마트라,0
[00:00:26] ,hero_spawn,0,2팀,kevster,소전,0,0
[00:00:28] ,hero_swap,0,2팀,FiXa,제트팩 캣,루시우,0
[00:00:39] ,hero_swap,0,1팀,ChiYo,일리아리,시에라,0
[00:00:44] ,hero_swap,0,1팀,ChiYo,토르비욘,일리아리,0
[00:00:47] ,hero_swap,0,1팀,Fielder,애쉬,벤데타,0
[00:00:51] ,hero_swap,0,1팀,Fielder,D.Va,애쉬,0
[00:00:52] ,hero_swap,0,1팀,ChiYo,브리기테,토르비욘,0
[00:00:54] ,hero_swap,0,1팀,ChiYo,제트팩 캣,브리기테,0
[00:00:58] ,hero_swap,0,1팀,Fielder,주노,D.Va,0
[00:00:58] ,hero_swap,0,1팀,Someone,라마트라,레킹볼,0
[00:01:00] ,hero_swap,0,1팀,SP1NT,시메트라,트레이서,0
[00:01:07] ,hero_swap,0,1팀,MER1T,소전,윈스턴,0
[00:01:09] ,hero_swap,0,1팀,MER1T,프레야,소전,0
[00:01:21] ,hero_swap,0,1팀,Fielder,우양,주노,0
[00:01:31] ,hero_spawn,0,2팀,eisgnom,라마트라,0,0
[00:01:40] ,hero_swap,0,1팀,ChiYo,브리기테,제트팩 캣,0
[00:01:40] ,hero_swap,0,1팀,Fielder,주노,우양,0
[00:01:41] ,hero_swap,0,2팀,FiXa,루시우,제트팩 캣,0
[00:01:42] ,ability_1_used,0,2팀,FiXa,루시우,0
[00:01:42] ,setup_complete,0,1,29.99
