[00:02:30] ,ability_2_used,37.25,1팀,MER1T,프레야,0
[00:02:30] ,ability_2_used,37.65,2팀,STALK3R,프레야,0
[00:02:31] ,ability_1_used,38.69,1팀,SP1NT,트레이서,0
[00:02:32] ,ability_2_used,39.55,2팀,CH0R0NG,미즈키,0
[00:02:32] ,ability_1_used,39.89,1팀,MER1T,프레야,0
[00:02:33] ,ability_1_used,40.43,2팀,HeeSang,시메트라,0
[00:02:33] ,****,40.54,1팀,ChiYo,브리기테,2팀,CH0R0NG,미즈키,Primary Fire,28.26,0,0
[00:02:33] ,ability_1_used,40.80,1팀,Someone,라마트라,0
[00:02:34] ,ability_1_used,41.65,1팀,ChiYo,브리기테,0
[00:02:35] ,ability_2_used,42.88,1팀,ChiYo,브리기테,0
[00:02:36] ,ability_1_used,43.50,2팀,STALK3R,프레야,0
[00:02:36] ,ability_1_used,43.71,2팀,MAX,시그마,0
[00:02:36] ,ability_2_used,43.98,2팀,vigilante,키리코,0
[00:02:36] ,ability_1_used,44.13,1팀,SP1NT,트레이서,0
[00:02:37] ,point_progress,44.42,1,All Teams,2,99.97
[00:02:37] ,objective_captured,44.43,1,1팀,2,0.01,0,0
[00:02:37] ,ability_2_used,44.99,2팀,HeeSang,시메트라,0
[00:02:38] ,ability_1_used,45.79,1팀,MER1T,프레야,0
[00:02:38] ,ability_1_used,46.14,2팀,STALK3R,프레야,0
[00:02:39] ,ability_2_used,46.43,2팀,MAX,시그마,0
[00:02:39] ,ability_1_used,46.90,2팀,HeeSang,시메트라,0
[00:02:40] ,ability_1_used,48.10,1팀,ChiYo,브리기테,0
[00:02:41] ,ability_2_used,49.15,2팀,STALK3R,프레야,0
[00:02:42] ,****,49.31,1팀,Someone,라마트라,2팀,MAX,시그마,Ability 1,14.29,0,0
[00:02:42] ,defensive_assist,49.41,1팀,Fielder,키리코,0
[00:02:43] ,ability_2_used,50.19,1팀,MER1T,프레야,0
[00:02:43] ,ability_1_used,50.24,2팀,STALK3R,프레야,0
[00:02:43] ,ability_2_used,50.29,1팀,ChiYo,브리기테,0
[00:02:43] ,ability_1_used,50.35,1팀,SP1NT,트레이서,0
[00:02:43] ,ability_1_used,50.54,1팀,Fielder,키리코,0
[00:02:43] ,ability_1_used,51.12,1팀,MER1T,프레야,0
[00:02:43] ,ability_1_used,51.13,2팀,CH0R0NG,미즈키,0
[00:02:44] ,ability_2_used,51.18,1팀,ChiYo,브리기테,0
[00:02:44] ,ability_2_used,51.37,1팀,Someone,라마트라,0
[00:02:45] ,ability_1_used,52.49,1팀,SP1NT,트레이서,0
[00:02:45] ,ability_1_used,53.09,1팀,ChiYo,브리기테,0
[00:02:46] ,****,53.42,1팀,ChiYo,브리기테,2팀,STALK3R,프레야,Ability 1,51.32,0,0
[00:02:46] ,ability_1_used,53.69,1팀,SP1NT,트레이서,0
[00:02:46] ,ability_2_used,53.85,1팀,ChiYo,브리기테,0
[00:02:46] ,ability_2_used,53.89,1팀,SP1NT,트레이서,0
[00:02:47] ,ability_1_used,54.45,2팀,vigilante,키리코,0
[00:02:50] ,ability_1_used,57.45,1팀,SP1NT,트레이서,0
[00:02:50] ,****,57.73,1팀,MER1T,프레야,2팀,HeeSang,시메트라,Primary Fire,25.84,True,0
[00:02:50] ,defensive_assist,57.89,1팀,Fielder,키리코,0
[00:02:53] ,ability_1_used,60.46,1팀,SP1NT,트레이서,0
