[00:00:00] ,match_start,0,서킷 로얄,호위,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:09] ,hero_spawn,0,1팀,SP1NT,시온,0,0
[00:00:10] ,hero_spawn,0,2팀,STALK3R,시온,0,0
[00:00:19] ,hero_spawn,0,1팀,ChiYo,루시우,0,0
[00:00:23] ,hero_spawn,0,2팀,vigilante,키리코,0,0
[00:00:34] ,hero_spawn,0,1팀,MER1T,소전,0,0
[00:00:34] ,hero_spawn,0,2팀,HeeSang,리퍼,0,0
[00:00:38] ,hero_spawn,0,1팀,HanBin,마우가,0,0
[00:00:41] ,hero_spawn,0,2팀,CH0R0NG,루시우,0,0
[00:00:44] ,hero_spawn,0,2팀,MAX,윈스턴,0,0
[00:00:52] ,hero_swap,0,2팀,MAX,도미나,윈스턴,0
[00:00:54] ,hero_spawn,0,1팀,Fielder,브리기테,0,0
[00:01:00] ,hero_swap,0,2팀,HeeSang,캐서디,리퍼,0
[00:01:02] ,hero_swap,0,2팀,HeeSang,소전,캐서디,0
[00:01:09] ,hero_swap,0,2팀,STALK3R,바스티온,시온,0
[00:01:13] ,hero_swap,0,2팀,CH0R0NG,제트팩 캣,루시우,0
[00:01:18] ,hero_swap,0,1팀,Fielder,키리코,브리기테,0
[00:01:39] ,hero_swap,0,1팀,HanBin,라마트라,마우가,0
[00:01:41] ,hero_swap,0,1팀,HanBin,마우가,라마트라,0
[00:01:55] ,hero_swap,0,2팀,MAX,D.Va,도미나,0
[00:02:17] ,hero_swap,0,2팀,MAX,도미나,D.Va,0
[00:02:34] ,hero_swap,0,2팀,STALK3R,시온,바스티온,0
[00:02:37] ,ability_1_used,0,1팀,ChiYo,루시우,0
[00:02:37] ,setup_complete,0,1,239.99
[00:02:37] ,ability_2_used,0.02,1팀,SP1NT,시온,0
[00:02:39] ,hero_swap,2.11,2팀,CH0R0NG,일리아리,제트팩 캣,2.11
[00:02:40] ,ability_1_used,2.54,1팀,ChiYo,루시우,0
[00:02:41] ,ability_1_used,3.89,2팀,STALK3R,시온,0
[00:02:42] ,ability_1_used,4.82,1팀,ChiYo,루시우,0
[00:02:43] ,ability_1_used,5.55,1팀,MER1T,소전,0
[00:02:45] ,ability_1_used,7.42,1팀,SP1NT,시온,0
[00:02:45] ,ability_2_used,7.94,1팀,MER1T,소전,0
[00:02:46] ,hero_swap,9.01,2팀,CH0R0NG,제트팩 캣,일리아리,6.90
[00:02:48] ,ability_1_used,10.22,2팀,STALK3R,시온,0
[00:02:48] ,ability_1_used,10.46,1팀,ChiYo,루시우,0
[00:02:48] ,ability_2_used,10.62,2팀,STALK3R,시온,0
[00:02:49] ,hero_swap,11.92,2팀,CH0R0NG,일리아리,제트팩 캣,2.91
[00:02:51] ,****,13.66,1팀,MER1T,소전,2팀,HeeSang,소전,Secondary Fire,146.20,True,0
[00:02:52] ,ability_1_used,14.75,1팀,MER1T,소전,0
[00:02:52] ,ability_1_used,14.83,1팀,ChiYo,루시우,0
[00:02:53] ,ability_1_used,15.95,1팀,ChiYo,루시우,0
[00:02:53] ,ability_1_used,16.21,2팀,STALK3R,시온,0
[00:02:54] ,ability_2_used,16.24,1팀,SP1NT,시온,0
[00:02:54] ,ability_1_used,16.45,1팀,Fielder,키리코,0
[00:02:54] ,ability_2_used,16.48,1팀,ChiYo,루시우,0
[00:02:55] ,ability_2_used,17.89,2팀,MAX,도미나,0
[00:02:56] ,ability_2_used,18.67,2팀,vigilante,키리코,0
[00:02:56] ,****,18.75,1팀,ChiYo,루시우,2팀,MAX,도미나,Primary Fire,19.88,0,0
[00:02:56] ,ability_2_used,18.80,2팀,CH0R0NG,일리아리,0
[00:02:56] ,offensive_assist,18.80,1팀,HanBin,마우가,0
[00:02:56] ,defensive_assist,18.82,1팀,ChiYo,루시우,0
[00:02:56] ,defensive_assist,18.83,1팀,Fielder,키리코,0
[00:02:59] ,ability_1_used,21.63,1팀,ChiYo,루시우,0
[00:03:00] ,ability_1_used,22.22,1팀,SP1NT,시온,0
[00:03:03] ,ability_1_used,25.44,2팀,STALK3R,시온,0
[00:03:03] ,ability_1_used,25.81,1팀,ChiYo,루시우,0
[00:03:04] ,hero_swap,26.32,2팀,MAX,마우가,도미나,26.32
[00:03:04] ,ability_1_used,26.80,2팀,MAX,마우가,0
[00:03:05] ,hero_swap,28.02,2팀,HeeSang,리퍼,소전,28.02
[00:03:07] ,ability_2_used,30.14,2팀,STALK3R,시온,0
[00:03:08] ,ability_1_used,30.43,2팀,CH0R0NG,일리아리,0
[00:03:08] ,ability_1_used,30.59,1팀,ChiYo,루시우,0
[00:03:08] ,ability_2_used,31.01,1팀,MER1T,소전,0
[00:03:09] ,hero_swap,32.03,2팀,CH0R0NG,루시우,일리아리,20.11
[00:03:09] ,ability_1_used,32.03,2팀,CH0R0NG,루시우,0
[00:03:10] ,ability_2_used,32.29,2팀,HeeSang,리퍼,0
[00:03:11] ,ability_1_used,33.36,1팀,ChiYo,루시우,0
[00:03:11] ,ability_1_used,33.98,1팀,SP1NT,시온,0
[00:03:12] ,ability_1_used,34.54,2팀,STALK3R,시온,0
[00:03:13] ,ability_1_used,35.79,1팀,ChiYo,루시우,0
[00:03:14] ,ability_1_used,36.59,1팀,MER1T,소전,0
[00:03:18] ,ability_1_used,41.01,2팀,STALK3R,시온,0
[00:03:19] ,ability_2_used,41.87,1팀,ChiYo,루시우,0
[00:03:20] ,ability_2_used,42.42,1팀,SP1NT,시온,0
[00:03:20] ,ability_1_used,42.70,2팀,CH0R0NG,루시우,0
[00:03:22] ,payload_progress,44.48,1,2팀,0,10.01
[00:03:22] ,ability_2_used,44.50,2팀,HeeSang,리퍼,0
[00:03:23] ,ability_1_used,45.84,2팀,CH0R0NG,루시우,0
[00:03:24] ,ability_1_used,46.66,1팀,SP1NT,시온,0
[00:03:24] ,ability_1_used,47.06,2팀,CH0R0NG,루시우,0
[00:03:25] ,ability_1_used,47.50,1팀,ChiYo,루시우,0
[00:03:25] ,ability_2_used,47.76,2팀,STALK3R,시온,0
[00:03:25] ,ability_1_used,47.95,2팀,HeeSang,리퍼,0
[00:03:25] ,ability_1_used,48.14,1팀,MER1T,소전,0
[00:03:27] ,ability_1_used,49.45,1팀,HanBin,마우가,0
[00:03:27] ,ability_1_used,49.76,1팀,ChiYo,루시우,0
[00:03:27] ,****,49.92,2팀,STALK3R,시온,1팀,HanBin,마우가,Ability 2,55.55,0,0
[00:03:27] ,ability_2_used,49.97,1팀,MER1T,소전,0
[00:03:27] ,offensive_assist,49.98,2팀,CH0R0NG,루시우,0
[00:03:28] ,ability_1_used,50.27,2팀,STALK3R,시온,0
[00:03:28] ,defensive_assist,50.29,2팀,vigilante,키리코,0
[00:03:28] ,offensive_assist,50.38,2팀,MAX,마우가,0
[00:03:28] ,ability_1_used,50.43,2팀,MAX,마우가,0
[00:03:28] ,ability_2_used,51.02,2팀,CH0R0NG,루시우,0
[00:03:28] ,ability_1_used,51.05,2팀,CH0R0NG,루시우,0
[00:03:29] ,****,51.97,2팀,STALK3R,시온,1팀,MER1T,소전,Primary Fire,25.84,0,0
[00:03:29] ,defensive_assist,52.17,2팀,vigilante,키리코,0
[00:03:30] ,offensive_assist,52.30,2팀,CH0R0NG,루시우,0
[00:03:31] ,ability_1_used,53.42,1팀,SP1NT,시온,0
[00:03:32] ,ability_2_used,54.62,2팀,vigilante,키리코,0
[00:03:32] ,ability_2_used,55.13,1팀,Fielder,키리코,0
[00:03:32] ,****,55.20,1팀,Fielder,키리코,2팀,STALK3R,시온,0,109.60,True,0
[00:03:35] ,****,57.55,2팀,vigilante,키리코,1팀,SP1NT,시온,Melee,17.39,0,0
[00:03:35] ,ability_1_used,57.68,2팀,HeeSang,리퍼,0
[00:03:35] ,defensive_assist,57.81,2팀,vigilante,키리코,0
[00:03:35] ,offensive_assist,57.82,2팀,MAX,마우가,0
[00:03:35] ,offensive_assist,57.95,2팀,CH0R0NG,루시우,0
[00:03:36] ,ability_1_used,58.27,2팀,MAX,마우가,0
[00:03:36] ,ability_2_used,58.96,2팀,HeeSang,리퍼,0
[00:03:36] ,ability_1_used,59.05,1팀,Fielder,키리코,0
[00:03:37] ,ability_2_used,59.66,1팀,ChiYo,루시우,0
[00:03:37] ,ability_1_used,59.69,2팀,CH0R0NG,루시우,0
[00:03:37] ,ability_1_used,59.82,1팀,ChiYo,루시우,0
[00:03:39] ,****,61.37,2팀,HeeSang,리퍼,1팀,Fielder,키리코,Primary Fire,29.00,0,0
[00:03:39] ,defensive_assist,61.57,2팀,vigilante,키리코,0
[00:03:39] ,offensive_assist,61.71,2팀,CH0R0NG,루시우,0
[00:03:40] ,ability_1_used,62.53,1팀,HanBin,마우가,0
[00:03:40] ,ability_1_used,62.57,1팀,MER1T,소전,0
[00:03:42] ,payload_progress,64.80,1,2팀,0,20.01
[00:03:43] ,ability_1_used,65.81,2팀,STALK3R,시온,0
[00:03:43] ,ability_2_used,66.21,2팀,STALK3R,시온,0
[00:03:47] ,ability_1_used,70.14,1팀,Fielder,키리코,0
[00:03:47] ,ability_1_used,70.14,1팀,SP1NT,시온,0
[00:03:48] ,ability_2_used,70.54,1팀,SP1NT,시온,0
[00:03:48] ,ability_1_used,70.70,1팀,MER1T,소전,0
[00:03:49] ,ability_1_used,72.17,2팀,STALK3R,시온,0
[00:03:50] ,ability_2_used,72.75,2팀,HeeSang,리퍼,0
[00:03:53] ,ability_1_used,75.61,2팀,HeeSang,리퍼,0
[00:03:55] ,ability_1_used,77.37,1팀,ChiYo,루시우,0
[00:03:56] ,ability_1_used,79.02,1팀,ChiYo,루시우,0
[00:03:57] ,payload_progress,79.34,1,2팀,0,30.02
[00:03:57] ,ability_1_used,79.96,1팀,SP1NT,시온,0
[00:03:58] ,ability_1_used,80.56,2팀,STALK3R,시온,0
[00:03:58] ,ability_2_used,81.10,1팀,MER1T,소전,0
[00:03:59] ,ultimate_charged,82.00,2팀,vigilante,키리코,0,1
[00:04:01] ,ability_1_used,84.03,1팀,HanBin,마우가,0
[00:04:02] ,ability_1_used,84.25,2팀,MAX,마우가,0
[00:04:02] ,ultimate_start,84.73,2팀,vigilante,키리코,0,1
[00:04:03] ,ability_2_used,85.61,2팀,STALK3R,시온,0
[00:04:03] ,ability_2_used,85.66,2팀,MAX,마우가,0
[00:04:03] ,ability_2_used,85.76,1팀,ChiYo,루시우,0
[00:04:04] ,ability_2_used,86.40,2팀,CH0R0NG,루시우,0
[00:04:04] ,ability_1_used,86.62,2팀,CH0R0NG,루시우,0
[00:04:04] ,ability_2_used,86.94,1팀,HanBin,마우가,0
[00:04:04] ,ultimate_charged,87.02,1팀,Fielder,키리코,0,1
[00:04:04] ,ability_1_used,87.08,1팀,ChiYo,루시우,0
[00:04:04] ,ability_1_used,87.16,2팀,HeeSang,리퍼,0
[00:04:05] ,ultimate_start,87.64,1팀,Fielder,키리코,0,1
[00:04:06] ,ultimate_charged,88.32,1팀,MER1T,소전,0,1
[00:04:06] ,ability_1_used,88.62,1팀,MER1T,소전,0
[00:04:06] ,ability_2_used,88.67,1팀,Fielder,키리코,0
[00:04:06] ,ability_1_used,88.86,2팀,MAX,마우가,0
[00:04:06] ,ability_1_used,89.02,1팀,ChiYo,루시우,0
[00:04:07] ,ultimate_start,89.84,1팀,MER1T,소전,0,1
[00:04:08] ,ability_1_used,90.35,1팀,SP1NT,시온,0
[00:04:08] ,ability_1_used,90.44,2팀,STALK3R,시온,0
[00:04:08] ,****,90.68,2팀,MAX,마우가,1팀,HanBin,마우가,0,7.25,0,0
[00:04:08] ,defensive_assist,90.70,2팀,MAX,마우가,0
[00:04:08] ,offensive_assist,90.78,2팀,vigilante,키리코,0
[00:04:08] ,defensive_assist,90.78,2팀,vigilante,키리코,0
[00:04:08] ,offensive_assist,90.86,2팀,CH0R0NG,루시우,0
[00:04:08] ,defensive_assist,90.86,2팀,CH0R0NG,루시우,0
[00:04:08] ,ability_1_used,91.15,1팀,ChiYo,루시우,0
[00:04:08] ,****,91.20,1팀,SP1NT,시온,2팀,STALK3R,시온,Primary Fire,29.48,0,0
[00:04:08] ,offensive_assist,91.21,1팀,ChiYo,루시우,0
[00:04:08] ,defensive_assist,91.21,1팀,ChiYo,루시우,0
[00:04:09] ,offensive_assist,91.23,1팀,Fielder,키리코,0
[00:04:09] ,defensive_assist,91.23,1팀,Fielder,키리코,0
[00:04:09] ,defensive_assist,91.24,1팀,HanBin,마우가,0
[00:04:09] ,ability_1_used,91.69,2팀,CH0R0NG,루시우,0
[00:04:09] ,ability_2_used,91.71,1팀,SP1NT,시온,0
[00:04:09] ,ability_2_used,92.12,2팀,vigilante,키리코,0
[00:04:11] ,ability_2_used,93.29,1팀,MER1T,소전,0
[00:04:11] ,ability_1_used,94.04,2팀,CH0R0NG,루시우,0
[00:04:11] ,ability_1_used,94.06,1팀,MER1T,소전,0
[00:04:13] ,ability_1_used,95.23,1팀,SP1NT,시온,0
[00:04:13] ,ability_1_used,95.32,2팀,HeeSang,리퍼,0
[00:04:13] ,ability_2_used,95.34,1팀,ChiYo,루시우,0
[00:04:13] ,ability_1_used,95.84,2팀,MAX,마우가,0
[00:04:13] ,ultimate_charged,95.92,1팀,ChiYo,루시우,0,1
[00:04:13] ,ultimate_end,95.93,2팀,vigilante,키리코,0,1
[00:04:14] ,ability_2_used,96.62,2팀,MAX,마우가,0
[00:04:14] ,ability_1_used,96.76,2팀,CH0R0NG,루시우,0
[00:04:15] ,ultimate_start,97.40,1팀,ChiYo,루시우,0,1
[00:04:15] ,ability_1_used,97.79,1팀,ChiYo,루시우,0
[00:04:15] ,ability_1_used,98.16,2팀,CH0R0NG,루시우,0
[00:04:16] ,ability_2_used,98.35,2팀,CH0R0NG,루시우,0
[00:04:16] ,ultimate_end,98.57,1팀,MER1T,소전,0,1
[00:04:16] ,ultimate_end,98.60,1팀,Fielder,키리코,0,1
[00:04:18] ,ability_1_used,101.04,1팀,ChiYo,루시우,0
[00:04:19] ,ability_1_used,101.23,1팀,HanBin,마우가,0
[00:04:19] ,ultimate_charged,101.36,1팀,SP1NT,시온,0,1
[00:04:19] ,ability_1_used,101.76,2팀,STALK3R,시온,0
[00:04:19] ,ability_2_used,102.16,2팀,STALK3R,시온,0
[00:04:20] ,ability_2_used,102.24,2팀,HeeSang,리퍼,0
[00:04:20] ,ability_1_used,102.88,2팀,MAX,마우가,0
[00:04:20] ,ultimate_start,103.12,2팀,CH0R0NG,루시우,0,0
[00:04:21] ,ability_1_used,103.36,1팀,ChiYo,루시우,0
