[00:00:00] ,match_start,0,리알토,호위,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:08] ,hero_spawn,0,2팀,Proud,위도우메이커,0,0
[00:00:12] ,hero_spawn,0,1팀,SP1NT,메이,0,0
[00:00:17] ,hero_spawn,0,1팀,HanBin,D.Va,0,0
[00:00:20] ,hero_spawn,0,2팀,ZEST,시메트라,0,0
[00:00:23] ,hero_swap,0,2팀,ZEST,겐지,시메트라,0
[00:00:26] ,hero_spawn,0,2팀,Bliss,루시우,0,0
[00:00:44] ,hero_spawn,0,2팀,skewed,키리코,0,0
[00:01:00] ,hero_spawn,0,2팀,DONGHAK,레킹볼,0,0
[00:01:06] ,hero_spawn,0,1팀,ChiYo,일리아리,0,0
[00:01:13] ,hero_swap,0,2팀,skewed,미즈키,키리코,0
[00:01:15] ,hero_spawn,0,1팀,MER1T,바스티온,0,0
[00:01:27] ,hero_swap,0,2팀,skewed,키리코,미즈키,0
[00:01:29] ,hero_swap,0,2팀,Proud,소전,위도우메이커,0
[00:01:37] ,hero_swap,0,2팀,ZEST,파라,겐지,0
[00:01:41] ,hero_swap,0,2팀,ZEST,시메트라,파라,0
[00:01:53] ,hero_swap,0,1팀,ChiYo,브리기테,일리아리,0
[00:01:59] ,hero_spawn,0,1팀,Fielder,바티스트,0,0
[00:02:00] ,hero_swap,0,1팀,ChiYo,미즈키,브리기테,0
[00:02:14] ,hero_swap,0,2팀,Proud,위도우메이커,소전,0
[00:02:40] ,hero_swap,0,2팀,DONGHAK,D.Va,레킹볼,0
[00:02:43] ,hero_swap,0,1팀,MER1T,캐서디,바스티온,0
[00:02:51] ,hero_swap,0,1팀,Fielder,키리코,바티스트,0
[00:04:18] ,setup_complete,0,1,239.99
[00:04:26] ,hero_swap,8.51,2팀,Proud,소전,위도우메이커,8.51
[00:04:38] ,payload_progress,19.73,1,2팀,0,10.01
[00:05:27] ,****,69.49,1팀,MER1T,캐서디,2팀,skewed,키리코,Primary Fire,103.01,True,0
[00:05:32] ,****,74.08,1팀,MER1T,캐서디,2팀,DONGHAK,D.Va,Primary Fire,105,True,0
[00:05:32] ,defensive_assist,74.41,1팀,ChiYo,미즈키,0
[00:05:37] ,****,79.42,1팀,MER1T,캐서디,2팀,Proud,소전,Primary Fire,124.04,True,0
[00:05:37] ,offensive_assist,79.50,1팀,Fielder,키리코,0
[00:05:37] ,defensive_assist,79.50,1팀,Fielder,키리코,0
[00:05:37] ,defensive_assist,79.58,1팀,ChiYo,미즈키,0
[00:05:41] ,remech_charged,83.10,1팀,HanBin,D.Va,0,1
[00:05:43] ,dva_remech,85.58,1팀,HanBin,D.Va,1
[00:05:44] ,ultimate_charged,86.00,1팀,MER1T,캐서디,0,1
[00:05:57] ,ultimate_charged,99.47,1팀,Fielder,키리코,0,1
[00:06:03] ,****,105.50,1팀,MER1T,캐서디,2팀,skewed,키리코,Primary Fire,0.77,0,0
[00:06:04] ,defensive_assist,105.82,1팀,Fielder,키리코,0
[00:06:10] ,ultimate_charged,111.91,2팀,ZEST,시메트라,0,1
[00:06:10] ,****,112.41,1팀,HanBin,D.Va,2팀,ZEST,시메트라,Ability 2,2.49,0,0
[00:06:10] ,defensive_assist,112.46,1팀,ChiYo,미즈키,0
[00:06:11] ,defensive_assist,112.86,1팀,Fielder,키리코,0
[00:06:13] ,****,115.15,2팀,Proud,소전,1팀,Fielder,키리코,Secondary Fire,153.72,True,0
[00:06:13] ,ultimate_charged,115.61,2팀,Proud,소전,0,1
[00:06:15] ,ultimate_charged,117.05,2팀,Bliss,루시우,0,1
[00:06:18] ,****,119.95,1팀,MER1T,캐서디,2팀,Bliss,루시우,Primary Fire,4.66,0,0
[00:06:18] ,defensive_assist,119.99,1팀,ChiYo,미즈키,0
[00:06:18] ,ultimate_charged,120.15,1팀,ChiYo,미즈키,0,1
[00:06:21] ,****,123.02,1팀,ChiYo,미즈키,2팀,DONGHAK,D.Va,Primary Fire,8,True,0
[00:06:21] ,defensive_assist,123.27,1팀,ChiYo,미즈키,0
[00:06:21] ,ultimate_charged,123.31,1팀,SP1NT,메이,0,1
[00:06:22] ,****,123.91,1팀,SP1NT,메이,2팀,Proud,소전,Melee,16.72,0,0
[00:06:22] ,defensive_assist,124.22,1팀,ChiYo,미즈키,0
[00:06:23] ,ultimate_charged,125.00,2팀,skewed,키리코,0,1
[00:06:23] ,****,125.32,1팀,HanBin,D.Va,1팀,HanBin,D.Va,0,175,0,True
[00:06:39] ,ultimate_start,140.75,2팀,Proud,소전,0,1
[00:06:39] ,ultimate_charged,141.25,2팀,DONGHAK,D.Va,0,1
[00:06:40] ,ultimate_charged,142.41,1팀,HanBin,D.Va,0,2
[00:06:40] ,ultimate_start,142.67,1팀,ChiYo,미즈키,0,1
[00:06:46] ,ultimate_start,148.24,2팀,DONGHAK,D.Va,0,1
[00:06:47] ,ultimate_end,149.19,1팀,ChiYo,미즈키,0,1
[00:06:47] ,ultimate_end,149.49,2팀,Proud,소전,0,1
[00:06:49] ,ultimate_end,151.46,2팀,DONGHAK,D.Va,0,1
[00:06:50] ,ultimate_start,152.37,1팀,Fielder,키리코,0,1
[00:06:52] ,ultimate_start,154.66,2팀,ZEST,시메트라,0,1
[00:06:53] ,ultimate_start,154.87,2팀,skewed,키리코,0,1
[00:06:55] ,ultimate_start,156.74,1팀,SP1NT,메이,0,1
[00:06:56] ,ultimate_start,157.85,2팀,Bliss,루시우,0,1
[00:06:58] ,****,160.23,1팀,SP1NT,메이,2팀,ZEST,시메트라,Ultimate,2.87,0,0
[00:06:58] ,offensive_assist,160.34,1팀,Fielder,키리코,0
[00:06:58] ,defensive_assist,160.34,1팀,Fielder,키리코,0
[00:06:58] ,defensive_assist,160.42,1팀,ChiYo,미즈키,0
[00:06:59] ,****,161.32,2팀,DONGHAK,D.Va,1팀,Fielder,키리코,0,11.78,0,0
[00:07:00] ,offensive_assist,161.69,2팀,Bliss,루시우,0
[00:07:00] ,defensive_assist,161.69,2팀,Bliss,루시우,0
[00:07:00] ,offensive_assist,161.77,2팀,skewed,키리코,0
[00:07:00] ,defensive_assist,161.77,2팀,skewed,키리코,0
[00:07:00] ,ultimate_end,162.63,1팀,SP1NT,메이,0,1
[00:07:01] ,ultimate_end,163.00,1팀,Fielder,키리코,0,1
[00:07:01] ,****,163.51,1팀,HanBin,D.Va,2팀,Proud,소전,Melee,7.80,0,0
