[00:00:00] ,match_start,0,콜로세오,밀기,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:12] ,hero_spawn,0,1팀,EVAEL,애쉬,0,0
[00:00:16] ,hero_spawn,0,2팀,ChiYo,루시우,0,0
[00:00:18] ,hero_spawn,0,1팀,MAKA,시온,0,0
[00:00:23] ,hero_spawn,0,2팀,Fielder,키리코,0,0
[00:00:25] ,hero_spawn,0,2팀,CheckMate,벤데타,0,0
[00:00:27] ,hero_spawn,0,1팀,LeeSooMin,제트팩 캣,0,0
[00:00:33] ,hero_spawn,0,2팀,Someone,시그마,0,0
[00:00:47] ,hero_swap,0,2팀,Someone,D.Va,시그마,0
[00:00:47] ,hero_swap,0,2팀,CheckMate,시메트라,벤데타,0
[00:00:55] ,hero_swap,0,2팀,Fielder,젠야타,키리코,0
[00:00:56] ,hero_swap,0,2팀,Fielder,주노,젠야타,0
[00:01:01] ,hero_spawn,0,1팀,Guxue,마우가,0,0
[00:01:10] ,hero_swap,0,1팀,EVAEL,벤처,애쉬,0
[00:01:15] ,hero_spawn,0,1팀,shy,리퍼,0,0
[00:01:17] ,hero_spawn,0,2팀,MER1T,시온,0,0
[00:01:22] ,hero_swap,0,2팀,Fielder,키리코,주노,0
[00:01:22] ,hero_swap,0,2팀,Fielder,주노,키리코,0
[00:01:22] ,hero_swap,0,1팀,MAKA,주노,시온,0
[00:01:30] ,hero_swap,0,1팀,EVAEL,시온,벤처,0
[00:01:31] ,ability_1_used,0,2팀,ChiYo,루시우,0
[00:01:31] ,setup_complete,0,1,599.99
[00:01:31] ,ability_2_used,0.02,2팀,Fielder,주노,0
[00:01:31] ,ability_1_used,0.02,1팀,LeeSooMin,제트팩 캣,0
[00:01:32] ,ability_2_used,0.59,1팀,EVAEL,시온,0
[00:01:33] ,ability_2_used,1.82,2팀,CheckMate,시메트라,0
[00:01:33] ,ability_1_used,1.95,1팀,Guxue,마우가,0
[00:01:33] ,hero_swap,2.24,1팀,MAKA,키리코,주노,2.24
[00:01:33] ,ability_2_used,2.30,1팀,shy,리퍼,0
[00:01:33] ,ability_1_used,2.43,2팀,MER1T,시온,0
