[00:00:00] ,match_start,0,할리우드,혼합,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:08] ,hero_spawn,0,2팀,Viol2t,제트팩 캣,0,0
[00:00:10] ,hero_spawn,0,2팀,Bernar,해저드,0,0
[00:00:10] ,hero_spawn,0,1팀,SP1NT,시온,0,0
[00:00:10] ,hero_swap,0,2팀,Viol2t,루시우,제트팩 캣,0
[00:00:13] ,hero_spawn,0,2팀,shu,키리코,0,0
[00:00:14] ,hero_spawn,0,1팀,CheckMate,겐지,0,0
[00:00:14] ,hero_spawn,0,1팀,HanBin,마우가,0,0
[00:00:23] ,hero_swap,0,2팀,Bernar,주노,해저드,0
[00:00:35] ,hero_spawn,0,2팀,Proper,벤데타,0,0
[00:00:35] ,hero_spawn,0,2팀,knife,시온,0,0
[00:00:43] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:57] ,hero_spawn,0,1팀,ChiYo,루시우,0,0
[00:01:01] ,hero_swap,0,2팀,Bernar,벤처,주노,0
[00:01:11] ,hero_swap,0,2팀,Bernar,자리야,벤처,0
[00:01:25] ,hero_swap,0,2팀,Bernar,둠피스트,자리야,0
[00:01:38] ,hero_swap,0,2팀,Bernar,자리야,둠피스트,0
[00:01:42] ,hero_swap,0,1팀,CheckMate,리퍼,겐지,0
[00:01:45] ,ability_1_used,0,1팀,ChiYo,루시우,0
[00:01:45] ,ability_1_used,0,2팀,Viol2t,루시우,0
[00:01:45] ,setup_complete,0,1,239.99
[00:01:47] ,ability_2_used,1.76,2팀,knife,시온,0
[00:01:47] ,ability_1_used,2.03,2팀,Bernar,자리야,0
[00:01:48] ,ability_1_used,3.01,1팀,ChiYo,루시우,0
[00:01:49] ,ability_2_used,3.70,2팀,Bernar,자리야,0
[00:01:50] ,ability_1_used,4.64,1팀,ChiYo,루시우,0
[00:01:51] ,ability_1_used,5.42,2팀,Viol2t,루시우,0
[00:01:51] ,ability_1_used,5.84,1팀,ChiYo,루시우,0
[00:01:51] ,hero_swap,5.89,2팀,Bernar,마우가,자리야,5.89
[00:01:52] ,ability_1_used,6.50,2팀,Bernar,마우가,0
[00:01:52] ,ability_1_used,6.51,2팀,Viol2t,루시우,0
[00:01:53] ,ability_1_used,7.22,1팀,SP1NT,시온,0
[00:01:53] ,ability_1_used,7.97,2팀,Viol2t,루시우,0
[00:01:58] ,ability_1_used,12.38,1팀,ChiYo,루시우,0
[00:02:02] ,ability_1_used,16.27,2팀,Viol2t,루시우,0
[00:02:03] ,ability_2_used,18.02,1팀,SP1NT,시온,0
[00:02:06] ,ability_2_used,20.24,2팀,Proper,벤데타,0
[00:02:07] ,ability_2_used,21.25,2팀,Viol2t,루시우,0
[00:02:07] ,ability_1_used,21.33,2팀,Viol2t,루시우,0
[00:02:07] ,ability_2_used,22.03,2팀,knife,시온,0
[00:02:08] ,ability_1_used,22.58,1팀,HanBin,마우가,0
[00:02:08] ,ability_2_used,23.07,1팀,ChiYo,루시우,0
[00:02:09] ,ability_1_used,23.52,1팀,Fielder,키리코,0
[00:02:09] ,ability_1_used,23.98,1팀,SP1NT,시온,0
[00:02:11] ,****,25.44,2팀,Proper,벤데타,1팀,ChiYo,루시우,Primary Fire,102.76,0,0
[00:02:11] ,ability_1_used,26.00,2팀,Proper,벤데타,0
[00:02:12] ,ability_1_used,26.29,1팀,CheckMate,리퍼,0
[00:02:12] ,ability_1_used,26.32,2팀,Bernar,마우가,0
[00:02:12] ,ability_2_used,26.77,2팀,Bernar,마우가,0
[00:02:13] ,ability_1_used,27.76,2팀,knife,시온,0
[00:02:13] ,ability_2_used,27.90,1팀,HanBin,마우가,0
[00:02:13] ,****,27.94,2팀,Bernar,마우가,1팀,SP1NT,시온,Ability 1,4,0,0
[00:02:14] ,defensive_assist,28.26,2팀,shu,키리코,0
[00:02:14] ,offensive_assist,28.27,2팀,Viol2t,루시우,0
[00:02:14] ,ability_2_used,28.74,2팀,Proper,벤데타,0
[00:02:14] ,****,29.10,2팀,Viol2t,루시우,1팀,CheckMate,리퍼,Primary Fire,0.24,0,0
[00:02:14] ,defensive_assist,29.18,2팀,shu,키리코,0
[00:02:15] ,offensive_assist,29.26,2팀,Bernar,마우가,0
[00:02:15] ,defensive_assist,29.26,2팀,Bernar,마우가,0
[00:02:15] ,ability_2_used,29.79,1팀,Fielder,키리코,0
[00:02:15] ,ability_1_used,30.08,2팀,shu,키리코,0
