[00:00:00] ,match_start,0,왕의 길,혼합,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:22] ,hero_spawn,0,2팀,skewed,키리코,0,0
[00:00:24] ,hero_spawn,0,2팀,Proud,겐지,0,0
[00:00:25] ,hero_spawn,0,1팀,CheckMate,메이,0,0
[00:00:29] ,hero_spawn,0,1팀,Someone,라마트라,0,0
[00:00:35] ,hero_swap,0,1팀,CheckMate,시메트라,메이,0
[00:00:37] ,hero_spawn,0,2팀,Jasm1ne,레킹볼,0,0
[00:00:38] ,hero_swap,0,1팀,Someone,D.Va,라마트라,0
[00:00:45] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:45] ,hero_spawn,0,2팀,Bliss,루시우,0,0
[00:00:52] ,hero_swap,0,2팀,Proud,엠레,겐지,0
[00:00:56] ,hero_spawn,0,1팀,ChiYo,미즈키,0,0
[00:00:58] ,hero_spawn,0,2팀,ZEST,트레이서,0,0
[00:01:02] ,hero_swap,0,2팀,Proud,한조,엠레,0
[00:01:12] ,hero_swap,0,2팀,ZEST,벤데타,트레이서,0
[00:01:12] ,hero_spawn,0,1팀,MER1T,캐서디,0,0
[00:01:17] ,hero_swap,0,1팀,Someone,시그마,D.Va,0
[00:01:28] ,hero_swap,0,2팀,Jasm1ne,자리야,레킹볼,0
[00:01:36] ,hero_swap,0,2팀,ZEST,안란,벤데타,0
[00:01:40] ,hero_swap,0,2팀,skewed,주노,키리코,0
[00:01:44] ,hero_swap,0,2팀,ZEST,벤데타,안란,0
[00:01:49] ,ability_1_used,0,2팀,Proud,한조,0
[00:01:49] ,setup_complete,0,1,239.99
[00:01:49] ,ability_1_used,0.02,2팀,Bliss,루시우,0
[00:01:52] ,ability_2_used,2.37,2팀,ZEST,벤데타,0
[00:01:52] ,hero_swap,2.43,2팀,skewed,키리코,주노,2.43
[00:01:52] ,ability_2_used,2.72,1팀,CheckMate,시메트라,0
[00:01:52] ,ability_1_used,2.93,2팀,skewed,키리코,0
[00:01:53] ,ability_2_used,3.18,2팀,Bliss,루시우,0
[00:01:53] ,ability_2_used,3.30,2팀,Proud,한조,0
[00:01:53] ,ability_2_used,3.52,2팀,Jasm1ne,자리야,0
[00:01:53] ,ability_1_used,3.76,1팀,MER1T,캐서디,0
[00:01:55] ,ability_1_used,5.12,2팀,ZEST,벤데타,0
[00:01:55] ,hero_swap,5.52,2팀,Proud,소전,한조,5.52
[00:01:56] ,ability_1_used,6.14,2팀,Bliss,루시우,0
[00:01:57] ,ability_1_used,7.31,1팀,CheckMate,시메트라,0
[00:01:57] ,ability_1_used,7.58,2팀,Proud,소전,0
[00:01:58] ,ability_1_used,8.16,2팀,Bliss,루시우,0
[00:01:59] ,ability_1_used,9.97,2팀,Bliss,루시우,0
[00:02:01] ,ability_1_used,11.60,2팀,Bliss,루시우,0
[00:02:02] ,ability_1_used,12.50,2팀,Bliss,루시우,0
[00:02:02] ,ability_2_used,12.61,2팀,ZEST,벤데타,0
[00:02:03] ,ability_2_used,13.33,2팀,Jasm1ne,자리야,0
[00:02:03] ,ability_1_used,13.89,1팀,MER1T,캐서디,0
[00:02:05] ,ability_2_used,15.31,1팀,Someone,시그마,0
[00:02:08] ,ability_2_used,18.10,1팀,CheckMate,시메트라,0
[00:02:08] ,ability_1_used,18.32,2팀,Bliss,루시우,0
[00:02:08] ,ability_1_used,18.90,2팀,skewed,키리코,0
[00:02:09] ,ability_1_used,19.17,2팀,Proud,소전,0
[00:02:09] ,ability_1_used,19.81,2팀,ZEST,벤데타,0
[00:02:10] ,ability_2_used,20.24,2팀,Bliss,루시우,0
[00:02:10] ,ability_2_used,20.48,2팀,Proud,소전,0
[00:02:10] ,ability_1_used,20.59,2팀,Bliss,루시우,0
[00:02:10] ,ability_1_used,20.72,1팀,CheckMate,시메트라,0
[00:02:10] ,ability_2_used,20.78,2팀,Jasm1ne,자리야,0
[00:02:11] ,ability_2_used,21.17,1팀,MER1T,캐서디,0
[00:02:11] ,ability_1_used,21.73,2팀,Bliss,루시우,0
[00:02:12] ,ability_1_used,22.40,1팀,MER1T,캐서디,0
[00:02:12] ,ability_2_used,22.96,2팀,skewed,키리코,0
[00:02:13] ,ability_1_used,23.49,2팀,Jasm1ne,자리야,0
[00:02:13] ,ability_1_used,24.00,2팀,Bliss,루시우,0
[00:02:15] ,ability_2_used,25.79,2팀,ZEST,벤데타,0
[00:02:15] ,ability_1_used,25.90,2팀,Bliss,루시우,0
[00:02:16] ,ability_1_used,26.62,1팀,CheckMate,시메트라,0
[00:02:18] ,ability_1_used,28.40,2팀,Bliss,루시우,0
[00:02:18] ,ability_1_used,28.61,1팀,ChiYo,미즈키,0
[00:02:19] ,****,29.20,1팀,MER1T,캐서디,2팀,ZEST,벤데타,Primary Fire,124.99,True,0
[00:02:19] ,ability_2_used,29.20,1팀,Someone,시그마,0
[00:02:19] ,ability_2_used,29.30,1팀,ChiYo,미즈키,0
[00:02:19] ,ability_1_used,29.44,2팀,Bliss,루시우,0
[00:02:19] ,ability_1_used,29.63,1팀,MER1T,캐서디,0
[00:02:19] ,defensive_assist,29.66,1팀,ChiYo,미즈키,0
[00:02:21] ,ability_1_used,31.10,2팀,Bliss,루시우,0
[00:02:21] ,ability_1_used,31.47,2팀,Proud,소전,0
[00:02:21] ,ability_1_used,31.66,2팀,skewed,키리코,0
[00:02:21] ,ability_1_used,31.97,2팀,Jasm1ne,자리야,0
[00:02:22] ,ability_2_used,32.26,1팀,CheckMate,시메트라,0
[00:02:22] ,ability_1_used,32.77,2팀,Bliss,루시우,0
[00:02:23] ,ability_1_used,34.03,1팀,Fielder,키리코,0
[00:02:24] ,ability_2_used,34.56,1팀,Fielder,키리코,0
[00:02:25] ,****,35.36,1팀,CheckMate,시메트라,2팀,Proud,소전,Primary Fire,2.39,0,0
[00:02:25] ,defensive_assist,35.41,1팀,Fielder,키리코,0
[00:02:25] ,ability_1_used,35.60,2팀,Bliss,루시우,0
[00:02:25] ,ability_2_used,35.71,1팀,MER1T,캐서디,0
[00:02:25] ,defensive_assist,35.76,1팀,ChiYo,미즈키,0
[00:02:25] ,ability_2_used,35.86,2팀,Bliss,루시우,0
[00:02:27] ,ability_1_used,37.97,1팀,CheckMate,시메트라,0
[00:02:28] ,ability_1_used,38.74,2팀,Bliss,루시우,0
[00:02:29] ,ability_1_used,39.79,2팀,ZEST,벤데타,0
[00:02:30] ,ability_1_used,40.11,2팀,Bliss,루시우,0
[00:02:30] ,ability_1_used,41.01,2팀,skewed,키리코,0
[00:02:31] ,ability_1_used,41.49,2팀,Bliss,루시우,0
[00:02:32] ,ability_1_used,42.99,1팀,MER1T,캐서디,0
[00:02:33] ,ability_1_used,43.63,1팀,CheckMate,시메트라,0
[00:02:36] ,ability_1_used,46.13,2팀,Proud,소전,0
[00:02:38] ,ability_2_used,48.34,1팀,CheckMate,시메트라,0
[00:02:39] ,ability_1_used,49.30,2팀,Jasm1ne,자리야,0
[00:02:40] ,ability_1_used,50.19,1팀,ChiYo,미즈키,0
[00:02:40] ,ability_2_used,50.83,2팀,ZEST,벤데타,0
[00:02:41] ,ability_2_used,51.05,2팀,Bliss,루시우,0
[00:02:41] ,ability_2_used,51.12,1팀,Someone,시그마,0
[00:02:41] ,ability_2_used,51.17,1팀,ChiYo,미즈키,0
[00:02:41] ,ability_2_used,51.76,2팀,skewed,키리코,0
[00:02:42] ,ability_1_used,52.75,1팀,Fielder,키리코,0
[00:02:42] ,ability_1_used,52.85,2팀,Bliss,루시우,0
[00:02:43] ,ability_1_used,54.00,2팀,Jasm1ne,자리야,0
[00:02:43] ,ability_1_used,54.00,1팀,MER1T,캐서디,0
[00:02:44] ,ability_1_used,54.21,2팀,ZEST,벤데타,0
[00:02:44] ,ability_1_used,54.41,2팀,Bliss,루시우,0
[00:02:44] ,ability_2_used,55.01,1팀,MER1T,캐서디,0
[00:02:44] ,ultimate_charged,55.01,1팀,Someone,시그마,0,1
[00:02:45] ,ability_2_used,55.41,1팀,Fielder,키리코,0
[00:02:45] ,defensive_assist,55.97,1팀,ChiYo,미즈키,0
[00:02:45] ,****,55.97,1팀,Fielder,키리코,2팀,Bliss,루시우,0,6.62,0,0
[00:02:46] ,defensive_assist,56.08,1팀,Fielder,키리코,0
[00:02:46] ,ability_1_used,56.65,2팀,skewed,키리코,0
[00:02:47] ,ability_2_used,57.58,2팀,Proud,소전,0
[00:02:48] ,****,58.67,2팀,ZEST,벤데타,1팀,ChiYo,미즈키,Primary Fire,45.12,0,0
[00:02:48] ,defensive_assist,58.81,2팀,skewed,키리코,0
[00:02:48] ,offensive_assist,58.85,2팀,Bliss,루시우,0
[00:02:48] ,defensive_assist,58.85,2팀,Bliss,루시우,0
[00:02:49] ,****,59.60,1팀,Fielder,키리코,2팀,ZEST,벤데타,0,36.64,0,0
[00:02:49] ,defensive_assist,59.74,1팀,ChiYo,미즈키,0
[00:02:49] ,ability_1_used,59.82,1팀,MER1T,캐서디,0
[00:02:49] ,defensive_assist,59.82,1팀,Fielder,키리코,0
[00:02:51] ,ultimate_start,61.33,1팀,Someone,시그마,0,1
[00:02:51] ,ability_2_used,61.90,1팀,CheckMate,시메트라,0
[00:02:55] ,ability_1_used,65.36,2팀,Proud,소전,0
[00:02:56] ,ultimate_end,66.43,1팀,Someone,시그마,0,1
[00:02:56] ,ability_2_used,66.89,1팀,Someone,시그마,0
[00:02:57] ,ability_1_used,67.07,1팀,CheckMate,시메트라,0
[00:02:57] ,ability_1_used,67.09,2팀,skewed,키리코,0
[00:02:57] ,ability_1_used,67.66,1팀,CheckMate,시메트라,0
[00:02:58] ,ability_1_used,68.06,2팀,Bliss,루시우,0
[00:02:58] ,ability_1_used,68.54,2팀,ZEST,벤데타,0
[00:02:58] ,ability_2_used,68.57,2팀,Bliss,루시우,0
[00:02:59] ,ability_1_used,69.26,1팀,ChiYo,미즈키,0
[00:03:00] ,ability_1_used,70.72,2팀,Jasm1ne,자리야,0
[00:03:02] ,ability_1_used,72.19,1팀,CheckMate,시메트라,0
[00:03:02] ,ability_1_used,72.27,1팀,MER1T,캐서디,0
[00:03:03] ,ability_2_used,73.50,1팀,MER1T,캐서디,0
[00:03:03] ,ability_2_used,73.57,2팀,Proud,소전,0
[00:03:03] ,ability_2_used,73.66,2팀,skewed,키리코,0
[00:03:04] ,ability_2_used,74.94,1팀,CheckMate,시메트라,0
[00:03:05] ,ability_1_used,75.15,2팀,Proud,소전,0
[00:03:05] ,ability_1_used,75.89,2팀,skewed,키리코,0
[00:03:06] ,ability_1_used,76.40,2팀,Jasm1ne,자리야,0
[00:03:06] ,ultimate_charged,76.70,1팀,Fielder,키리코,0,1
[00:03:06] ,ability_1_used,76.89,2팀,Bliss,루시우,0
[00:03:08] ,ultimate_charged,78.89,2팀,skewed,키리코,0,1
[00:03:09] ,ability_2_used,79.16,2팀,ZEST,벤데타,0
[00:03:09] ,ability_1_used,79.21,1팀,MER1T,캐서디,0
[00:03:09] ,ultimate_start,79.32,1팀,Fielder,키리코,0,1
[00:03:09] ,ability_2_used,79.72,1팀,Someone,시그마,0
[00:03:09] ,ability_1_used,79.88,2팀,Bliss,루시우,0
[00:03:10] ,ability_1_used,80.49,1팀,ChiYo,미즈키,0
[00:03:10] ,ultimate_charged,80.52,2팀,Jasm1ne,자리야,0,1
[00:03:10] ,ultimate_start,80.89,2팀,skewed,키리코,0,1
[00:03:11] ,ability_2_used,81.13,1팀,ChiYo,미즈키,0
[00:03:11] ,ability_1_used,81.34,2팀,ZEST,벤데타,0
[00:03:11] ,****,81.61,1팀,Someone,시그마,2팀,ZEST,벤데타,Primary Fire,23.05,0,0
[00:03:11] ,offensive_assist,81.82,1팀,Fielder,키리코,0
[00:03:11] ,defensive_assist,81.82,1팀,Fielder,키리코,0
[00:03:12] ,ability_1_used,82.57,2팀,Bliss,루시우,0
[00:03:13] ,ability_2_used,83.87,2팀,Bliss,루시우,0
[00:03:14] ,ability_1_used,84.06,2팀,Proud,소전,0
[00:03:14] ,ability_1_used,84.97,2팀,skewed,키리코,0
[00:03:15] ,ability_2_used,85.32,1팀,Fielder,키리코,0
[00:03:15] ,ability_1_used,85.39,1팀,MER1T,캐서디,0
[00:03:15] ,ability_2_used,85.64,2팀,skewed,키리코,0
[00:03:15] ,ability_2_used,85.85,2팀,Proud,소전,0
[00:03:16] ,ability_2_used,86.80,1팀,MER1T,캐서디,0
[00:03:16] ,ability_1_used,86.88,2팀,Jasm1ne,자리야,0
[00:03:17] ,ability_1_used,87.37,1팀,Someone,시그마,0
[00:03:18] ,ability_1_used,88.38,2팀,Proud,소전,0
[00:03:19] ,ability_1_used,89.13,1팀,CheckMate,시메트라,0
[00:03:19] ,ability_1_used,89.98,1팀,Fielder,키리코,0
[00:03:20] ,ability_1_used,90.11,1팀,MER1T,캐서디,0
[00:03:20] ,ultimate_end,90.38,2팀,skewed,키리코,0,1
[00:03:20] ,ultimate_end,90.52,1팀,Fielder,키리코,0,1
[00:03:20] ,ability_1_used,90.67,2팀,Bliss,루시우,0
