[00:00:00] ,match_start,0,수라바사,플래시포인트,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:11] ,hero_spawn,0,2팀,ChiYo,미즈키,0,0
[00:00:12] ,hero_spawn,0,1팀,FiNN,키리코,0,0
[00:00:15] ,hero_spawn,0,2팀,Someone,시그마,0,0
[00:00:18] ,hero_spawn,0,2팀,MER1T,캐서디,0,0
[00:00:21] ,hero_spawn,0,2팀,SP1NT,트레이서,0,0
[00:00:31] ,hero_spawn,0,2팀,Fielder,키리코,0,0
[00:00:31] ,hero_spawn,0,1팀,kellex,루시우,0,0
[00:00:32] ,hero_spawn,0,1팀,AlphaYi,메이,0,0
[00:00:37] ,hero_spawn,0,1팀,LBBD7,벤데타,0,0
[00:00:42] ,hero_swap,0,2팀,ChiYo,주노,미즈키,0
[00:00:45] ,hero_swap,0,2팀,ChiYo,바티스트,주노,0
[00:00:46] ,hero_swap,0,2팀,ChiYo,미즈키,바티스트,0
[00:00:47] ,hero_swap,0,2팀,ChiYo,바티스트,미즈키,0
[00:01:08] ,hero_swap,0,2팀,SP1NT,시온,트레이서,0
[00:01:20] ,hero_swap,0,2팀,ChiYo,미즈키,바티스트,0
[00:01:27] ,hero_spawn,0,1팀,ZIYAD,레킹볼,0,0
[00:01:45] ,hero_swap,0,1팀,ZIYAD,마우가,레킹볼,0
[00:01:51] ,hero_swap,0,1팀,LBBD7,소전,벤데타,0
[00:01:51] ,hero_swap,0,1팀,AlphaYi,벤데타,메이,0
[00:01:58] ,hero_swap,0,1팀,AlphaYi,리퍼,벤데타,0
[00:02:08] ,setup_complete,0,1,29.99
[00:02:08] ,ability_1_used,0.02,1팀,kellex,루시우,0
[00:02:08] ,ability_1_used,0.80,1팀,ZIYAD,마우가,0
[00:02:09] ,ability_1_used,0.96,2팀,MER1T,캐서디,0
[00:02:09] ,ability_1_used,0.98,2팀,SP1NT,시온,0
[00:02:09] ,ability_2_used,1.33,1팀,AlphaYi,리퍼,0
[00:02:09] ,ability_2_used,1.38,2팀,SP1NT,시온,0
[00:02:09] ,ability_1_used,1.54,1팀,LBBD7,소전,0
[00:02:10] ,ability_2_used,2.48,1팀,kellex,루시우,0
[00:02:11] ,ability_1_used,3.30,2팀,ChiYo,미즈키,0
[00:02:12] ,ability_1_used,4.11,2팀,Fielder,키리코,0
[00:02:12] ,ability_1_used,4.56,1팀,FiNN,키리코,0
[00:02:14] ,ability_1_used,6.45,2팀,MER1T,캐서디,0
[00:02:23] ,ability_1_used,15.63,1팀,kellex,루시우,0
[00:02:24] ,ability_1_used,16.59,1팀,LBBD7,소전,0
[00:02:25] ,ability_1_used,16.99,2팀,ChiYo,미즈키,0
[00:02:26] ,ability_2_used,18.24,1팀,LBBD7,소전,0
[00:02:26] ,ability_2_used,18.74,2팀,ChiYo,미즈키,0
[00:02:27] ,ability_1_used,18.85,2팀,MER1T,캐서디,0
[00:02:27] ,ability_2_used,18.96,1팀,AlphaYi,리퍼,0
[00:02:27] ,ability_1_used,19.10,1팀,kellex,루시우,0
[00:02:27] ,ability_2_used,19.49,2팀,Someone,시그마,0
[00:02:28] ,ability_2_used,20.06,1팀,ZIYAD,마우가,0
[00:02:28] ,ability_2_used,20.11,1팀,FiNN,키리코,0
[00:02:29] ,ability_1_used,21.31,1팀,ZIYAD,마우가,0
[00:02:29] ,ability_2_used,21.60,2팀,Fielder,키리코,0
[00:02:30] ,ability_1_used,21.87,1팀,AlphaYi,리퍼,0
[00:02:30] ,ability_2_used,21.97,2팀,MER1T,캐서디,0
