[00:00:00] ,match_start,0,수라바사,플래시포인트,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:07] ,hero_spawn,0,1팀,knife,소전,0,0
[00:00:10] ,hero_spawn,0,1팀,shu,아나,0,0
[00:00:11] ,hero_swap,0,1팀,knife,겐지,소전,0
[00:00:11] ,hero_spawn,0,1팀,Bernar,라마트라,0,0
[00:00:13] ,hero_swap,0,1팀,Bernar,둠피스트,라마트라,0
[00:00:15] ,hero_spawn,0,2팀,ChiYo,루시우,0,0
[00:00:19] ,hero_spawn,0,1팀,Viol2t,제트팩 캣,0,0
[00:00:29] ,hero_spawn,0,2팀,Sp1nt,트레이서,0,0
[00:00:29] ,hero_spawn,0,2팀,Fielder,키리코,0,0
[00:00:30] ,hero_swap,0,1팀,knife,소전,겐지,0
[00:00:34] ,hero_spawn,0,1팀,Proper,시메트라,0,0
[00:00:37] ,hero_swap,0,1팀,knife,솜브라,소전,0
[00:00:40] ,hero_swap,0,2팀,Sp1nt,시메트라,트레이서,0
[00:00:45] ,hero_spawn,0,2팀,MER1T,벤처,0,0
[00:00:46] ,hero_swap,0,1팀,shu,키리코,아나,0
[00:00:47] ,hero_swap,0,2팀,ChiYo,미즈키,루시우,0
[00:00:49] ,hero_spawn,0,2팀,Someone,시그마,0,0
[00:01:00] ,hero_swap,0,1팀,Bernar,마우가,둠피스트,0
[00:01:01] ,hero_swap,0,1팀,knife,소전,솜브라,0
[00:01:01] ,hero_swap,0,2팀,Someone,라마트라,시그마,0
[00:01:04] ,hero_swap,0,1팀,Viol2t,루시우,제트팩 캣,0
[00:01:16] ,hero_swap,0,2팀,ChiYo,루시우,미즈키,0
[00:01:17] ,hero_swap,0,2팀,MER1T,소전,벤처,0
[00:01:28] ,hero_swap,0,1팀,Bernar,시그마,마우가,0
[00:01:42] ,setup_complete,0,1,29.99
[00:01:43] ,ability_1_used,0.02,1팀,Viol2t,루시우,0
[00:01:43] ,ability_1_used,0.02,2팀,ChiYo,루시우,0
[00:01:43] ,ability_2_used,0.51,1팀,Viol2t,루시우,0
[00:01:44] ,ability_2_used,1.04,1팀,Proper,시메트라,0
[00:01:44] ,ability_2_used,1.33,2팀,Sp1nt,시메트라,0
[00:01:45] ,ability_2_used,2.10,2팀,ChiYo,루시우,0
[00:01:45] ,ability_2_used,2.34,1팀,Proper,시메트라,0
[00:01:45] ,hero_swap,2.45,1팀,Viol2t,미즈키,루시우,2.45
[00:01:46] ,ability_1_used,3.25,1팀,Viol2t,미즈키,0
[00:01:46] ,ability_1_used,3.81,2팀,MER1T,소전,0
[00:01:47] ,ability_1_used,4.43,1팀,knife,소전,0
[00:01:47] ,ability_1_used,4.59,2팀,Sp1nt,시메트라,0
[00:01:49] ,ability_1_used,6.19,2팀,Fielder,키리코,0
[00:01:49] ,ability_1_used,6.34,2팀,Sp1nt,시메트라,0
[00:01:50] ,ability_1_used,7.31,2팀,Sp1nt,시메트라,0
[00:01:54] ,****,11.30,2팀,ChiYo,루시우,1팀,knife,소전,Primary Fire,2.87,0,0
[00:01:54] ,defensive_assist,11.34,2팀,Fielder,키리코,0
[00:01:54] ,ability_1_used,11.97,2팀,ChiYo,루시우,0
[00:01:56] ,ability_1_used,13.23,2팀,ChiYo,루시우,0
[00:01:56] ,ability_2_used,13.34,2팀,Someone,라마트라,0
[00:01:57] ,ability_1_used,14.42,2팀,ChiYo,루시우,0
[00:01:57] ,ability_1_used,14.83,2팀,Someone,라마트라,0
[00:01:57] ,ability_2_used,14.96,2팀,Sp1nt,시메트라,0
[00:01:58] ,ability_2_used,15.33,1팀,shu,키리코,0
[00:01:58] ,ability_2_used,15.36,1팀,Bernar,시그마,0
[00:01:58] ,ability_1_used,15.78,1팀,Viol2t,미즈키,0
[00:02:00] ,ability_1_used,17.06,2팀,ChiYo,루시우,0
[00:02:00] ,ability_1_used,17.09,1팀,Bernar,시그마,0
[00:02:00] ,ability_2_used,17.82,1팀,Viol2t,미즈키,0
[00:02:01] ,ability_2_used,18.29,2팀,MER1T,소전,0
[00:02:03] ,ability_1_used,20.43,2팀,ChiYo,루시우,0
[00:02:04] ,hero_swap,21.38,1팀,knife,겐지,소전,21.38
[00:02:04] ,ability_1_used,21.41,2팀,Sp1nt,시메트라,0
[00:02:04] ,ability_1_used,21.92,1팀,knife,겐지,0
[00:02:05] ,ability_1_used,22.77,2팀,MER1T,소전,0
[00:02:05] ,hero_swap,22.77,1팀,knife,소전,겐지,1.39
[00:02:06] ,ability_1_used,23.07,1팀,knife,소전,0
[00:02:06] ,ability_1_used,23.82,2팀,ChiYo,루시우,0
[00:02:08] ,ability_1_used,25.31,2팀,ChiYo,루시우,0
[00:02:09] ,ability_1_used,26.77,1팀,Viol2t,미즈키,0
[00:02:10] ,ability_1_used,27.41,2팀,Sp1nt,시메트라,0
[00:02:13] ,ability_1_used,30.11,1팀,Proper,시메트라,0
[00:02:15] ,ability_1_used,32.61,1팀,Proper,시메트라,0
[00:02:16] ,point_progress,33.25,1,2팀,0,33.48
[00:02:17] ,ability_1_used,34.02,2팀,ChiYo,루시우,0
[00:02:18] ,point_progress,35.70,1,2팀,0,66.77
[00:02:20] ,ability_1_used,37.66,2팀,ChiYo,루시우,0
[00:02:21] ,objective_captured,38.11,1,2팀,0,0,0.02,0
[00:02:21] ,ability_2_used,38.29,1팀,Proper,시메트라,0
[00:02:22] ,ability_2_used,39.47,2팀,Someone,라마트라,0
[00:02:22] ,ability_2_used,39.90,2팀,MER1T,소전,0
[00:02:23] ,ability_1_used,40.16,1팀,Viol2t,미즈키,0
[00:02:23] ,ability_2_used,40.29,2팀,Sp1nt,시메트라,0
[00:02:23] ,ability_2_used,40.82,1팀,shu,키리코,0
[00:02:24] ,ability_1_used,41.12,2팀,Someone,라마트라,0
[00:02:24] ,ability_1_used,41.25,1팀,knife,소전,0
[00:02:24] ,ability_1_used,41.39,1팀,Proper,시메트라,0
[00:02:24] ,ability_1_used,41.70,2팀,ChiYo,루시우,0
[00:02:24] ,ability_2_used,41.89,2팀,ChiYo,루시우,0
[00:02:25] ,ability_1_used,42.02,1팀,Proper,시메트라,0
[00:02:25] ,ability_2_used,42.13,1팀,knife,소전,0
[00:02:25] ,ability_2_used,42.83,1팀,Bernar,시그마,0
[00:02:27] ,ability_2_used,44.50,1팀,Viol2t,미즈키,0
[00:02:27] ,ability_1_used,44.74,1팀,Bernar,시그마,0
[00:02:27] ,****,44.96,2팀,MER1T,소전,1팀,Viol2t,미즈키,Secondary Fire,60.43,0,0
[00:02:28] ,defensive_assist,45.17,2팀,ChiYo,루시우,0
[00:02:28] ,ability_1_used,45.66,2팀,ChiYo,루시우,0
[00:02:28] ,ability_1_used,45.70,2팀,Sp1nt,시메트라,0
[00:02:29] ,ability_2_used,46.48,2팀,Fielder,키리코,0
[00:02:30] ,ability_1_used,47.31,2팀,ChiYo,루시우,0
[00:02:30] ,****,47.38,2팀,Sp1nt,시메트라,1팀,Proper,시메트라,Secondary Fire,85.80,0,0
[00:02:30] ,defensive_assist,47.49,2팀,Fielder,키리코,0
[00:02:30] ,offensive_assist,47.58,2팀,Someone,라마트라,0
[00:02:31] ,ability_1_used,48.59,2팀,MER1T,소전,0
[00:02:32] ,ability_1_used,49.20,2팀,ChiYo,루시우,0
[00:02:32] ,ability_1_used,49.26,1팀,knife,소전,0
[00:02:33] ,ability_1_used,50.72,2팀,ChiYo,루시우,0
[00:02:34] ,ability_2_used,51.36,2팀,Someone,라마트라,0
[00:02:34] ,****,51.87,2팀,Someone,라마트라,1팀,knife,소전,Ability 2,18.80,0,0
[00:02:35] ,defensive_assist,52.19,2팀,Fielder,키리코,0
[00:02:35] ,offensive_assist,52.27,2팀,ChiYo,루시우,0
[00:02:35] ,ability_1_used,52.73,2팀,ChiYo,루시우,0
[00:02:36] ,ability_2_used,53.90,1팀,Bernar,시그마,0
[00:02:37] ,****,54.32,2팀,Someone,라마트라,1팀,Bernar,시그마,0,1.86,0,0
[00:02:37] ,defensive_assist,54.54,2팀,Fielder,키리코,0
[00:02:38] ,ability_1_used,55.36,2팀,ChiYo,루시우,0
[00:02:39] ,****,56.22,2팀,Someone,라마트라,1팀,shu,키리코,0,3.39,True,0
[00:02:39] ,defensive_assist,56.41,2팀,Fielder,키리코,0
[00:02:39] ,ability_1_used,56.88,2팀,MER1T,소전,0
[00:02:40] ,ability_1_used,57.41,2팀,ChiYo,루시우,0
[00:02:42] ,hero_swap,59.10,1팀,Viol2t,루시우,미즈키,56.65
[00:02:42] ,ability_1_used,59.10,1팀,Viol2t,루시우,0
[00:02:42] ,ability_1_used,59.92,2팀,ChiYo,루시우,0
[00:02:43] ,hero_swap,60.65,1팀,Viol2t,제트팩 캣,루시우,1.55
[00:02:44] ,ability_2_used,61.82,2팀,Sp1nt,시메트라,0
[00:02:46] ,ability_2_used,63.36,2팀,ChiYo,루시우,0
[00:02:49] ,ability_1_used,66.33,2팀,Sp1nt,시메트라,0
[00:02:50] ,ability_1_used,67.36,2팀,Sp1nt,시메트라,0
[00:02:50] ,ability_2_used,67.36,2팀,MER1T,소전,0
[00:02:51] ,ability_1_used,68.59,2팀,Sp1nt,시메트라,0
[00:02:51] ,ability_1_used,68.99,1팀,Viol2t,제트팩 캣,0
[00:02:53] ,ability_1_used,70.54,2팀,MER1T,소전,0
[00:02:54] ,ability_1_used,71.97,2팀,ChiYo,루시우,0
[00:02:55] ,hero_swap,72.77,1팀,Bernar,마우가,시그마,72.77
[00:02:55] ,hero_swap,72.94,1팀,Proper,파라,시메트라,72.94
[00:02:57] ,ability_1_used,74.54,1팀,Proper,파라,0
[00:02:57] ,ability_1_used,74.99,1팀,Bernar,마우가,0
[00:03:00] ,ability_1_used,77.52,2팀,ChiYo,루시우,0
[00:03:00] ,ability_2_used,77.92,2팀,Sp1nt,시메트라,0
[00:03:01] ,ability_1_used,78.60,1팀,shu,키리코,0
[00:03:01] ,ability_1_used,78.83,2팀,Fielder,키리코,0
[00:03:02] ,ability_1_used,79.16,1팀,knife,소전,0
[00:03:04] ,ability_1_used,81.40,2팀,ChiYo,루시우,0
[00:03:04] ,ability_1_used,81.52,1팀,Viol2t,제트팩 캣,0
[00:03:06] ,ability_1_used,83.45,2팀,ChiYo,루시우,0
[00:03:06] ,ability_1_used,83.96,1팀,Bernar,마우가,0
[00:03:07] ,ability_1_used,84.59,2팀,Sp1nt,시메트라,0
[00:03:08] ,ability_1_used,85.13,2팀,ChiYo,루시우,0
[00:03:08] ,ability_1_used,85.48,2팀,MER1T,소전,0
[00:03:11] ,ability_1_used,88.91,2팀,ChiYo,루시우,0
[00:03:15] ,ability_1_used,92.48,2팀,ChiYo,루시우,0
[00:03:16] ,ability_2_used,93.80,2팀,Sp1nt,시메트라,0
[00:03:17] ,ability_1_used,94.20,2팀,ChiYo,루시우,0
[00:03:17] ,ability_1_used,94.59,1팀,Viol2t,제트팩 캣,0
[00:03:18] ,ability_2_used,95.68,2팀,ChiYo,루시우,0
[00:03:21] ,ability_1_used,98.72,1팀,Proper,파라,0
[00:03:22] ,ability_2_used,99.26,1팀,knife,소전,0
[00:03:22] ,ability_1_used,99.66,2팀,Sp1nt,시메트라,0
[00:03:23] ,ability_2_used,100.72,2팀,Someone,라마트라,0
[00:03:24] ,ability_1_used,101.23,2팀,Sp1nt,시메트라,0
[00:03:25] ,ability_2_used,102.59,1팀,shu,키리코,0
[00:03:27] ,ability_2_used,104.17,1팀,Proper,파라,0
[00:03:28] ,ability_1_used,105.44,2팀,ChiYo,루시우,0
[00:03:29] ,ability_2_used,106.22,2팀,MER1T,소전,0
[00:03:29] ,ability_2_used,106.36,1팀,Bernar,마우가,0
[00:03:30] ,ability_2_used,107.63,2팀,Sp1nt,시메트라,0
[00:03:31] ,ability_1_used,108.97,2팀,ChiYo,루시우,0
[00:03:32] ,ability_1_used,109.71,2팀,Someone,라마트라,0
[00:03:32] ,ability_1_used,109.88,2팀,Fielder,키리코,0
[00:03:33] ,****,110.03,1팀,Proper,파라,2팀,ChiYo,루시우,Primary Fire,18.03,0,0
[00:03:33] ,defensive_assist,110.44,1팀,shu,키리코,0
[00:03:33] ,ability_2_used,110.70,1팀,Viol2t,제트팩 캣,0
[00:03:33] ,ability_1_used,110.73,2팀,MER1T,소전,0
[00:03:33] ,ultimate_charged,110.92,2팀,MER1T,소전,0,1
[00:03:34] ,ultimate_charged,111.63,1팀,shu,키리코,0,1
[00:03:34] ,ultimate_start,111.80,2팀,MER1T,소전,0,1
[00:03:35] ,ability_1_used,112.28,1팀,knife,소전,0
[00:03:35] ,ultimate_start,112.73,1팀,shu,키리코,0,1
[00:03:36] ,ultimate_charged,113.00,2팀,Someone,라마트라,0,1
[00:03:36] ,ability_2_used,113.63,2팀,Someone,라마트라,0
[00:03:36] ,****,113.83,1팀,knife,소전,2팀,Sp1nt,시메트라,Primary Fire,7.77,0,0
[00:03:36] ,ability_2_used,113.85,2팀,Fielder,키리코,0
[00:03:36] ,****,113.99,2팀,MER1T,소전,1팀,Proper,파라,Primary Fire,3.00,0,0
[00:03:37] ,****,114.09,1팀,Viol2t,제트팩 캣,2팀,MER1T,소전,Melee,18.12,0,0
[00:03:37] ,ultimate_end,114.09,2팀,MER1T,소전,0,1
[00:03:37] ,defensive_assist,114.22,1팀,shu,키리코,0
[00:03:37] ,defensive_assist,114.22,1팀,shu,키리코,0
[00:03:37] ,defensive_assist,114.23,1팀,Viol2t,제트팩 캣,0
[00:03:37] ,defensive_assist,114.28,2팀,Fielder,키리코,0
[00:03:38] ,ability_2_used,115.95,1팀,shu,키리코,0
[00:03:39] ,ability_1_used,116.67,1팀,Bernar,마우가,0
[00:03:39] ,ability_2_used,116.70,1팀,knife,소전,0
[00:03:42] ,****,119.74,1팀,Bernar,마우가,2팀,Someone,라마트라,Melee,26.24,0,0
[00:03:42] ,offensive_assist,119.85,1팀,shu,키리코,0
[00:03:42] ,defensive_assist,119.85,1팀,shu,키리코,0
[00:03:44] ,ability_1_used,121.58,1팀,Viol2t,제트팩 캣,0
[00:03:45] ,point_progress,122.07,1,2팀,0,33.57
[00:03:45] ,ability_1_used,122.09,2팀,ChiYo,루시우,0
[00:03:45] ,ability_1_used,122.94,1팀,knife,소전,0
[00:03:46] ,point_progress,123.71,1,2팀,0,66.68
[00:03:46] ,ultimate_end,123.91,1팀,shu,키리코,0,1
[00:03:47] ,ability_2_used,124.57,1팀,Viol2t,제트팩 캣,0
[00:03:47] ,ultimate_charged,124.99,2팀,Fielder,키리코,0,1
[00:03:48] ,point_progress,125.48,1,2팀,0,99.98
[00:03:48] ,objective_captured,125.50,1,1팀,0,0.02,99.99,0
[00:03:48] ,ability_1_used,125.77,1팀,Bernar,마우가,0
[00:03:49] ,****,126.38,1팀,knife,소전,2팀,Fielder,키리코,Primary Fire,9,0,0
[00:03:49] ,offensive_assist,126.43,1팀,shu,키리코,0
[00:03:49] ,defensive_assist,126.43,1팀,shu,키리코,0
[00:03:49] ,defensive_assist,126.46,1팀,Viol2t,제트팩 캣,0
[00:03:49] ,ability_1_used,126.73,2팀,MER1T,소전,0
[00:03:49] ,ability_1_used,126.84,1팀,shu,키리코,0
[00:03:50] ,ability_2_used,127.69,1팀,Proper,파라,0
[00:03:51] ,ability_1_used,128.97,1팀,Proper,파라,0
[00:03:57] ,ability_1_used,134.32,2팀,ChiYo,루시우,0
[00:03:58] ,ability_1_used,135.10,1팀,Viol2t,제트팩 캣,0
[00:03:59] ,ability_1_used,136.96,2팀,ChiYo,루시우,0
[00:04:01] ,ability_1_used,138.21,1팀,Viol2t,제트팩 캣,0
[00:04:01] ,ability_1_used,138.29,2팀,ChiYo,루시우,0
[00:04:02] ,ability_1_used,139.92,2팀,Fielder,키리코,0
[00:04:04] ,ability_1_used,141.44,2팀,ChiYo,루시우,0
[00:04:05] ,ability_2_used,142.05,1팀,knife,소전,0
[00:04:05] ,ability_1_used,142.11,2팀,MER1T,소전,0
[00:04:06] ,ability_1_used,143.76,1팀,knife,소전,0
[00:04:08] ,ability_1_used,145.15,2팀,ChiYo,루시우,0
[00:04:08] ,ability_1_used,145.86,1팀,Bernar,마우가,0
[00:04:09] ,ultimate_charged,146.02,2팀,ChiYo,루시우,0,1
[00:04:09] ,ability_1_used,146.50,2팀,ChiYo,루시우,0
[00:04:09] ,ability_2_used,146.66,2팀,MER1T,소전,0
[00:04:10] ,ability_2_used,147.60,1팀,Viol2t,제트팩 캣,0
[00:04:10] ,ultimate_start,147.65,2팀,ChiYo,루시우,0,1
[00:04:10] ,ability_2_used,147.68,2팀,Someone,라마트라,0
[00:04:10] ,ability_2_used,147.78,2팀,Fielder,키리코,0
[00:04:10] ,ability_2_used,147.81,2팀,Sp1nt,시메트라,0
[00:04:10] ,****,147.83,1팀,shu,키리코,2팀,MER1T,소전,0,19.26,0,0
[00:04:11] ,ability_1_used,148.11,1팀,Proper,파라,0
[00:04:11] ,ultimate_start,148.15,2팀,Fielder,키리코,0,1
[00:04:11] ,offensive_assist,148.15,1팀,Bernar,마우가,0
[00:04:11] ,ability_1_used,148.77,1팀,shu,키리코,0
[00:04:13] ,ability_2_used,150.08,1팀,Bernar,마우가,0
[00:04:13] ,ultimate_charged,150.19,1팀,Viol2t,제트팩 캣,0,1
[00:04:13] ,ability_2_used,150.66,1팀,shu,키리코,0
[00:04:13] ,ultimate_charged,150.85,2팀,Sp1nt,시메트라,0,1
[00:04:14] ,ability_1_used,151.41,1팀,Viol2t,제트팩 캣,0
[00:04:14] ,ultimate_start,151.41,1팀,Viol2t,제트팩 캣,0,1
[00:04:14] ,ultimate_start,151.65,2팀,Sp1nt,시메트라,0,1
[00:04:14] ,ability_1_used,151.71,2팀,Someone,라마트라,0
[00:04:14] ,ability_2_used,151.96,1팀,Proper,파라,0
[00:04:17] ,ability_1_used,154.31,1팀,Bernar,마우가,0
[00:04:17] ,****,154.71,2팀,Sp1nt,시메트라,1팀,shu,키리코,Primary Fire,5.36,0,0
[00:04:17] ,ultimate_end,154.71,2팀,ChiYo,루시우,0,1
[00:04:17] ,offensive_assist,154.72,2팀,Fielder,키리코,0
[00:04:17] ,defensive_assist,154.72,2팀,Fielder,키리코,0
[00:04:17] ,offensive_assist,154.76,2팀,ChiYo,루시우,0
[00:04:17] ,defensive_assist,154.76,2팀,ChiYo,루시우,0
[00:04:17] ,ability_2_used,154.79,2팀,ChiYo,루시우,0
[00:04:18] ,****,155.67,1팀,Bernar,마우가,2팀,Sp1nt,시메트라,Ability 1,141.45,True,0
