[00:00:00] ,match_start,0,왕의 길,혼합,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:07] ,hero_spawn,0,1팀,HanBin,D.Va,0,0
[00:00:08] ,hero_spawn,0,2팀,vigilante,자리야,0,0
[00:00:13] ,hero_swap,0,1팀,HanBin,시그마,D.Va,0
[00:00:16] ,hero_spawn,0,1팀,CheckMate,시메트라,0,0
[00:00:29] ,hero_spawn,0,1팀,SP1NT,프레야,0,0
[00:00:29] ,hero_spawn,0,2팀,HeeSang,겐지,0,0
[00:00:31] ,hero_spawn,0,2팀,STALK3R,위도우메이커,0,0
[00:00:31] ,hero_swap,0,1팀,SP1NT,한조,프레야,0
[00:00:36] ,hero_swap,0,1팀,SP1NT,시온,한조,0
[00:00:40] ,hero_spawn,0,1팀,ChiYo,미즈키,0,0
[00:00:52] ,hero_spawn,0,2팀,MAX,라인하르트,0,0
[00:00:57] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:58] ,hero_swap,0,2팀,HeeSang,파라,겐지,0
[00:00:58] ,hero_spawn,0,2팀,CH0R0NG,루시우,0,0
[00:01:03] ,hero_swap,0,1팀,SP1NT,파라,시온,0
[00:01:18] ,hero_swap,0,2팀,MAX,시그마,라인하르트,0
[00:01:19] ,hero_swap,0,1팀,ChiYo,루시우,미즈키,0
[00:01:23] ,hero_swap,0,2팀,CH0R0NG,미즈키,루시우,0
[00:01:34] ,hero_swap,0,1팀,ChiYo,미즈키,루시우,0
[00:02:32] ,hero_swap,0,2팀,HeeSang,시메트라,파라,0
[00:02:50] ,hero_swap,0,1팀,SP1NT,시온,파라,0
[00:03:27] ,hero_swap,0,1팀,ChiYo,루시우,미즈키,0
[00:03:34] ,hero_swap,0,2팀,vigilante,키리코,자리야,0
[00:04:10] ,ability_1_used,0,1팀,ChiYo,루시우,0
[00:04:10] ,setup_complete,0,1,239.99
[00:04:10] ,ability_2_used,0.02,2팀,HeeSang,시메트라,0
[00:04:14] ,ability_1_used,3.68,2팀,MAX,시그마,0
[00:04:14] ,ability_1_used,3.71,1팀,SP1NT,시온,0
[00:04:15] ,hero_swap,4.29,2팀,HeeSang,파라,시메트라,4.29
[00:04:15] ,ability_1_used,4.32,2팀,CH0R0NG,미즈키,0
[00:04:15] ,ability_2_used,4.75,1팀,HanBin,시그마,0
[00:04:15] ,ability_2_used,4.82,1팀,ChiYo,루시우,0
[00:04:16] ,ability_2_used,5.70,2팀,HeeSang,파라,0
[00:04:17] ,ability_2_used,6.22,2팀,CH0R0NG,미즈키,0
[00:04:17] ,ability_1_used,6.45,1팀,HanBin,시그마,0
[00:04:17] ,ability_2_used,6.46,2팀,MAX,시그마,0
[00:04:19] ,hero_swap,8.26,2팀,STALK3R,캐서디,위도우메이커,8.26
[00:04:20] ,ability_1_used,9.70,2팀,STALK3R,캐서디,0
[00:04:21] ,ability_1_used,11.04,2팀,HeeSang,파라,0
[00:04:21] ,ability_1_used,11.10,1팀,CheckMate,시메트라,0
[00:04:22] ,ability_1_used,11.68,1팀,CheckMate,시메트라,0
[00:04:24] ,ability_1_used,13.89,1팀,SP1NT,시온,0
[00:04:28] ,ability_1_used,17.58,1팀,ChiYo,루시우,0
[00:04:29] ,ability_2_used,18.27,1팀,SP1NT,시온,0
[00:04:29] ,ability_2_used,18.35,2팀,HeeSang,파라,0
[00:04:29] ,ability_1_used,18.48,2팀,STALK3R,캐서디,0
[00:04:33] ,ability_1_used,22.59,1팀,ChiYo,루시우,0
[00:04:34] ,ability_2_used,23.31,1팀,CheckMate,시메트라,0
[00:04:34] ,ability_2_used,23.55,1팀,ChiYo,루시우,0
[00:04:34] ,ability_1_used,24.14,1팀,ChiYo,루시우,0
[00:04:37] ,ability_1_used,26.26,1팀,SP1NT,시온,0
[00:04:38] ,ability_1_used,28.00,1팀,CheckMate,시메트라,0
[00:04:40] ,ability_2_used,29.52,2팀,HeeSang,파라,0
[00:04:41] ,ability_1_used,30.35,2팀,STALK3R,캐서디,0
[00:04:43] ,ability_1_used,32.54,1팀,ChiYo,루시우,0
[00:04:45] ,ability_1_used,34.54,1팀,ChiYo,루시우,0
[00:04:47] ,ability_2_used,36.61,1팀,SP1NT,시온,0
[00:04:47] ,point_progress,36.61,1,2팀,0,33.32
[00:04:47] ,ability_2_used,36.80,1팀,CheckMate,시메트라,0
[00:04:47] ,ability_1_used,36.98,1팀,ChiYo,루시우,0
[00:04:48] ,ability_1_used,37.57,1팀,CheckMate,시메트라,0
[00:04:48] ,ability_2_used,38.10,2팀,HeeSang,파라,0
[00:04:49] ,ability_2_used,38.61,2팀,MAX,시그마,0
[00:04:49] ,ability_1_used,38.85,2팀,STALK3R,캐서디,0
[00:04:50] ,ability_2_used,39.20,1팀,ChiYo,루시우,0
[00:04:50] ,ability_1_used,39.39,2팀,vigilante,키리코,0
[00:04:50] ,ability_1_used,40.03,2팀,CH0R0NG,미즈키,0
[00:04:51] ,ability_1_used,40.54,1팀,SP1NT,시온,0
[00:04:51] ,ability_2_used,40.69,2팀,CH0R0NG,미즈키,0
[00:04:53] ,ability_2_used,42.54,1팀,HanBin,시그마,0
[00:04:53] ,ability_2_used,43.07,2팀,vigilante,키리코,0
[00:04:53] ,ability_1_used,43.12,1팀,ChiYo,루시우,0
[00:04:55] ,ability_1_used,44.37,1팀,ChiYo,루시우,0
[00:04:56] ,****,45.25,1팀,CheckMate,시메트라,2팀,CH0R0NG,미즈키,Melee,2.84,0,0
[00:04:56] ,offensive_assist,45.30,1팀,ChiYo,루시우,0
[00:04:56] ,ability_1_used,45.49,1팀,Fielder,키리코,0
[00:04:56] ,defensive_assist,45.63,1팀,Fielder,키리코,0
[00:04:56] ,ability_1_used,45.82,1팀,CheckMate,시메트라,0
[00:04:57] ,ability_1_used,46.45,1팀,ChiYo,루시우,0
[00:04:57] ,ability_1_used,46.51,1팀,HanBin,시그마,0
[00:04:58] ,ability_2_used,47.30,1팀,Fielder,키리코,0
[00:04:58] ,****,47.57,2팀,MAX,시그마,1팀,ChiYo,루시우,Primary Fire,40.32,0,0
[00:04:58] ,ability_2_used,47.62,2팀,HeeSang,파라,0
[00:04:58] ,ability_1_used,47.79,2팀,vigilante,키리코,0
[00:04:59] ,****,48.54,1팀,SP1NT,시온,2팀,HeeSang,파라,Primary Fire,18.37,0,0
[00:04:59] ,ability_1_used,48.56,2팀,STALK3R,캐서디,0
[00:04:59] ,defensive_assist,48.91,1팀,Fielder,키리코,0
[00:04:59] ,ability_1_used,49.01,1팀,SP1NT,시온,0
[00:05:01] ,****,50.42,2팀,STALK3R,캐서디,1팀,Fielder,키리코,Primary Fire,47.74,0,0
[00:05:03] ,ability_2_used,53.09,1팀,CheckMate,시메트라,0
[00:05:06] ,ability_1_used,55.52,2팀,vigilante,키리코,0
[00:05:06] ,ability_2_used,55.66,1팀,SP1NT,시온,0
[00:05:07] ,ability_1_used,56.62,2팀,STALK3R,캐서디,0
[00:05:08] ,ability_1_used,57.50,2팀,CH0R0NG,미즈키,0
[00:05:08] ,ability_2_used,57.81,2팀,MAX,시그마,0
[00:05:10] ,ability_1_used,59.65,1팀,ChiYo,루시우,0
[00:05:11] ,ability_2_used,60.16,1팀,ChiYo,루시우,0
[00:05:11] ,ability_1_used,60.51,1팀,HanBin,시그마,0
[00:05:11] ,ability_2_used,60.67,2팀,HeeSang,파라,0
[00:05:11] ,ability_1_used,60.85,2팀,HeeSang,파라,0
[00:05:13] ,ability_1_used,62.22,1팀,SP1NT,시온,0
[00:05:13] ,ability_1_used,62.53,2팀,STALK3R,캐서디,0
[00:05:13] ,ability_1_used,62.80,1팀,CheckMate,시메트라,0
[00:05:14] ,****,63.53,2팀,vigilante,키리코,1팀,SP1NT,시온,0,58.02,0,0
[00:05:15] ,ability_1_used,65.02,1팀,Fielder,키리코,0
[00:05:18] ,ability_1_used,67.63,1팀,CheckMate,시메트라,0
[00:05:18] ,ability_1_used,68.09,1팀,ChiYo,루시우,0
[00:05:19] ,ability_1_used,68.81,2팀,MAX,시그마,0
[00:05:19] ,point_progress,69.09,1,2팀,0,66.62
[00:05:20] ,ability_1_used,69.76,1팀,ChiYo,루시우,0
[00:05:22] ,ability_1_used,71.61,2팀,STALK3R,캐서디,0
[00:05:23] ,ability_1_used,73.13,1팀,ChiYo,루시우,0
[00:05:25] ,ability_1_used,74.21,1팀,SP1NT,시온,0
[00:05:25] ,ability_2_used,74.33,1팀,CheckMate,시메트라,0
[00:05:25] ,ability_2_used,74.54,2팀,HeeSang,파라,0
[00:05:25] ,ability_2_used,74.62,1팀,SP1NT,시온,0
[00:05:27] ,ultimate_charged,76.29,1팀,Fielder,키리코,0,1
[00:05:27] ,ability_2_used,76.46,1팀,ChiYo,루시우,0
[00:05:28] ,point_progress,77.15,1,2팀,0,99.92
[00:05:28] ,objective_updated,77.18,1,0,1
[00:05:28] ,objective_captured,77.18,1,2팀,1,0,0,312.81
[00:05:28] ,ability_1_used,77.53,2팀,STALK3R,캐서디,0
[00:05:28] ,ability_1_used,77.85,1팀,Fielder,키리코,0
[00:05:29] ,ability_1_used,78.83,1팀,HanBin,시그마,0
[00:05:30] ,ability_1_used,79.90,1팀,ChiYo,루시우,0
[00:05:31] ,ability_1_used,80.28,2팀,HeeSang,파라,0
[00:05:32] ,ability_1_used,81.61,1팀,ChiYo,루시우,0
[00:05:33] ,ability_1_used,82.92,2팀,STALK3R,캐서디,0
[00:05:35] ,ability_1_used,84.51,1팀,SP1NT,시온,0
[00:05:36] ,ability_1_used,85.20,2팀,MAX,시그마,0
[00:05:36] ,ability_1_used,85.90,1팀,ChiYo,루시우,0
[00:05:36] ,ability_2_used,86.11,1팀,HanBin,시그마,0
[00:05:37] ,ability_1_used,86.22,1팀,CheckMate,시메트라,0
