[00:00:00] ,match_start,0,아틀리스,플래시포인트,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:09] ,hero_spawn,0,1팀,CheckMate,시메트라,0,0
[00:00:13] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:14] ,hero_spawn,0,1팀,Someone,라마트라,0,0
[00:00:16] ,hero_spawn,0,2팀,BiLiDENG,라마트라,0,0
[00:00:19] ,hero_spawn,0,2팀,LeeSooMin,루시우,0,0
[00:00:25] ,hero_spawn,0,1팀,ChiYo,브리기테,0,0
[00:00:27] ,hero_spawn,0,2팀,shy,프레야,0,0
[00:00:42] ,hero_spawn,0,1팀,MER1T,프레야,0,0
[00:00:59] ,hero_swap,0,1팀,MER1T,일리아리,프레야,0
[00:01:13] ,hero_swap,0,1팀,Fielder,라이프위버,키리코,0
[00:01:16] ,hero_spawn,0,2팀,EVAEL,트레이서,0,0
[00:01:25] ,hero_spawn,0,2팀,MAKA,아나,0,0
[00:01:26] ,hero_swap,0,1팀,MER1T,프레야,일리아리,0
[00:01:28] ,hero_swap,0,2팀,EVAEL,시메트라,트레이서,0
[00:01:29] ,hero_swap,0,2팀,MAKA,키리코,아나,0
[00:01:37] ,hero_swap,0,2팀,MAKA,주노,키리코,0
[00:01:41] ,hero_swap,0,1팀,Fielder,주노,라이프위버,0
[00:01:42] ,setup_complete,0,1,29.99
[00:01:42] ,ability_2_used,0.02,1팀,Fielder,주노,0
[00:01:42] ,ability_1_used,0.02,2팀,LeeSooMin,루시우,0
[00:01:42] ,ability_2_used,0.54,2팀,EVAEL,시메트라,0
[00:01:43] ,ability_2_used,0.85,1팀,CheckMate,시메트라,0
[00:01:43] ,hero_swap,1.49,2팀,MAKA,키리코,주노,1.49
[00:01:44] ,hero_swap,1.76,1팀,Fielder,키리코,주노,1.76
[00:01:44] ,ability_2_used,2.32,2팀,LeeSooMin,루시우,0
[00:01:45] ,hero_swap,2.67,1팀,CheckMate,트레이서,시메트라,2.67
[00:01:45] ,ability_1_used,3.04,1팀,CheckMate,트레이서,0
[00:01:45] ,ability_1_used,3.26,1팀,CheckMate,트레이서,0
[00:01:45] ,ability_1_used,3.31,2팀,shy,프레야,0
[00:01:45] ,ability_1_used,3.55,1팀,MER1T,프레야,0
[00:01:46] ,ability_1_used,3.63,1팀,CheckMate,트레이서,0
[00:01:46] ,hero_swap,3.89,2팀,EVAEL,트레이서,시메트라,3.89
[00:01:46] ,ability_1_used,4.51,1팀,MER1T,프레야,0
[00:01:47] ,ability_1_used,4.69,2팀,EVAEL,트레이서,0
