[00:00:00] ,match_start,0,뉴 정크 시티,플래시포인트,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:10] ,hero_spawn,0,1팀,Someone,라인하르트,0,0
[00:00:13] ,hero_spawn,0,1팀,ChiYo,루시우,0,0
[00:00:13] ,hero_spawn,0,1팀,CheckMate,겐지,0,0
[00:00:19] ,hero_spawn,0,1팀,MER1T,캐서디,0,0
[00:00:24] ,hero_spawn,0,1팀,Fielder,키리코,0,0
[00:00:35] ,hero_spawn,0,2팀,BiLiDENG,애쉬,0,0
[00:00:35] ,hero_spawn,0,2팀,LeeSooMin,루시우,0,0
[00:00:49] ,hero_spawn,0,2팀,shy,리퍼,0,0
[00:00:51] ,hero_spawn,0,2팀,MAKA,시온,0,0
[00:00:54] ,hero_swap,0,1팀,Fielder,정커퀸,키리코,0
[00:00:56] ,hero_swap,0,1팀,Someone,D.Va,라인하르트,0
[00:00:56] ,hero_spawn,0,2팀,EVAEL,프레야,0,0
[00:01:18] ,hero_swap,0,2팀,EVAEL,바스티온,프레야,0
[00:01:19] ,hero_swap,0,2팀,BiLiDENG,시그마,애쉬,0
[00:01:26] ,hero_swap,0,2팀,MAKA,주노,시온,0
[00:01:35] ,hero_swap,0,2팀,LeeSooMin,미즈키,루시우,0
[00:01:41] ,hero_swap,0,2팀,BiLiDENG,D.Va,시그마,0
[00:01:42] ,hero_swap,0,2팀,EVAEL,시메트라,바스티온,0
[00:01:43] ,hero_swap,0,2팀,BiLiDENG,시그마,D.Va,0
[00:01:56] ,hero_swap,0,2팀,shy,프레야,리퍼,0
[00:02:00] ,hero_swap,0,1팀,Someone,자리야,D.Va,0
[00:02:21] ,hero_swap,0,1팀,Someone,마우가,자리야,0
[00:02:50] ,hero_swap,0,1팀,Fielder,주노,정커퀸,0
[00:03:25] ,hero_swap,0,1팀,ChiYo,브리기테,루시우,0
[00:03:32] ,hero_swap,0,1팀,CheckMate,시메트라,겐지,0
[00:03:45] ,hero_swap,0,1팀,MER1T,소전,캐서디,0
[00:03:46] ,hero_swap,0,2팀,MAKA,제트팩 캣,주노,0
[00:03:47] ,hero_swap,0,2팀,MAKA,주노,제트팩 캣,0
[00:03:54] ,setup_complete,0,1,29.99
[00:03:54] ,ability_2_used,0.02,2팀,EVAEL,시메트라,0
[00:03:54] ,ability_1_used,0.58,2팀,LeeSooMin,미즈키,0
[00:03:55] ,ability_2_used,1.22,1팀,CheckMate,시메트라,0
[00:03:56] ,hero_swap,1.95,2팀,MAKA,키리코,주노,1.95
[00:03:56] ,ability_1_used,2.78,1팀,Someone,마우가,0
[00:03:57] ,ability_1_used,3.01,2팀,shy,프레야,0
[00:03:57] ,hero_swap,3.04,1팀,CheckMate,겐지,시메트라,3.04
[00:03:57] ,ability_1_used,3.33,1팀,MER1T,소전,0
[00:03:57] ,ability_1_used,3.84,1팀,CheckMate,겐지,0
[00:03:58] ,ability_1_used,4.69,2팀,shy,프레야,0
[00:04:02] ,ability_1_used,8.61,2팀,MAKA,키리코,0
[00:04:03] ,ability_2_used,9.78,1팀,ChiYo,브리기테,0
[00:04:05] ,ability_2_used,11.49,1팀,ChiYo,브리기테,0
[00:04:05] ,ability_2_used,11.60,1팀,MER1T,소전,0
[00:04:06] ,ability_1_used,12.54,2팀,shy,프레야,0
[00:04:08] ,ability_1_used,14.00,2팀,LeeSooMin,미즈키,0
[00:04:08] ,ability_2_used,14.24,1팀,ChiYo,브리기테,0
[00:04:08] ,ability_1_used,14.59,2팀,EVAEL,시메트라,0
[00:04:09] ,ability_2_used,15.38,2팀,shy,프레야,0
[00:04:09] ,ability_2_used,15.90,2팀,LeeSooMin,미즈키,0
[00:04:10] ,ability_1_used,16.05,2팀,shy,프레야,0
[00:04:10] ,ability_2_used,16.11,1팀,Fielder,주노,0
[00:04:10] ,ability_1_used,16.13,1팀,Someone,마우가,0
[00:04:10] ,ability_1_used,16.22,1팀,MER1T,소전,0
[00:04:10] ,ability_2_used,16.45,2팀,BiLiDENG,시그마,0
[00:04:10] ,ability_2_used,16.48,1팀,ChiYo,브리기테,0
[00:04:11] ,ability_2_used,17.23,1팀,Someone,마우가,0
[00:04:12] ,ability_1_used,18.42,2팀,shy,프레야,0
[00:04:12] ,ability_1_used,18.67,1팀,CheckMate,겐지,0
[00:04:12] ,ability_1_used,18.88,2팀,BiLiDENG,시그마,0
[00:04:13] ,ability_2_used,19.49,2팀,MAKA,키리코,0
[00:04:14] ,ability_2_used,20.26,2팀,EVAEL,시메트라,0
[00:04:15] ,ability_2_used,21.17,1팀,ChiYo,브리기테,0
[00:04:15] ,ability_1_used,21.26,1팀,Fielder,주노,0
[00:04:16] ,ability_1_used,22.34,1팀,Someone,마우가,0
[00:04:16] ,ability_1_used,22.64,2팀,shy,프레야,0
[00:04:17] ,ability_1_used,23.04,1팀,ChiYo,브리기테,0
[00:04:17] ,ability_2_used,23.60,1팀,CheckMate,겐지,0
[00:04:19] ,ability_1_used,24.99,1팀,MER1T,소전,0
[00:04:19] ,ability_1_used,25.84,2팀,LeeSooMin,미즈키,0
[00:04:21] ,ability_2_used,27.01,1팀,ChiYo,브리기테,0
[00:04:22] ,ability_2_used,28.00,1팀,MER1T,소전,0
[00:04:22] ,ability_1_used,28.62,1팀,CheckMate,겐지,0
[00:04:22] ,ability_2_used,28.70,2팀,LeeSooMin,미즈키,0
[00:04:22] ,ability_1_used,28.70,1팀,ChiYo,브리기테,0
[00:04:25] ,ability_2_used,31.38,1팀,Fielder,주노,0
[00:04:26] ,ability_2_used,32.03,1팀,ChiYo,브리기테,0
[00:04:28] ,ability_2_used,34.32,2팀,EVAEL,시메트라,0
[00:04:28] ,ability_1_used,34.77,1팀,Someone,마우가,0
[00:04:30] ,ability_1_used,36.08,1팀,ChiYo,브리기테,0
[00:04:30] ,ability_1_used,36.11,2팀,shy,프레야,0
[00:04:30] ,ability_2_used,36.72,1팀,ChiYo,브리기테,0
[00:04:30] ,ability_2_used,36.75,2팀,BiLiDENG,시그마,0
[00:04:30] ,ability_1_used,36.85,2팀,shy,프레야,0
