[00:00:00] ,match_start,0,뉴 정크 시티,플래시포인트,1팀,2팀
[00:00:01] ,round_start,0,1,2팀,0,0,0
[00:00:12] ,hero_spawn,0,1팀,KroxZ,라인하르트,0,0
[00:00:15] ,hero_spawn,0,1팀,Dip,소전,0,0
[00:00:16] ,hero_spawn,0,1팀,Xerion,키리코,0,0
[00:00:17] ,hero_spawn,0,1팀,FDGod,루시우,0,0
[00:00:25] ,hero_spawn,0,1팀,SoOn,캐서디,0,0
[00:00:27] ,hero_spawn,0,2팀,SP1NT,시온,0,0
[00:00:27] ,hero_spawn,0,2팀,Someone,시그마,0,0
[00:00:28] ,hero_spawn,0,2팀,ChiYo,브리기테,0,0
[00:00:49] ,hero_swap,0,1팀,Dip,시메트라,소전,0
[00:00:50] ,hero_swap,0,2팀,SP1NT,시메트라,시온,0
[00:00:59] ,hero_swap,0,1팀,SoOn,시온,캐서디,0
[00:01:00] ,hero_spawn,0,2팀,MER1T,소전,0,0
[00:01:06] ,hero_swap,0,1팀,Dip,메이,시메트라,0
[00:01:07] ,hero_swap,0,1팀,SoOn,소전,시온,0
[00:01:07] ,hero_spawn,0,2팀,Fielder,키리코,0,0
[00:01:16] ,hero_swap,0,1팀,Xerion,주노,키리코,0
[00:01:16] ,hero_swap,0,2팀,Fielder,주노,키리코,0
[00:01:17] ,setup_complete,0,1,29.99
[00:01:17] ,ability_1_used,0.02,1팀,FDGod,루시우,0
[00:01:17] ,ability_2_used,0.50,2팀,Fielder,주노,0
[00:01:18] ,ability_2_used,1.34,2팀,SP1NT,시메트라,0
[00:01:18] ,ability_1_used,1.38,1팀,KroxZ,라인하르트,0
[00:01:18] ,ability_1_used,1.60,1팀,SoOn,소전,0
[00:01:19] ,hero_swap,1.84,2팀,Fielder,키리코,주노,1.84
[00:01:20] ,ability_2_used,3.39,1팀,FDGod,루시우,0
[00:01:20] ,ability_1_used,3.60,2팀,MER1T,소전,0
[00:01:20] ,hero_swap,3.68,2팀,SP1NT,시온,시메트라,3.68
[00:01:20] ,hero_swap,3.73,1팀,Xerion,키리코,주노,3.73
[00:01:21] ,ability_1_used,4.26,1팀,Xerion,키리코,0
[00:01:22] ,ability_1_used,4.85,2팀,SP1NT,시온,0
[00:01:22] ,ability_2_used,5.25,2팀,SP1NT,시온,0
[00:01:25] ,ability_1_used,7.95,2팀,Fielder,키리코,0
[00:01:28] ,ability_1_used,11.31,1팀,Xerion,키리코,0
[00:01:31] ,ability_1_used,14.62,1팀,FDGod,루시우,0
[00:01:32] ,ability_2_used,14.94,1팀,SoOn,소전,0
[00:01:35] ,ability_1_used,17.94,2팀,ChiYo,브리기테,0
[00:01:35] ,ability_1_used,18.75,1팀,SoOn,소전,0
