[00:01:40] ,ability_1_used,56.56,2팀,ChiYo,미즈키,0
[00:01:40] ,ability_2_used,56.77,1팀,Admiral,브리기테,0
[00:01:41] ,ability_2_used,57.28,1팀,Admiral,브리기테,0
[00:01:41] ,ability_2_used,57.81,1팀,Admiral,브리기테,0
[00:01:42] ,ability_1_used,58.73,1팀,Admiral,브리기테,0
[00:01:43] ,ability_1_used,59.50,1팀,sugarfree,트레이서,0
[00:01:43] ,ability_1_used,59.97,1팀,sugarfree,트레이서,0
[00:01:44] ,payload_progress,60.75,1,2팀,0,30.02
[00:01:46] ,ability_2_used,62.99,1팀,Admiral,브리기테,0
[00:01:48] ,ability_1_used,64.17,1팀,Admiral,브리기테,0
[00:01:48] ,ability_1_used,64.32,1팀,sugarfree,트레이서,0
[00:01:48] ,objective_updated,64.32,1,0,1
[00:01:48] ,objective_captured,64.32,1,2팀,1,0,0,325.67
[00:01:48] ,ability_1_used,64.53,2팀,MER1T,소전,0
[00:01:48] ,ability_2_used,64.69,2팀,ChiYo,미즈키,0
[00:01:49] ,ability_1_used,65.21,1팀,UltraViolet,키리코,0
[00:01:49] ,ability_2_used,65.90,1팀,sugarfree,트레이서,0
[00:01:50] ,ability_2_used,66.37,2팀,Someone,시그마,0
[00:01:51] ,ability_1_used,67.23,1팀,sugarfree,트레이서,0
[00:01:51] ,ability_1_used,67.76,1팀,sugarfree,트레이서,0
[00:01:52] ,ability_1_used,68.61,1팀,sugarfree,트레이서,0
[00:01:54] ,ability_2_used,70.25,1팀,Hawk,라마트라,0
[00:01:54] ,ability_1_used,71.07,1팀,Lethal,소전,0
[00:01:57] ,ability_1_used,73.39,2팀,Fielder,키리코,0
[00:01:57] ,ability_1_used,73.95,1팀,Admiral,브리기테,0
[00:01:58] ,ability_1_used,74.56,2팀,MER1T,소전,0
[00:02:04] ,ability_2_used,80.86,1팀,Admiral,브리기테,0
[00:02:04] ,ability_1_used,81.05,1팀,sugarfree,트레이서,0
[00:02:04] ,ability_2_used,81.10,2팀,MER1T,소전,0
[00:02:05] ,ability_1_used,81.24,1팀,sugarfree,트레이서,0
[00:02:05] ,ability_2_used,82.09,2팀,CheckMate,시메트라,0
[00:02:07] ,ability_1_used,83.72,1팀,Admiral,브리기테,0
[00:02:07] ,ability_2_used,84.00,1팀,Hawk,라마트라,0
[00:02:08] ,ability_2_used,85.10,1팀,Lethal,소전,0
[00:02:09] ,ability_1_used,85.53,2팀,MER1T,소전,0
[00:02:09] ,ability_2_used,85.68,1팀,Admiral,브리기테,0
[00:02:09] ,ability_1_used,85.76,1팀,sugarfree,트레이서,0
[00:02:10] ,ability_2_used,86.84,1팀,Admiral,브리기테,0
[00:02:10] ,ability_1_used,86.96,2팀,ChiYo,미즈키,0
[00:02:10] ,ability_1_used,86.96,1팀,Lethal,소전,0
[00:02:11] ,payload_progress,87.82,1,2팀,1,40.01
[00:02:11] ,ability_1_used,87.98,2팀,CheckMate,시메트라,0
[00:02:11] ,ability_1_used,88.08,1팀,UltraViolet,키리코,0
[00:02:12] ,****,88.83,1팀,Lethal,소전,2팀,Fielder,키리코,Secondary Fire,153,True,0
[00:02:12] ,ability_1_used,88.84,1팀,sugarfree,트레이서,0
[00:02:14] ,ability_1_used,90.51,2팀,CheckMate,시메트라,0
[00:02:14] ,ability_1_used,90.78,1팀,sugarfree,트레이서,0
[00:02:15] ,ability_2_used,91.21,2팀,Someone,시그마,0
[00:02:15] ,ability_2_used,91.26,1팀,sugarfree,트레이서,0
[00:02:15] ,ability_1_used,91.47,1팀,Admiral,브리기테,0
[00:02:16] ,ability_2_used,92.41,1팀,Admiral,브리기테,0
[00:02:16] ,ability_1_used,92.99,1팀,Hawk,라마트라,0
[00:02:17] ,ability_2_used,93.61,1팀,Admiral,브리기테,0
[00:02:19] ,ability_2_used,95.98,2팀,CheckMate,시메트라,0
[00:02:20] ,ability_2_used,96.84,1팀,Admiral,브리기테,0
[00:02:20] ,ability_1_used,97.13,1팀,sugarfree,트레이서,0
[00:02:21] ,ability_2_used,97.53,2팀,MER1T,소전,0
[00:02:21] ,ultimate_charged,97.76,1팀,sugarfree,트레이서,0,1
[00:02:21] ,ability_1_used,97.92,1팀,sugarfree,트레이서,0
[00:02:22] ,ability_1_used,98.49,1팀,Lethal,소전,0
[00:02:24] ,ability_1_used,100.39,2팀,CheckMate,시메트라,0
[00:02:24] ,ability_1_used,100.76,1팀,UltraViolet,키리코,0
[00:02:24] ,ability_1_used,101.13,1팀,sugarfree,트레이서,0
[00:02:24] ,ultimate_charged,101.15,2팀,Someone,시그마,0,1
[00:02:25] ,ability_2_used,101.51,1팀,Lethal,소전,0
[00:02:25] ,ability_2_used,101.95,1팀,Hawk,라마트라,0
[00:02:26] ,ability_2_used,102.54,1팀,UltraViolet,키리코,0
[00:02:26] ,ultimate_charged,102.89,2팀,ChiYo,미즈키,0,1
[00:02:26] ,ability_1_used,102.92,1팀,sugarfree,트레이서,0
[00:02:27] ,ability_1_used,103.77,2팀,Fielder,키리코,0
[00:02:29] ,ability_2_used,105.71,1팀,Admiral,브리기테,0
[00:02:29] ,ability_1_used,105.77,1팀,sugarfree,트레이서,0
[00:02:30] ,ultimate_start,106.25,1팀,sugarfree,트레이서,0,1
[00:02:30] ,ultimate_end,106.44,1팀,sugarfree,트레이서,0,1
[00:02:30] ,ultimate_charged,106.95,1팀,Lethal,소전,0,1
[00:02:30] ,payload_progress,107.07,1,2팀,1,50.02
[00:02:31] ,ability_2_used,107.40,2팀,Someone,시그마,0
[00:02:31] ,ability_1_used,107.55,2팀,ChiYo,미즈키,0
[00:02:31] ,ability_1_used,107.90,1팀,UltraViolet,키리코,0
[00:02:31] ,ultimate_start,108.01,2팀,ChiYo,미즈키,0,1
[00:02:31] ,ability_1_used,108.09,1팀,Hawk,라마트라,0
[00:02:32] ,ultimate_start,108.46,1팀,Lethal,소전,0,1
[00:02:32] ,ultimate_charged,108.51,1팀,UltraViolet,키리코,0,1
[00:02:32] ,ability_1_used,108.60,2팀,CheckMate,시메트라,0
[00:02:32] ,ability_2_used,108.83,2팀,ChiYo,미즈키,0
[00:02:33] ,ultimate_start,109.26,1팀,UltraViolet,키리코,0,1
[00:02:33] ,ability_1_used,109.64,1팀,sugarfree,트레이서,0
[00:02:34] ,ability_1_used,110.17,1팀,sugarfree,트레이서,0
[00:02:34] ,ability_1_used,110.46,1팀,Lethal,소전,0
[00:02:34] ,****,110.99,2팀,ChiYo,미즈키,1팀,Hawk,라마트라,Primary Fire,38.33,0,0
[00:02:34] ,offensive_assist,111.10,2팀,Someone,시그마,0
[00:02:35] ,defensive_assist,111.43,2팀,ChiYo,미즈키,0
[00:02:35] ,ability_2_used,111.56,1팀,Admiral,브리기테,0
[00:02:35] ,ability_2_used,111.67,2팀,CheckMate,시메트라,0
[00:02:35] ,ability_1_used,111.91,1팀,Admiral,브리기테,0
[00:02:36] ,ability_2_used,112.46,1팀,sugarfree,트레이서,0
[00:02:36] ,ability_2_used,112.65,1팀,Admiral,브리기테,0
[00:02:36] ,ability_1_used,113.02,1팀,UltraViolet,키리코,0
[00:02:37] ,ability_2_used,113.26,2팀,Fielder,키리코,0
[00:02:37] ,ability_2_used,114.09,2팀,MER1T,소전,0
[00:02:38] ,ability_1_used,114.20,1팀,sugarfree,트레이서,0
