[00:02:27] ,ability_2_used,28.86,1팀,FiNN,키리코,0
[00:02:28] ,ability_2_used,29.49,1팀,LBBD7,소전,0
[00:02:29] ,****,30.27,2팀,MER1T,소전,1팀,LBBD7,소전,Secondary Fire,132.73,True,0
[00:02:29] ,ability_1_used,30.51,1팀,kellex,루시우,0
[00:02:29] ,defensive_assist,30.66,2팀,Fielder,키리코,0
[00:02:29] ,defensive_assist,30.70,2팀,ChiYo,브리기테,0
[00:02:29] ,ability_2_used,30.88,2팀,ChiYo,브리기테,0
[00:02:30] ,ability_2_used,30.93,1팀,Risk,마우가,0
[00:02:30] ,ability_1_used,30.98,2팀,MER1T,소전,0
[00:02:30] ,ability_1_used,31.46,1팀,kellex,루시우,0
[00:02:30] ,ability_1_used,31.73,2팀,ChiYo,브리기테,0
[00:02:30] ,ability_1_used,31.86,2팀,Fielder,키리코,0
[00:02:30] ,ability_2_used,31.89,1팀,AlphaYi,벤데타,0
[00:02:31] ,ability_2_used,32.78,2팀,ChiYo,브리기테,0
[00:02:33] ,ability_1_used,34.02,1팀,kellex,루시우,0
[00:02:34] ,ability_1_used,35.20,2팀,SP1NT,트레이서,0
[00:02:34] ,point_progress,35.28,1,All Teams,0,33.46
[00:02:34] ,ability_2_used,35.36,2팀,SP1NT,트레이서,0
[00:02:34] ,ability_2_used,35.76,2팀,ChiYo,브리기테,0
[00:02:35] ,****,36.14,2팀,Someone,라마트라,1팀,AlphaYi,벤데타,Melee,0.29,0,0
[00:02:35] ,defensive_assist,36.19,2팀,ChiYo,브리기테,0
[00:02:35] ,defensive_assist,36.26,2팀,Fielder,키리코,0
[00:02:35] ,ability_1_used,36.75,2팀,ChiYo,브리기테,0
[00:02:36] ,ability_1_used,37.20,2팀,SP1NT,트레이서,0
[00:02:36] ,ability_1_used,37.86,1팀,Risk,마우가,0
[00:02:37] ,ability_2_used,38.02,2팀,MER1T,소전,0
[00:02:37] ,point_progress,38.06,1,All Teams,0,66.63
[00:02:37] ,ability_1_used,38.66,2팀,SP1NT,트레이서,0
[00:02:38] ,ability_2_used,39.02,2팀,Someone,라마트라,0
[00:02:38] ,objective_captured,39.41,1,2팀,0,0,0.01,0
[00:02:39] ,ability_1_used,39.97,2팀,Fielder,키리코,0
