[00:03:33] ,ultimate_end,163.22,2팀,Mealgaru,도미나,0,1
[00:03:34] ,****,164.63,1팀,MER1T,캐서디,2팀,Viol2t,키리코,Primary Fire,96.68,True,0
[00:03:36] ,ultimate_charged,166.63,2팀,shu,미즈키,0,1
[00:03:37] ,ultimate_charged,166.83,2팀,Proper,시메트라,0,1
[00:03:37] ,ultimate_start,167.58,2팀,shu,미즈키,0,1
[00:03:38] ,ultimate_charged,168.49,1팀,Fielder,주노,0,1
[00:03:39] ,ultimate_start,169.00,1팀,Fielder,주노,0,1
[00:03:42] ,ultimate_start,172.68,1팀,HanBin,마우가,0,1
[00:03:44] ,ultimate_end,174.09,2팀,shu,미즈키,0,1
[00:03:44] ,hero_swap,174.17,2팀,Mealgaru,마우가,도미나,174.17
[00:03:45] ,****,174.89,1팀,MER1T,캐서디,2팀,Proper,시메트라,Primary Fire,175.56,True,0
[00:03:46] ,****,175.85,1팀,SP1NT,안란,2팀,knife,캐서디,Secondary Fire,4.63,0,0
[00:03:46] ,offensive_assist,175.85,1팀,HanBin,마우가,0
[00:03:46] ,defensive_assist,175.85,1팀,HanBin,마우가,0
[00:03:46] ,defensive_assist,175.87,1팀,ChiYo,미즈키,0
[00:03:46] ,****,176.46,1팀,MER1T,캐서디,2팀,shu,미즈키,Primary Fire,19.92,0,0
[00:03:47] ,offensive_assist,176.80,1팀,HanBin,마우가,0
[00:03:47] ,ultimate_end,177.52,1팀,Fielder,주노,0,1
[00:03:48] ,ultimate_end,177.85,1팀,HanBin,마우가,0,1
[00:03:51] ,objective_updated,181.65,2,0,1
[00:03:51] ,player_stat,181.66,2,2팀,Mealgaru,도미나,1,0,2,2120.99,0,2120.99,0,2657.95,291.83,3961.43,5003.00,0,0,1,1,0,0,0,0,0,0,3,0.20,0,0,0,57,15,40,0,0,0.27,174.17
[00:03:51] ,player_stat,181.66,2,2팀,Mealgaru,D.Va,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:03:51] ,player_stat,181.66,2,2팀,Mealgaru,윈스턴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:03:51] ,player_stat,181.66,2,2팀,Mealgaru,마우가,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49
[00:03:51] ,player_stat,181.66,2,2팀,knife,트레이서,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:03:51] ,player_stat,181.66,2,2팀,knife,캐서디,5,4,2,3411.78,115,3296.78,0,1656.79,0,2166.37,0,0,0,1,0,0,0,0,0,0,0,10,0.16,0,0,0,134,61,68,0,0,0.47,181.66
[00:03:51] ,player_stat,181.66,2,1팀,MER1T,캐서디,8,4,1,5350.46,70,2981.01,0,1577.56,0,1921.89,0,0,0,1,0,0,0,1,1,0,0,12,0.24,0,0,0,128,49,49,0,0,0.50,181.66
[00:03:51] ,player_stat,181.66,2,1팀,HanBin,마우가,7,2,1,3341.16,0,2733.74,775.62,2766.70,680.42,4198.95,218.84,3,5,1,1,0,0,0,1,0,0,29,0.07,0,0,0,1140,418,659,0,0,0.39,181.66
[00:03:51] ,player_stat,181.66,2,2팀,shu,키리코,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[00:03:51] ,player_stat,181.66,2,2팀,shu,미즈키,2,0,3,1610.76,0,1610.76,1901.55,921.23,0,1839.00,0,3,0,1,1,0,0,0,0,0,0,6,0.22,0,0,0,110,27,82,0,0,0.25,181.66
[00:03:51] ,player_stat,181.66,2,1팀,SP1NT,안란,5,4,1,6879.94,190,2826.54,0,1765.42,0,2322.20,0,0,0,1,1,0,0,0,0,0,0,4,0.07,0,0,0,158,56,84,0,0,0.40,178.86
[00:03:51] ,player_stat,181.66,2,1팀,SP1NT,시메트라,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.80
[00:03:51] ,player_stat,181.66,2,1팀,Fielder,키리코,0,0,0,780,0,420,498.57,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0.40,0,0,0,30,5,18,0,0,0.22,57.79
[00:03:51] ,player_stat,181.66,2,1팀,Fielder,주노,2,0,0,1246.72,98.80,352.59,0,541.59,0,579.62,0,0,0,1,1,0,0,0,0,0,0,23,0.05,0,0,0,1057,498,474,0,0,0.51,123.87
[00:03:51] ,player_stat,181.66,2,2팀,Viol2t,주노,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4.78
